feature,importance
시장금리국고채3년,0.5031529642083837
난방유(-1~-5),0.12554555912434567
VIXCLS,0.06308858132034709
금(-1~-5),0.06141706205571634
육우(-6~-10),0.05817634734176589
구리_미국(-11~-15),0.045444277002112295
난방유(-6~-10),0.03973538218739072
미국_원면(-11~-15),0.01012736418859857
런던_가스오일(-16~-20),0.009424040772500948
난방유(-16~-20),0.00937329479190553
니켈(-16~-20),0.00888423888056137
WTI유(-16~-20),0.008658717872346145
코스피수익률표준편차(-16~-20),0.008644290118076775
원달러환율수익률표준편차(-1~-5),0.003562118151288913
돈육(-1~-5),0.003443576348982601
구리_영국(-16~-20),0.002646908107501461
미국_소맥(-1~-5),0.0024428915865708912
런던_가스오일(-1~-5),0.00240682764132541
미국_설탕(-6~-10),0.0011347072761478312
코스닥변동률(-20),0.0009686998720376717
귀리(-1~-5),0.0008508864947163844
미국_대두박(-11~-15),0.0006969971708251175
구리_미국(-16~-20),0.000680588446692055
코스피변동률(-20),0.0006780585608299703
납(-16~-20),0.0006589791433255656
환율변동률(-20),0.0006450391999090632
미국_커피(-1~-5),0.0006336337916591978
미국_소맥(-11~-15),0.0006336337916591977
미국_대두(-11~-15),0.0006218411627588737
주석(-1~-5),0.0006095557075761482
미국_원면(-6~-10),0.0006019521020762379
생우(-1~-5),0.00059213077830552
nasdaq(-20),0.0005857592385116138
탄소배출권(-11~-15),0.0005816758207431435
런던 코코아 선물 과거 데이터(-1~-5),0.000570270412493278
생우(-16~-20),0.0005680752765588603
원달러환율수익률표준편차(-16~-20),0.0005616685348876393
구리_미국(-6~-10),0.0005515782156393317
주석(-11~-15),0.000538588722910318
납(-1~-5),0.0005343292957552757
미국10년물국채금리수익률(-20),0.0005125393336976621
원목(-16~-20),0.0005069070333273583
런던 코코아 선물 과거 데이터(-16~-20),0.0005069070333273581
런던_설탕(-6~-10),0.0004878980195775823
주석(-16~-20),0.0004777598789110351
구리_영국(-1~-5),0.0004752253437443983
나스닥수익률표준편차(-6~-10),0.00046061656465892233
미국_대두유(-11~-15),0.0004550925266660183
런던_소맥(-6~-10),0.0004511472596613489
1~5일 수익률 표준편차,0.0004462216535827896
미국_설탕(-1~-5),0.00044354365416143847
가솔린(-16~-20),0.00044354365416143836
미국_대두박(-1~-5),0.0004283364431616176
원달러환율수익률표준편차(-11~-15),0.00042680615777798686
귀리(-11~-15),0.00042330257470565857
미국_옥수수(-6~-10),0.0004143964997451154
육우(-11~-15),0.00041186196457847863
미국_커피(-6~-10),0.00040429356095588267
알루미늄(-11~-15),0.00040386183981900697
미국_소맥(-6~-10),0.0004018161458165853
런던_소맥(-11~-15),0.0004002453450647266
11~15일 수익률 표준편차,0.0003891002978697139
브렌트유(-6~-10),0.0003845672259325294
런던_설탕(-16~-20),0.0003804014490548707
미국_대두박(-16~-20),0.0003801802749955187
주석(-6~-10),0.00037891300741220034
오렌지주스(-11~-15),0.00036793201424920014
알루미늄(-16~-20),0.0003627852341112888
원달러환율수익률표준편차(-6~-10),0.00034671723758317646
원목(-11~-15),0.0003206186985795541
런던_설탕(-11~-15),0.0003168168958295989
아연(-6~-10),0.00019294148956022582
코스닥수익률표준편차(-6~-10),0.00017446050397016587
코스피수익률표준편차(-1~-5),0.0001675609360165435
브렌트유(-1~-5),0.0001665752834517403
귀리(-6~-10),0.00015819723665091312
WTI유(-6~-10),0.00015745799722731072
천연가스(-1~-5),0.00015597951838010595
