,count_0,mean_0,std_0,min_0,25%_0,50%_0,75%_0,max_0,count_1,mean_1,std_1,min_1,25%_1,50%_1,75%_1,max_1
1~5일 수익률 표준편차,249.0,0.25034437724899594,0.21035514514085546,0.002236068,0.087647778,0.166957923,0.340543311,0.760569736,284.0,0.22550713379225354,0.21557121571655818,0.014109855,0.068466875,0.14326497,0.3019662465,0.780604917
6~10일 수익률 표준편차,249.0,0.053219545718875494,0.03477821740787231,0.001369306,0.028198316,0.043593497,0.063891212,0.184206886,284.0,0.048282362827464786,0.03214265819275512,0.006075936,0.026710582,0.039163637,0.0599529875,0.18444237
11~15일 수익률 표준편차,249.0,0.044370069060240956,0.030732951964087197,0.005225132,0.026432556,0.036013928,0.048589433,0.179438229,284.0,0.04008088165140844,0.028240907513899346,0.004744154,0.02190610475,0.0334035575,0.047306626000000004,0.17840854
16~20일 수익률 표준편차,249.0,0.0479815357188755,0.03660364532225449,0.002738613,0.02780428,0.039547149,0.053072243,0.375108068,284.0,0.03929071109507042,0.03044769699888603,0.002483345,0.02073380925,0.032043678000000006,0.04553036975,0.173648884
VIXCLS,249.0,21.94064257028112,8.247920582806143,10.81,16.81,21.33,25.75,82.69,284.0,16.379542253521127,5.2662749390048615,9.51,12.4975,15.65,18.78,40.74
시장금리국고채3년,249.0,1.938409638554217,1.070805297309195,0.796,1.006,1.666,3.081,4.548,284.0,1.7618838028169015,0.41648466248232235,1.095,1.45,1.732,2.04275,3.626
WTI유(-1~-5),249.0,0.018933327361445783,0.013224951083344738,0.001668507,0.010921374,0.016265347,0.022763013,0.126949297,284.0,0.015430966749999999,0.009328978814589838,0.0019736,0.00927011,0.013058518000000002,0.0192065815,0.064136778
WTI유(-6~-10),249.0,0.02038020308433735,0.012763155475799887,0.002903924,0.012236879,0.017785531,0.026217713,0.130144546,284.0,0.017702173873239437,0.01086862210755955,0.00248643,0.010446424,0.015911456999999997,0.022058199,0.081077628
WTI유(-11~-15),249.0,0.018368817204819275,0.011594941525321742,0.001344644,0.011273985,0.016370057,0.02321738,0.081441117,284.0,0.015994224242957742,0.009140121085578195,0.002426031,0.0092866565,0.0139281565,0.02058768775,0.063737015
WTI유(-16~-20),249.0,0.01767640999598393,0.01066899910683823,0.00071738,0.0109586,0.015594113,0.021577581,0.076591473,284.0,0.015280973197183098,0.008260625507344781,0.002211044,0.00903396,0.0136592955,0.0195054515,0.059815622
금(-1~-5),249.0,0.006628233602409639,0.004339202153965843,0.001044475,0.003634781,0.005766887,0.008637933,0.029227757,284.0,0.005773620316901409,0.003252352815955135,0.000637648,0.003626415,0.0051444375,0.007115085,0.019919964
금(-6~-10),249.0,0.006981197441767068,0.0038324878389769585,0.000885196,0.004426146,0.006071406,0.00867309,0.024568064,284.0,0.006486246443661972,0.0036764347846316233,0.000637648,0.00380031075,0.0055631615,0.008587397,0.02152962
금(-11~-15),249.0,0.00709648143373494,0.004066734544681747,0.001367374,0.004280001,0.006031528,0.009039475,0.027921938,284.0,0.006628748095070422,0.0035887213576085452,0.000481421,0.003922269999999999,0.0056758435,0.009198299,0.018597884
금(-16~-20),249.0,0.006499558819277108,0.004202048840540205,0.000170532,0.003476033,0.005598715,0.00830874,0.027921938,284.0,0.005630565929577465,0.003107305411677224,0.000633223,0.0032428705,0.0050750364999999995,0.007485196,0.02152962
구리_미국(-1~-5),249.0,0.009850316357429719,0.005101228411699421,0.000733638,0.006101099,0.008860403,0.013183066,0.024523029,284.0,0.009296845485915492,0.005185125146688169,0.000694558,0.00515109325,0.0086046325,0.0118877355,0.028654258
구리_미국(-6~-10),249.0,0.010864689232931726,0.006032334200764197,0.002450407,0.006839829,0.009267961,0.013054114,0.036604311,284.0,0.011059961109154928,0.005527546721788604,0.000699036,0.00699962475,0.010115846500000001,0.01531895225,0.028450746
구리_미국(-11~-15),249.0,0.010238704795180723,0.005831099743502406,0.001324609,0.006284389,0.008696238,0.012704472,0.038040213,284.0,0.010500898845070423,0.0057384562523034735,0.001359185,0.0062603885,0.0088422695,0.01395057975,0.029080425
구리_미국(-16~-20),249.0,0.009901941301204819,0.005827040867369005,0.000699036,0.005861449,0.00874587,0.012934279,0.036604311,284.0,0.010148466742957747,0.005757268284046927,0.000694545,0.00581813025,0.008625776,0.013426583,0.029770161
미국_커피(-1~-5),249.0,0.015946158827309237,0.008118106124964157,0.002869925,0.010334994,0.014083964,0.019974298,0.049354653,284.0,0.013604273397887324,0.007681647776683405,0.001912267,0.0083187105,0.01230505,0.01703059675,0.059897541
미국_커피(-6~-10),249.0,0.017498938887550202,0.008678281700944796,0.001971346,0.011314589,0.016182026,0.022612692,0.05239633,284.0,0.015284085985915493,0.007773220563662836,0.002773752,0.009261140499999999,0.014193478,0.019502978,0.044833968
미국_커피(-11~-15),249.0,0.016213200911646585,0.008320678179499597,0.000452196,0.010466347,0.014959752,0.02120588,0.049354653,284.0,0.014331862285211269,0.008272509795430087,0.002256706,0.008279683,0.012679308,0.017929267,0.067562889
미국_커피(-16~-20),249.0,0.014957325481927712,0.007565283098976497,0.001161076,0.009017323,0.013744921,0.019800803,0.037440976,284.0,0.014314027088028168,0.008259742195157134,0.002026181,0.008927795,0.013148366500000001,0.01725720125,0.059897541
돈육(-1~-5),249.0,0.015920198413654617,0.015289411635139125,0.000997437,0.006980329,0.011194475,0.017408502,0.084419339,284.0,0.015752421834507042,0.016235871400940093,0.001364303,0.006700171,0.01148977,0.01785432125,0.094015772
돈육(-6~-10),249.0,0.018999577064257027,0.016861520400833118,0.002266577,0.008129668,0.014986549,0.022169793,0.079253945,284.0,0.01845402230633803,0.01629324365794797,0.001176774,0.0087613115,0.013971395000000001,0.021984829,0.094829159
돈육(-11~-15),249.0,0.016247634815261043,0.013013261845903276,0.000577241,0.008083721,0.013410318,0.020925968,0.075794801,284.0,0.016425914246478872,0.015226894147025622,0.00044621,0.00770002925,0.0130350935,0.020394442500000002,0.094015772
돈육(-16~-20),249.0,0.015076402289156627,0.015153102307951359,0.000577241,0.006298755,0.010466798,0.018231072,0.092515668,284.0,0.014382965137323947,0.012788550474970623,0.00044621,0.00642110575,0.0118446135,0.016701835,0.084945169
미국_옥수수(-1~-5),249.0,0.010424671036144579,0.00619745995249417,0.001149186,0.00631027,0.009192509,0.013405604,0.036339548,284.0,0.01118064121830986,0.008170582486173278,0.000740166,0.0063590405000000004,0.0095418665,0.013074545,0.090458181
미국_옥수수(-6~-10),249.0,0.011491807855421686,0.006671105459196107,0.000740166,0.007324401,0.010345496,0.014181276,0.057492891,284.0,0.012852504908450703,0.008520411220053013,0.001060353,0.0073342254999999995,0.0113296295,0.0158814355,0.089960132
미국_옥수수(-11~-15),249.0,0.010457260867469878,0.007704836200867202,0.001209698,0.006186704,0.008342869,0.013036784,0.060365461,284.0,0.012381540338028168,0.007972633553156593,0.001116732,0.0071819885,0.010770542000000001,0.015960248,0.089960132
미국_옥수수(-16~-20),249.0,0.010143490522088353,0.007350969830845343,0.001149186,0.005688093,0.008279185,0.012152843,0.058728691,284.0,0.010889110841549296,0.00625599744021541,0.000880162,0.00663321975,0.009414538,0.013647771,0.036507148
코스피수익률표준편차(-1~-5),249.0,0.009506505618473894,0.0052975428439828685,0.001089792,0.00592223,0.008174075,0.012135683,0.03697357,284.0,0.007652867056338028,0.0038760515001821844,0.001624996,0.004989615,0.007044073,0.0093046675,0.024257241
코스피수익률표준편차(-6~-10),249.0,0.00937745883935743,0.004218718541960512,0.002295437,0.006547276,0.008627439,0.012062287,0.021832252,284.0,0.0073404493978873235,0.00371526343769695,0.001549883,0.0048512225,0.006582149,0.009235182000000002,0.026777325
코스피수익률표준편차(-11~-15),249.0,0.010261608791164657,0.005720909669760237,0.002202517,0.006594458,0.009190775,0.012814882,0.03697357,284.0,0.007374743996478873,0.004001899272442615,0.001214768,0.0046408362500000005,0.0066077689999999994,0.00907085925,0.026777325
코스피수익률표준편차(-16~-20),249.0,0.009927752742971889,0.004423650664572757,0.002089399,0.006515155,0.008999068,0.01250272,0.02296485,284.0,0.0077618506584507035,0.004039251875265998,0.001658795,0.0050544145,0.007185403,0.00969252725,0.025969347
나스닥수익률표준편차(-1~-5),249.0,0.014097301622153056,0.0089714597570367,0.0026882151904667,0.0080500145724508,0.0122642173050265,0.0185550624489052,0.0815332277435286,284.0,0.009427721509155431,0.0063595257737781834,0.0018932024600335,0.00501702989353415,0.00742226385699665,0.011869666892078,0.0339125806683455
나스닥수익률표준편차(-6~-10),249.0,0.013388674577251392,0.007548484748866252,0.001434976037709,0.0072092102146229,0.0128823221665767,0.0177079133501626,0.0403439256325616,284.0,0.009271245304766432,0.0057795604611961485,0.0015469917795674,0.0052177846632225746,0.00758469483172205,0.01189453402812735,0.0313977367553741
나스닥수익률표준편차(-11~-15),249.0,0.01339648737095438,0.00729574325174601,0.0017239694504447,0.0073442107080654,0.0124757159171799,0.0190233081366587,0.0338633648670886,284.0,0.009307158606130479,0.005855731744899655,0.0015469917795674,0.0054999766166664,0.0077114296336307005,0.011608724441080525,0.0359977203530693
나스닥수익률표준편차(-16~-20),249.0,0.013238749085065874,0.006739109800377541,0.0022313368418483,0.0077030308494885,0.0129003965137028,0.0173767851493256,0.0359036618575484,284.0,0.00905309414325372,0.005582703253737923,0.0014065029169557,0.0056734924586710755,0.0078665562432188,0.010668845595405149,0.0286792154865016
원달러환율수익률표준편차(-1~-5),249.0,0.00508366585583755,0.0025961100107200034,0.0013832262256324,0.0034311722616355,0.0044020124022592,0.0061789434286854,0.0195620552211228,284.0,0.0049430855052713645,0.0022644687849406866,0.0009641740267239,0.00336857068674965,0.00459213689589775,0.0062758484036130255,0.0151553520156436
원달러환율수익률표준편차(-6~-10),249.0,0.004969968752820904,0.0021872052366661604,0.001086504785598,0.0034188069444616,0.0045614977748725,0.0064219140700851,0.0138091400419819,284.0,0.004997483852378146,0.0021538023647987383,0.000915312377646,0.0035669958116206,0.00470413799700275,0.0062451328115714,0.0148308677416604
원달러환율수익률표준편차(-11~-15),249.0,0.005177858110139737,0.002387258757087145,0.0011545254471047,0.0035333013854452,0.004643233765582,0.0065589868645849,0.0204920381820373,284.0,0.004912604213387574,0.002295349155094788,0.0003560073486516,0.00345734862426705,0.00454582499507265,0.0061671961139441,0.0157340123982629
원달러환율수익률표준편차(-16~-20),249.0,0.005104975588193145,0.002416184120060224,0.001086504785598,0.0033097326022221,0.0046388083032338,0.0064508899662399,0.0136431193729038,284.0,0.004511796930353147,0.0019308513884299869,0.0003560073486516,0.003182493960272375,0.00434662215916445,0.005694044579303375,0.0110795662566036
