,날짜,CPI
0,2015-01-01,94.643
1,2015-02-01,94.587
2,2015-03-01,94.596
3,2015-04-01,94.625
4,2015-05-01,94.89
5,2015-06-01,94.909
6,2015-07-01,95.08
7,2015-08-01,95.213
8,2015-09-01,94.966
9,2015-10-01,94.966
10,2015-11-01,94.786
11,2015-12-01,95.07
12,2016-01-01,95.232
13,2016-02-01,95.64
14,2016-03-01,95.393
15,2016-04-01,95.573
16,2016-05-01,95.63
17,2016-06-01,95.611
18,2016-07-01,95.431
19,2016-08-01,95.677
20,2016-09-01,96.247
21,2016-10-01,96.379
22,2016-11-01,96.237
23,2016-12-01,96.342
24,2017-01-01,97.366
25,2017-02-01,97.632
26,2017-03-01,97.565
27,2017-04-01,97.442
28,2017-05-01,97.546
29,2017-06-01,97.338
30,2017-07-01,97.499
31,2017-08-01,98.058
32,2017-09-01,98.172
33,2017-10-01,98.077
34,2017-11-01,97.347
35,2017-12-01,97.698
36,2018-01-01,98.106
37,2018-02-01,98.855
38,2018-03-01,98.751
39,2018-04-01,98.931
40,2018-05-01,98.979
41,2018-06-01,98.779
42,2018-07-01,98.59
43,2018-08-01,99.462
44,2018-09-01,100.221
45,2018-10-01,100.041
46,2018-11-01,99.33
47,2018-12-01,98.988
48,2019-01-01,98.884
49,2019-02-01,99.311
50,2019-03-01,99.121
51,2019-04-01,99.481
52,2019-05-01,99.652
53,2019-06-01,99.491
54,2019-07-01,99.187
55,2019-08-01,99.425
56,2019-09-01,99.794
57,2019-10-01,100.041
58,2019-11-01,99.481
59,2019-12-01,99.719
60,2020-01-01,100.09
61,2020-02-01,100.16
62,2020-03-01,99.94
63,2020-04-01,99.5
64,2020-05-01,99.44
65,2020-06-01,99.71
66,2020-07-01,99.63
67,2020-08-01,100.19
68,2020-09-01,100.74
69,2020-10-01,100.18
70,2020-11-01,100.09
71,2020-12-01,100.33
72,2021-01-01,101.04
73,2021-02-01,101.58
74,2021-03-01,101.84
75,2021-04-01,101.98
76,2021-05-01,102.05
77,2021-06-01,102.05
78,2021-07-01,102.26
79,2021-08-01,102.75
80,2021-09-01,103.17
81,2021-10-01,103.35
82,2021-11-01,103.87
83,2021-12-01,104.04
84,2022-01-01,104.85
85,2022-02-01,105.42
86,2022-03-01,106.1
87,2022-04-01,106.83
88,2022-05-01,107.5
89,2022-06-01,108.21
90,2022-07-01,108.73
91,2022-08-01,108.63
92,2022-09-01,108.82
93,2022-10-01,109.16
94,2022-11-01,109.07
95,2022-12-01,109.26
96,2023-01-01,110.07
97,2023-02-01,110.33
98,2023-03-01,110.52
99,2023-04-01,110.77
100,2023-05-01,111.13
101,2023-06-01,111.16
