회사명,종목코드,상장일,상장유형,증권구분,업종,국적,상장주선인,액면가 (원),공모가 (원),공모금액 (천원),주요제품,최초상장주식수 (주)
파인메딕스,387570,2024-12-26,신규상장,주권,의료용 기기 제조업,대한민국,한국투자증권(주),100,"10,000","9,000,000","인젝터, 스네어, 나이프, 포셉 등 내시경용 시술기구","5,625,900"
쓰리에이로직스,177900,2024-12-24,신규상장,주권,반도체 제조업,대한민국,"신한투자증권 주식회사,미래에셋증권 주식회사",500,"11,000","20,431,400",NFC/IoT SoC 및 모듈,"9,286,800"
신한제14호스팩,487360,2024-12-23,신규상장,주권,금융 지원 서비스업,대한민국,신한투자증권 주식회사,100,"2,000","10,000,000",금융 지원 서비스업,"5,640,000"
키움제10호스팩,487720,2024-12-20,신규상장,주권,금융 지원 서비스업,대한민국,키움증권(주),100,"2,000","7,800,000",기업 인수합병,"4,230,000"
온코닉테라퓨틱스,476060,2024-12-19,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,엔에이치투자증권주식회사,500,"13,000","20,150,000","자큐보정(Zastaprazan, 소화기질환 신약), Nesuparib(표적항암제 신약)","10,803,960"
온코크로스,382150,2024-12-18,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,미래에셋증권 주식회사,500,"7,300","10,387,900",AI플랫폼 기반 신약개발 용역서비스,"11,857,937"
벡트,457600,2024-12-16,신규상장,주권,영상 및 음향기기 제조업,대한민국,신한투자증권 주식회사,100,"3,900","18,525,000","프로젝터, 전자칠판, 전자교탁 및 관련 영상 소프트웨어, 콘텐츠 등","13,707,500"
KB제31호스팩,492220,2024-12-12,신규상장,주권,금융 지원 서비스업,대한민국,KB증권(주),100,"2,000","12,000,000",기업인수합병,"6,210,000"
키움제11호스팩,489480,2024-12-11,신규상장,주권,금융 지원 서비스업,대한민국,키움증권(주),100,"2,000","10,000,000",기업 인수합병,"6,600,000"
디비금융제13호스팩,489730,2024-11-28,신규상장,주권,기타 금융업,대한민국,DB증권주식회사,100,"2,000","12,000,000",기업인수 및 합병,"6,332,000"
교보17호스팩,489210,2024-11-21,신규상장,주권,금융 지원 서비스업,대한민국,교보증권(주),100,"2,000","10,000,000",기업인수합병,"5,180,000"
위츠,459100,2024-11-20,신규상장,주권,전자부품 제조업,대한민국,신한투자증권 주식회사,500,"6,400","19,200,000","무선충전소재, 부품 제조","12,416,000"
대신밸런스제19호스팩,482690,2024-11-20,신규상장,주권,금융 지원 서비스업,대한민국,대신증권(주),100,"2,000","11,000,000",기업 인수 및 합병,"5,615,000"
사이냅소프트,466410,2024-11-19,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,엔에이치투자증권주식회사,500,"24,500","24,745,000","웹 기반 문서뷰어, 문서필터, 웹 에디터 등","5,037,023"
하나34호스팩,484130,2024-11-19,신규상장,주권,금융 지원 서비스업,대한민국,하나증권주식회사,100,"2,000","8,000,000",기업인수목적,"4,520,000"
엠오티,413390,2024-11-18,신규상장,주권,특수 목적용 기계 제조업,대한민국,한국투자증권(주),500,"10,000","17,500,000",이차전지 제조 자동화 설비,"11,580,180"
에스켐,475660,2024-11-18,신규상장,주권,기타 화학제품 제조업,대한민국,엔에이치투자증권주식회사,500,"10,000","19,500,000",OLED 유기화합물 등,"7,781,835"
신한제15호스팩,487830,2024-11-15,신규상장,주권,금융 지원 서비스업,대한민국,신한투자증권 주식회사,100,"2,000","7,800,000",금융 지원 서비스업,"4,350,000"
쓰리빌리언,394800,2024-11-14,신규상장,주권,의료용 기기 제조업,대한민국,한국투자증권(주),100,"4,500","14,400,000",유전체 분석 기반 희귀 유전질환 진단 검사 서비스,"31,444,038"
닷밀,464580,2024-11-13,신규상장,주권,"영화, 비디오물, 방송프로그램 제작 및 배급업",대한민국,미래에셋증권 주식회사,500,"13,000","15,600,000","실감미디어 콘텐츠 및 시설 구축, 전시 및 테마파크 운영","9,147,948"
