,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,VIXCLS,시장금리국고채3년,WTI유(1~5),WTI유(6~10),WTI유(11~15),WTI유(16~20),금(1~5),금(6~10),금(11~15),금(16~20),구리_미국(1~5),구리_미국(6~10),구리_미국(11~15),구리_미국(16~20),미국_커피(1~5),미국_커피(6~10),미국_커피(11~15),미국_커피(16~20),돈육(1~5),돈육(6~10),돈육(11~15),돈육(16~20),코스피수익률표준편차(1~5),코스피수익률표준편차(6~10),코스피수익률표준편차(11~15),코스피수익률표준편차(16~20),나스닥수익률표준편차(1~5),나스닥수익률표준편차(6~10),나스닥수익률표준편차(11~15),나스닥수익률표준편차(16~20),원달러환율수익률표준편차(1~5),원달러환율수익률표준편차(6~10),원달러환율수익률표준편차(11~15),원달러환율수익률표준편차(16~20),위치,cluster_k2
2,0.494997682,0.05474742,0.020483213,0.047154713,11.71,1.694,0.0034925901194776,0.0068182517160662,0.0148525199935229,0.0074934092658649,0.0039472513380188,0.0063089697303891,0.0052006577133257,0.0074461029351377,0.0040309737614954,0.0081151973382448,0.0048167050377392,0.0131887521319242,0.020295012880358,0.0100336135834332,0.0052003882673413,0.0150912540638486,0.0185724774869439,0.0119637282736962,0.0228381518120961,0.0111710623238307,0.0014868612880934,0.0043072752014347,0.0041438073950667,0.0086920530179086,0.0046976458295136,0.005325779723946,0.0029564042035244,0.0042913767577512,0.0032357237781851,0.0028842989228309,0.007889930968669,0.0062879251968341,-2.6666666666666665,0
6,0.287325552,0.02307893,0.030618344,0.056473153,24.23,3.205,0.023725115302557,0.0308983250590324,0.0183751188979476,0.0233774588280163,0.0036052163496092,0.0055980504967275,0.0089544223699921,0.009100532638771,0.0187986776667521,0.0084950627938711,0.009812513293265,0.0073499985642999,0.0347761053346968,0.0218003254168846,0.014143717298826,0.0196119544472401,0.015456288270143,0.012745786301228,0.0073207570400624,0.0056568075996472,0.0099878986862309,0.0027310805550087,0.0056818430365627,0.0094367850869714,0.0062409928460364,0.0215208086974039,0.0067170977885786,0.0164507285856922,0.0032652295565489,0.0025833336147519,0.0033771045946632,0.0038392640361061,1.0,0
8,0.306137007,0.041399312,0.021280508,0.020321983,19.12,3.249,0.0250238877238986,0.001729219388292,0.0164135156486524,0.0095141493527502,0.0066229603318859,0.0094115417305587,0.0096739381747628,0.0096091893622286,0.0057456201189687,0.0098736994875409,0.0096970592169109,0.0056196434089396,0.0146561113523518,0.0158420019910599,0.0220456335315751,0.0208879370868341,0.0067381880697724,0.0182213705106025,0.0045983097540065,0.042752865184434,0.0041855282716489,0.0117157767828772,0.0024488398260757,0.0044640636222422,0.0101853038429724,0.002063260622438,0.0049334129008281,0.009435771078945,0.0053756244566317,0.0023774449037131,0.0109080320772319,0.0030590968268681,1.0,0
11,0.181174383,0.034411989,0.075719925,0.146188953,22.17,3.633,0.0121261021989777,0.0255941990015978,0.01089810848992,0.0155519803799725,0.0037740336991642,0.0141895322603582,0.007078867463642,0.0082214894700335,0.0053824520813029,0.0179965575175581,0.0025118624080121,0.0113586410338126,0.0100507648008228,0.0349351806898661,0.0101234964152644,0.0085827447970523,0.0029714818272585,0.0231548883601177,0.0250810540587887,0.0076893569528852,0.0057100024965164,0.0100568395466791,0.0114793486802227,0.010192630637387,0.0204093411494995,0.0074655213124785,0.0104114262399988,0.0110754721027748,0.0027100695952201,0.0095298086862374,0.0057313235625664,0.0057985565139027,-0.9019607843137256,0
18,0.573845121,0.034148089,0.052141279,0.016660372,18.85,1.793,0.0240679397162505,0.02777786858887,0.0094758692956505,0.0132799144056616,0.005727621105522,0.009792420567753,0.0009711353808199,0.004370721077103,0.0045922120639051,0.0286542577373609,0.003290324735475,0.0048889504012066,0.0186419207076439,0.0083341247295034,0.0114738527935751,0.007069140772936,0.0121170985568869,0.0061650011498055,0.0044357503888657,0.0254454254827647,0.0138810131090342,0.0104815588342034,0.0055229084814391,0.0061067372235016,0.0051747114882044,0.0076305777314577,0.0039638524361573,0.0092449901167908,0.0036696160439043,0.0044506796071763,0.0035322246111727,0.0044142121962089,1.0,0
19,0.4707673129999999,0.1110439689999999,0.02746911,0.032289983,23.84,0.949,0.0098881551095172,0.0232173798792588,0.0125490792594112,0.0086953867536007,0.0092938884911295,0.0079703771371596,0.009734476230315,0.0061874725518861,0.0140837382837157,0.0076575571762762,0.0057193658746063,0.0055892114723165,0.0198076733673711,0.0292413803831465,0.020958110245038,0.0119620567635057,0.0173129642124461,0.0067949726593975,0.0146189964506746,0.0092709492590016,0.0093786523108531,0.0133423484134034,0.0136753873764161,0.0054483455206349,0.0041754347387515,0.0068432137753831,0.0079691445763094,0.0060636574887769,0.0056570734559437,0.0017042410479566,0.0033789250568715,0.0017533658943176,-0.6,0
22,0.70482675,0.01738554,0.017864014,0.024876535,25.35,0.969,0.0189001064234651,0.006473257583144,0.0225030398430873,0.0118644630790065,0.003249488739515,0.0051085112966961,0.0088397718087323,0.0100961306661873,0.0084805155737148,0.0122308490749273,0.0110352537202878,0.005818804284626,0.0269041668361797,0.0264934700769612,0.0304839818844352,0.0200674187127783,0.0076281140678133,0.0157250709008999,0.007818894706711,0.0143330389733288,0.0084590915497254,0.0093271932133622,0.0132444625201486,0.0142022937361362,0.0037691893950883,0.0038917017593967,0.0063864105579562,0.0080126350841776,0.0060780988457099,0.0013891211765745,0.0025505681493126,0.0044513916287002,1.0,0
23,0.261263032,0.023295343,0.047688175,0.088601479,26.52,3.435,0.0278196078726821,0.0158894394302023,0.023868867690186,0.0105740488169772,0.0127866959793581,0.0159669863909111,0.009252797989775,0.0064136891965792,0.0195138523544708,0.007279149582448,0.0055934282368908,0.0009253236313899,0.0241775879874927,0.0242860377160823,0.0179875488862056,0.0110848335986881,0.0224236758213139,0.0100663634534159,0.0131759210236317,0.0072394074070179,0.0149741758159968,0.0062673285300536,0.0050875515602644,0.010464215615617,0.0124884777072349,0.0112034148303547,0.0123342233308244,0.005487213950488,0.0049126368525931,0.0050789476882284,0.0050106966804322,0.003002602412772,2.5384615384615383,0
25,0.380329026,0.024802984,0.089614497,0.031069084,20.03,3.378,0.0168471001375626,0.0305608546688204,0.0106588137530433,0.0280430090615889,0.0098654037862194,0.0075770746412949,0.0080088355226958,0.0025413551543628,0.0117889912436308,0.0100443172794189,0.006573673802169,0.0109173341691634,0.0122159113233145,0.0194594452164946,0.0213910437381561,0.0122894476124269,0.0131591210391795,0.0243011783420618,0.0193591548322972,0.0039098406725892,0.0062494323400941,0.0065135848043727,0.0058124707394632,0.0055883691576992,0.0116690701702365,0.0068308640136653,0.0030429364757965,0.0051625100630771,0.0037451179566479,0.0037433483906698,0.0041094704115559,0.0040134537621006,1.6226415094339623,0
26,0.295842614,0.025248406,0.024265881,0.028007642,15.94,1.533,0.0230333195564648,0.0296504230540721,0.0042469209174043,0.0154028341801287,0.0022634591245214,0.0159857357605512,0.0055072821673979,0.0016094912177142,0.0058614491004539,0.0113246319519648,0.0053365113586383,0.0033948476351633,0.0162815554277111,0.0259241291470849,0.0222154654982662,0.0145386307210115,0.0020187182729546,0.0289222866504472,0.0279537692745419,0.0111944749377336,0.0038299378213915,0.0056526504069124,0.0032427587820794,0.0111048008783927,0.0070022269267878,0.0093402910192455,0.0091296698970786,0.0046526249203072,0.0015311470035272,0.0031084836483722,0.0032101449646205,0.0022215237299153,-1.3333333333333333,0
