,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,VIXCLS,시장금리국고채3년,WTI유(-1~-5),WTI유(-6~-10),WTI유(-11~-15),WTI유(-16~-20),금(-1~-5),금(-6~-10),금(-11~-15),금(-16~-20),구리_미국(-1~-5),구리_미국(-6~-10),구리_미국(-11~-15),구리_미국(-16~-20),미국_커피(-1~-5),미국_커피(-6~-10),미국_커피(-11~-15),미국_커피(-16~-20),돈육(-1~-5),돈육(-6~-10),돈육(-11~-15),돈육(-16~-20),미국_옥수수(-1~-5),미국_옥수수(-6~-10),미국_옥수수(-11~-15),미국_옥수수(-16~-20),코스피수익률표준편차(-1~-5),코스피수익률표준편차(-6~-10),코스피수익률표준편차(-11~-15),코스피수익률표준편차(-16~-20),나스닥수익률표준편차(-1~-5),나스닥수익률표준편차(-6~-10),나스닥수익률표준편차(-11~-15),나스닥수익률표준편차(-16~-20),원달러환율수익률표준편차(-1~-5),원달러환율수익률표준편차(-6~-10),원달러환율수익률표준편차(-11~-15),원달러환율수익률표준편차(-16~-20),cluster_k4
2,0.494997682,0.05474742,0.020483213,0.047154713,11.71,1.694,0.020350809,0.011142816,0.017404008,0.048685031,0.014517103,0.004983961,0.004621263,0.007813422,0.00646473,0.007558112,0.016037441,0.011290688,0.008177403,0.012099485,0.007112774,0.017733176,0.033315686,0.009528411,0.013410318,0.011365711,0.009252003,0.007078658,0.017811314,0.019121654,0.001800265,0.010532442,0.003648426,0.00662176,0.0066227888654098,0.0033893429684334,0.0068620550222102,0.0044239088463891,0.0069246098634049,0.0062015417633123,0.0068799932078639,0.0073591573236803,0
6,0.287325552,0.02307893,0.030618344,0.056473153,24.23,3.205,0.03448904,0.066185842,0.026163451,0.016379404,0.008605552,0.007368453,0.00867585,0.001504877,0.022310226,0.034256004,0.012940409,0.002487306,0.026963189,0.008076603,0.010466347,0.025150057,0.002857774,0.010719465,0.002511155,0.00297374,0.036339548,0.023890288,0.018117464,0.011641929,0.006800784,0.017726074,0.019260372,0.01366877,0.0099750538166884,0.0140230538584001,0.0239076232371383,0.0275227362504665,0.0075606644523713,0.0084991398320672,0.0062996433387813,0.0032837418934507,2
8,0.306137007,0.041399312,0.021280508,0.020321983,19.12,3.249,0.023868868,0.015889439,0.027819608,0.01401212,0.009252798,0.015966986,0.012786696,0.011501192,0.005593428,0.00727915,0.019513852,0.003049931,0.017987549,0.024286038,0.024177588,0.012125234,0.013175921,0.010066363,0.022423676,0.016095564,0.00816691,0.00392976,0.004537476,0.015293793,0.007287933,0.007644908,0.011715242,0.004795298,0.0097584888259926,0.012761406575337,0.0173957558252396,0.0125877271520499,0.0060317634654406,0.0060526970404926,0.0121316632623782,0.0085001247428025,2
11,0.181174383,0.034411989,0.075719925,0.146188953,22.17,3.633,0.017283398,0.012456905,0.016701242,0.017306755,0.017382429,0.006095488,0.005125362,0.003319218,0.013228572,0.012578402,0.010644936,0.009542144,0.0126691,0.020212583,0.020862322,0.00739355,0.004405191,0.022169793,0.004033359,0.005058061,0.010450575,0.003038376,0.008933357,0.002011622,0.013657969,0.008673999,0.007171813,0.016593604,0.023931686759393,0.0128823221665767,0.0115821225285362,0.0359036618575484,0.0195620552211228,0.0138091400419819,0.0085471322256682,0.0093205818177276,2
18,0.573845121,0.034148089,0.052141279,0.016660372,18.85,1.793,0.005795234,0.012969407,0.006640469,0.020824153,0.001622343,0.006506556,0.010531981,0.004840846,0.003505629,0.011064664,0.006285228,0.015858425,0.020672889,0.015228509,0.021308707,0.013817454,0.004922913,0.014233757,0.025007119,0.002310246,0.014292753,0.014430033,0.012690818,0.00898811,0.004969264,0.004831878,0.003148297,0.006044783,0.0059009306258405,0.0071209284784451,0.0083976149837181,0.0048307174405692,0.0031370900873314,0.0046850178345612,0.0071271219080871,0.00473246276384,0
19,0.4707673129999999,0.1110439689999999,0.02746911,0.032289983,23.84,0.949,0.018900106,0.037341328,0.030702,0.021805444,0.003249489,0.024568064,0.012923848,0.00478087,0.008480516,0.00383133,0.005480494,0.004915334,0.026904167,0.007302446,0.012722454,0.00641185,0.007628114,0.009912673,0.021750402,0.006226016,0.006108049,0.022889868,0.007370101,0.003248153,0.010000238,0.009397015,0.018112485,0.005774503,0.0105300138923129,0.0240724874718927,0.0250994459407327,0.0089930148480758,0.0035445864671503,0.0022660235512779,0.0047993211097628,0.0037304613901756,1
20,0.002236068,0.001369306,0.005225132,0.002738613,21.46,1.803,0.019648287,0.024327227,0.016939861,0.032508265,0.003727295,0.005522276,0.006108613,0.001698717,0.011533523,0.011407238,0.018642143,0.003659152,0.017457396,0.007284298,0.02690815,0.01262978,0.005672015,0.01211541,0.010575659,0.015488585,0.002258944,0.007487345,0.008029157,0.00385828,0.0076107,0.01035495,0.008022524,0.006756349,0.0214254531975044,0.012899685296374,0.0202340578496226,0.0162969829225348,0.0031242465637537,0.0043695185156494,0.0046388083032338,0.0046405574653315,2
23,0.70482675,0.01738554,0.017864014,0.024876535,25.35,0.969,0.035973624,0.03280108,0.023431841,0.021577581,0.023808737,0.012453131,0.008770943,0.001359776,0.003220846,0.005005487,0.003976823,0.00609197,0.007409611,0.016438333,0.007678567,0.007277762,0.006957069,0.022089495,0.008569779,0.006702185,0.019344083,0.007835236,0.015103207,0.004534054,0.009349659,0.018098408,0.006079909,0.006881483,0.0189331184797758,0.0231848525005215,0.0184989471767065,0.0072092102146229,0.0022257399959245,0.0046079705500675,0.0038423284323846,0.001086504785598,1
24,0.261263032,0.023295343,0.047688175,0.088601479,26.52,3.435,0.010267332,0.020518971,0.009964142,0.018899935,0.008072211,0.009779683,0.004670646,0.003347598,0.006030766,0.013054114,0.016591067,0.01672027,0.018374929,0.011253201,0.01103528,0.025402061,0.013926499,0.010726768,0.008757951,0.026576076,0.016424326,0.008869941,0.014036591,0.010768712,0.010053432,0.006582332,0.010233029,0.01337371,0.0105712344002765,0.0099395659006112,0.0131500360921094,0.0130783822928065,0.010004981238337,0.0087151069098337,0.0045390214107996,0.0035697619486731,2
26,0.380329026,0.024802984,0.089614497,0.031069084,20.03,3.378,0.005669537,0.016583614,0.012072745,0.018823213,0.005458162,0.007324625,0.004709792,0.009039475,0.009250817,0.018626285,0.015359482,0.004918911,0.008876964,0.019554936,0.005415141,0.01776204,0.011259437,0.058482153,0.003670304,0.009760259,0.013230861,0.024900844,0.012750472,0.004395711,0.00197073,0.003442223,0.006886139,0.007499827,0.0113653233201282,0.0057979322188317,0.0120299285105974,0.0128791530428435,0.0058570075783734,0.0071134714629898,0.0057480652223441,0.0036729324846975,0
27,0.295842614,0.025248406,0.024265881,0.028007642,15.94,1.533,0.023128037,0.024646742,0.017914406,0.027615045,0.002886343,0.007285813,0.004426146,0.00461552,0.010244233,0.004955098,0.006269472,0.007657156,0.033451538,0.013016261,0.017398084,0.025702811,0.006621084,0.009873111,0.016884159,0.013983108,0.014418542,0.009601254,0.022995434,0.018727137,0.005374092,0.007857892,0.0034231,0.008917631,0.0158629642497754,0.0072246250618146,0.0108405930133075,0.0194701789448169,0.0037836129286853,0.0038967015182161,0.0029763950276691,0.0059724859773407,0
28,0.700899403,0.103044786,0.134770676,0.112355966,20.71,3.401,0.016193042,0.018895743,0.009566445,0.011246498,0.001469774,0.012612845,0.003678077,0.001608257,0.008149572,0.011787975,0.005789639,0.002450407,0.009417746,0.03984935,0.012370964,0.010348499,0.003317903,0.012198685,0.007016092,0.008259019,0.005080285,0.005204028,0.005649794,0.010967976,0.011545054,0.013118828,0.008996044,0.003242891,0.022574505108254,0.0163827639637296,0.0157996612123995,0.0109207748357347,0.0109263791387705,0.0016168405104151,0.0027494351048607,0.0026581219070733,1
29,0.043501816,0.078059548,0.047689234,0.022465752,16.88,1.093,0.015832342,0.019988514,0.027924754,0.043502938,0.005241758,0.0031857,0.011619955,0.008958787,0.006601282,0.009268667,0.009094673,0.014559298,0.01054462,0.022815732,0.014845906,0.013769746,0.079294497,0.009853596,0.011771538,0.015822249,0.017005453,0.030298241,0.007319516,0.017304535,0.007586959,0.011742983,0.00806415,0.008519491,0.0206504074495032,0.0224232115304538,0.0046464433757047,0.0083287237648396,0.0077845304333395,0.0066937090303785,0.0037116917860507,0.0023419498846321,0
31,0.602509249,0.099865444,0.03282921,0.125282872,18.49,3.791,0.009964142,0.018899935,0.013886575,0.007073641,0.004670646,0.003347598,0.001657801,0.005056789,0.016591067,0.01672027,0.012782595,0.009898905,0.01103528,0.025402061,0.019758849,0.026541075,0.008757951,0.026576076,0.003974941,0.064237623,0.014036591,0.010768712,0.001209698,0.005690106,0.007850692,0.013820663,0.007606607,0.011545054,0.0099972113659542,0.0133149588360188,0.0104985672491339,0.022574505108254,0.0089408501244367,0.0036020694777742,0.0035752221522508,0.0086827790838303,2
