,회사명,상장일,소비자심리지수,경기국면
0,엠앤씨솔루션,2024-12-16,88.2,비관
1,더본코리아,2024-11-06,100.7,낙관
2,전진건설로봇,2024-08-19,100.8,낙관
3,산일전기,2024-07-29,103.6,낙관
4,시프트업,2024-07-11,103.6,낙관
5,HD현대마린솔루션,2024-05-08,98.4,비관
6,에이피알,2024-02-27,101.9,낙관
7,DS단석,2023-12-22,99.7,비관
8,동인기연,2023-11-21,97.3,비관
9,에코프로머티,2023-11-17,97.3,비관
10,두산로보틱스,2023-10-05,98.2,비관
11,넥스틸,2023-08-21,103.3,낙관
12,바이오노트,2022-12-22,90.1,비관
13,쏘카,2022-08-22,89.0,비관
14,수산인더스트리,2022-08-01,89.0,비관
15,LG에너지솔루션,2022-01-27,104.9,낙관
16,카카오페이,2021-11-03,108.2,낙관
17,케이카,2021-10-13,107.3,낙관
18,현대중공업,2021-09-17,104.1,낙관
19,일진하이솔루스,2021-09-01,104.1,낙관
20,아주스틸,2021-08-20,102.8,낙관
21,롯데렌탈,2021-08-19,102.8,낙관
22,한컴라이프케어,2021-08-17,102.8,낙관
23,크래프톤,2021-08-10,102.8,낙관
24,에스디바이오센서,2021-07-16,103.6,낙관
25,SK아이이테크놀로지,2021-05-11,105.5,낙관
26,SK바이오사이언스,2021-03-18,100.6,낙관
27,솔루엠,2021-02-02,97.4,비관
28,명신산업,2020-12-07,91.0,비관
29,에이플러스에셋,2020-11-20,99.1,비관
30,교촌에프앤비,2020-11-12,99.1,비관
31,빅히트,2020-10-15,92.7,비관
32,에스케이바이오팜,2020-07-02,85.4,비관
33,센트랄모텍,2019-11-25,102.0,낙관
34,현대에너지솔루션,2019-11-19,102.0,낙관
35,한화시스템,2019-11-13,102.0,낙관
36,자이에스앤디,2019-11-06,102.0,낙관
37,지누스,2019-10-30,99.7,비관
38,현대오토에버,2019-03-28,100.8,낙관
39,드림텍,2019-03-14,100.8,낙관
40,에어부산,2018-12-27,97.8,비관
41,아시아나IDT,2018-11-23,96.6,비관
42,하나제약,2018-10-02,100.2,낙관
43,우진아이엔에스,2018-09-14,101.0,낙관
44,티웨이항공,2018-08-01,100.1,낙관
45,롯데정보통신,2018-07-27,102.1,낙관
46,애경산업,2018-03-22,109.5,낙관
47,동양피스톤,2017-12-08,112.1,낙관
48,진에어,2017-12-08,112.1,낙관
49,삼양패키징,2017-11-29,113.6,낙관
50,테이팩스,2017-10-31,110.3,낙관
51,넷마블게임즈,2017-05-12,109.0,낙관
52,덴티움,2017-03-15,97.0,비관
53,호전실업,2017-02-02,94.5,비관
54,핸즈코퍼레이션,2016-12-02,94.3,비관
55,두산밥캣,2016-11-18,96.0,비관
56,삼성바이오로직스,2016-11-10,96.0,비관
57,JW생명과학,2016-10-27,102.7,낙관
58,화승엔터프라이즈,2016-10-04,102.7,낙관
59,엘에스전선 아시아,2016-09-22,102.4,낙관
60,두올,2016-07-29,101.6,낙관
61,해성디에스,2016-06-24,99.3,비관
62,용평리조트,2016-05-27,99.8,비관
63,해태제과식품,2016-05-11,99.8,비관
64,대림씨엔에스,2016-03-30,100.6,낙관
65,제이에스코퍼레이션,2016-02-04,98.3,비관
66,코리아오토글라스,2015-12-29,103.3,낙관
67,잇츠스킨,2015-12-28,103.3,낙관
68,세진중공업,2015-11-30,106.6,낙관
69,금호에이치티,2015-11-11,106.6,낙관
70,제주항공,2015-11-06,106.6,낙관
71,LIG넥스원,2015-10-02,105.9,낙관
72,동일제강,2015-09-24,103.4,낙관
73,아이콘트롤스,2015-09-24,103.4,낙관
74,AJ네트웍스,2015-08-21,102.2,낙관
75,이노션,2015-07-17,100.8,낙관
76,토니모리,2015-07-10,100.8,낙관
77,경보제약,2015-06-29,98.8,비관
78,에스케이디앤디,2015-06-23,98.8,비관
79,엔에스쇼핑,2015-03-27,102.0,낙관
80,세화아이엠씨,2015-03-19,102.0,낙관
81,파인메딕스,2024-12-26,88.2,비관
82,쓰리에이로직스,2024-12-24,88.2,비관
83,온코닉테라퓨틱스,2024-12-19,88.2,비관
84,온코크로스,2024-12-18,88.2,비관
85,벡트,2024-12-16,88.2,비관
86,위츠,2024-11-20,100.7,낙관
87,사이냅소프트,2024-11-19,100.7,낙관
88,엠오티,2024-11-18,100.7,낙관
89,에스켐,2024-11-18,100.7,낙관
90,쓰리빌리언,2024-11-14,100.7,낙관
91,닷밀,2024-11-13,100.7,낙관
92,노머스,2024-11-12,100.7,낙관
93,에어레인,2024-11-08,100.7,낙관
94,토모큐브,2024-11-07,100.7,낙관
95,에이치이엠파마,2024-11-05,100.7,낙관
96,탑런토탈솔루션,2024-11-01,100.7,낙관
97,에이럭스,2024-11-01,100.7,낙관
98,성우,2024-10-31,101.8,낙관
99,클로봇,2024-10-28,101.8,낙관
100,웨이비스,2024-10-25,101.8,낙관
101,씨메스,2024-10-24,101.8,낙관
102,한켐,2024-10-22,101.8,낙관
103,루미르,2024-10-21,101.8,낙관
104,와이제이링크,2024-10-18,101.8,낙관
105,인스피언,2024-10-18,101.8,낙관
106,셀비온,2024-10-16,101.8,낙관
107,제닉스,2024-09-30,100.0,낙관
108,아이언디바이스,2024-09-23,100.0,낙관
109,아이스크림미디어,2024-08-30,100.8,낙관
110,이엔셀,2024-08-23,100.8,낙관
111,M83,2024-08-22,100.8,낙관
112,티디에스팜,2024-08-21,100.8,낙관
113,넥스트바이오메디컬,2024-08-20,100.8,낙관
114,케이쓰리아이,2024-08-20,100.8,낙관
115,유라클,2024-08-16,100.8,낙관
116,뱅크웨어글로벌,2024-08-12,100.8,낙관
117,아이빔테크놀로지,2024-08-06,100.8,낙관
118,피앤에스미캐닉스,2024-07-31,103.6,낙관
119,엑셀세라퓨틱스,2024-07-15,103.6,낙관
120,하스,2024-07-03,103.6,낙관
121,이노스페이스,2024-07-02,103.6,낙관
122,에이치브이엠,2024-06-28,100.9,낙관
123,하이젠알앤엠,2024-06-27,100.9,낙관
124,에스오에스랩,2024-06-25,100.9,낙관
125,씨어스테크놀로지,2024-06-19,100.9,낙관
126,라메디텍,2024-06-17,100.9,낙관
127,그리드위즈,2024-06-14,100.9,낙관
128,노브랜드,2024-05-23,98.4,비관
129,아이씨티케이,2024-05-17,98.4,비관
130,코칩,2024-05-07,98.4,비관
131,민테크,2024-05-03,98.4,비관
132,디앤디파마텍,2024-05-02,98.4,비관
133,제일엠앤에스,2024-04-30,100.7,낙관
134,아이엠비디엑스,2024-04-03,100.7,낙관
135,엔젤로보틱스,2024-03-26,100.7,낙관
136,삼현,2024-03-21,100.7,낙관
137,오상헬스케어,2024-03-13,100.7,낙관
138,케이엔알시스템,2024-03-07,100.7,낙관
139,코셈,2024-02-23,101.9,낙관
140,이에이트,2024-02-23,101.9,낙관
141,케이웨더,2024-02-22,101.9,낙관
142,스튜디오삼익,2024-02-06,101.9,낙관
143,이닉스,2024-02-01,101.9,낙관
144,포스뱅크,2024-01-29,101.6,낙관
145,현대힘스,2024-01-26,101.6,낙관
146,HB인베스트먼트,2024-01-25,101.6,낙관
147,우진엔텍,2024-01-24,101.6,낙관
148,블루엠텍,2023-12-13,99.7,비관
149,LS머트리얼즈,2023-12-12,99.7,비관
150,케이엔에스,2023-12-06,99.7,비관
151,와이바이오로직스,2023-12-05,99.7,비관
152,에이텀,2023-12-01,99.7,비관
153,에이에스텍,2023-11-28,97.3,비관
154,그린리소스,2023-11-24,97.3,비관
155,한선엔지니어링,2023-11-24,97.3,비관
156,에코아이,2023-11-21,97.3,비관
157,스톰테크,2023-11-20,97.3,비관
158,캡스톤파트너스,2023-11-15,97.3,비관
159,에스와이스틸텍,2023-11-13,97.3,비관
160,에이직랜드,2023-11-13,97.3,비관
161,큐로셀,2023-11-09,97.3,비관
162,비아이매트릭스,2023-11-09,97.3,비관
163,메가터치,2023-11-09,97.3,비관
164,컨텍,2023-11-09,97.3,비관
165,쏘닉스,2023-11-07,97.3,비관
166,유진테크놀로지,2023-11-02,97.3,비관
167,퀄리타스반도체,2023-10-27,98.2,비관
168,워트,2023-10-26,98.2,비관
169,신성에스티,2023-10-19,98.2,비관
170,퓨릿,2023-10-18,98.2,비관
171,아이엠티,2023-10-10,98.2,비관
172,레뷰코퍼레이션,2023-10-06,98.2,비관
173,한싹,2023-10-04,98.2,비관
174,밀리의서재,2023-09-27,99.8,비관
175,인스웨이브시스템즈,2023-09-25,99.8,비관
176,시큐레터,2023-08-24,103.3,낙관
177,스마트레이더시스템,2023-08-22,103.3,낙관
178,큐리옥스바이오시스템즈,2023-08-10,103.3,낙관
179,코츠테크놀로지,2023-08-10,103.3,낙관
180,파두,2023-08-07,103.3,낙관
181,엠아이큐브솔루션,2023-08-04,103.3,낙관
182,시지트로닉스,2023-08-03,103.3,낙관
183,에이엘티,2023-07-27,103.4,낙관
184,파로스아이바이오,2023-07-27,103.4,낙관
185,버넥트,2023-07-26,103.4,낙관
186,뷰티스킨,2023-07-24,103.4,낙관
187,와이랩,2023-07-20,103.4,낙관
188,센서뷰,2023-07-19,103.4,낙관
189,필에너지,2023-07-14,103.4,낙관
190,이노시뮬레이션,2023-07-06,103.4,낙관
191,알멕,2023-06-30,100.8,낙관
192,오픈놀,2023-06-30,100.8,낙관
193,큐라티스,2023-06-15,100.8,낙관
194,마녀공장,2023-06-08,100.8,낙관
195,나라셀라,2023-06-02,100.8,낙관
196,진영,2023-06-01,100.8,낙관
197,기가비스,2023-05-24,98.1,비관
198,씨유박스,2023-05-19,98.1,비관
199,모니터랩,2023-05-19,98.1,비관
200,트루엔,2023-05-17,98.1,비관
201,에스바이오메딕스,2023-05-04,98.1,비관
202,마이크로투나노,2023-04-26,95.2,비관
203,지아이이노베이션,2023-03-30,92.0,비관
204,LB인베스트먼트,2023-03-29,92.0,비관
205,금양그린파워,2023-03-13,92.0,비관
206,자람테크놀로지,2023-03-07,92.0,비관
207,나노팀,2023-03-03,92.0,비관
208,바이오인프라,2023-03-02,92.0,비관
209,제이오,2023-02-16,90.2,비관
210,샌즈랩,2023-02-15,90.2,비관
211,꿈비,2023-02-09,90.2,비관
212,스튜디오미르,2023-02-07,90.2,비관
213,삼기이브이,2023-02-03,90.2,비관
214,오브젠,2023-01-30,90.7,비관
215,미래반도체,2023-01-27,90.7,비관
216,한주라이트메탈,2023-01-19,90.7,비관
217,티이엠씨,2023-01-19,90.7,비관
218,SAMG엔터,2022-12-06,90.1,비관
219,펨트론,2022-11-24,86.6,비관
220,인벤티지랩,2022-11-22,86.6,비관
221,엔젯,2022-11-18,86.6,비관
222,티쓰리,2022-11-17,86.6,비관
223,티에프이,2022-11-17,86.6,비관
224,윤성에프앤씨,2022-11-14,86.6,비관
225,디티앤씨알오,2022-11-11,86.6,비관
226,뉴로메카,2022-11-04,86.6,비관
227,제이아이테크,2022-11-04,86.6,비관
228,큐알티,2022-11-02,86.6,비관
229,저스템,2022-10-28,89.0,비관
230,산돌,2022-10-27,89.0,비관
231,플라즈맵,2022-10-21,89.0,비관
232,핀텔,2022-10-20,89.0,비관
233,샤페론,2022-10-19,89.0,비관
234,탑머티리얼,2022-10-18,89.0,비관
235,에스비비테크,2022-10-17,89.0,비관
236,오에스피,2022-10-14,89.0,비관
237,이노룰스,2022-10-07,89.0,비관
238,모델솔루션,2022-10-07,89.0,비관
239,더블유씨피,2022-09-30,91.6,비관
240,알피바이오,2022-09-29,91.6,비관
241,오픈엣지테크놀로지,2022-09-26,91.6,비관
242,대성하이텍,2022-08-22,89.0,비관
243,에이치와이티씨,2022-08-09,89.0,비관
244,새빗켐,2022-08-04,89.0,비관
245,아이씨에이치,2022-07-29,86.2,비관
246,성일하이텍,2022-07-28,86.2,비관
247,에이프릴바이오,2022-07-28,86.2,비관
248,루닛,2022-07-21,86.2,비관
249,HPSP,2022-07-15,86.2,비관
250,영창케미칼,2022-07-14,86.2,비관
251,코난테크놀로지,2022-07-07,86.2,비관
252,넥스트칩,2022-07-01,86.2,비관
253,보로노이,2022-06-24,96.8,비관
254,레이저쎌,2022-06-24,96.8,비관
255,위니아에이드,2022-06-23,96.8,비관
256,범한퓨얼셀,2022-06-17,96.8,비관
257,청담글로벌,2022-06-03,96.8,비관
258,가온칩스,2022-05-20,103.1,낙관
259,대명에너지,2022-05-16,103.1,낙관
260,포바이포,2022-04-28,104.3,낙관
261,지투파워,2022-04-01,104.3,낙관
262,세아메카닉스,2022-03-24,103.7,낙관
263,공구우먼,2022-03-23,103.7,낙관
264,유일로보틱스,2022-03-18,103.7,낙관
265,모아데이타,2022-03-10,103.7,낙관
266,비씨엔씨,2022-03-03,103.7,낙관
267,노을,2022-03-03,103.7,낙관
268,풍원정밀,2022-02-28,103.5,낙관
269,스톤브릿지벤처스,2022-02-25,103.5,낙관
270,브이씨,2022-02-24,103.5,낙관
271,퓨런티어,2022-02-23,103.5,낙관
272,바이오에프디엔씨,2022-02-21,103.5,낙관
273,나래나노텍,2022-02-08,103.5,낙관
274,아셈스,2022-02-07,103.5,낙관
275,스코넥,2022-02-04,103.5,낙관
276,이지트로닉스,2022-02-04,103.5,낙관
277,케이옥션,2022-01-24,104.9,낙관
278,오토앤,2022-01-20,104.9,낙관
279,케이티비네트워크,2021-12-16,104.3,낙관
280,마인즈랩,2021-11-23,108.2,낙관
281,알비더블유,2021-11-22,108.2,낙관
282,트윔,2021-11-17,108.2,낙관
283,지오엘리먼트,2021-11-11,108.2,낙관
284,아이티아이즈,2021-11-11,108.2,낙관
285,비트나인,2021-11-10,108.2,낙관
286,디어유,2021-11-10,108.2,낙관
287,지니너스,2021-11-08,108.2,낙관
288,피코그램,2021-11-03,108.2,낙관
289,엔켐,2021-11-01,108.2,낙관
290,리파인,2021-10-29,107.3,낙관
291,지앤비에스엔지니어링,2021-10-29,107.3,낙관
292,아이패밀리에스씨,2021-10-28,107.3,낙관
293,차백신연구소,2021-10-22,107.3,낙관
294,지아이텍,2021-10-21,107.3,낙관
295,씨유테크,2021-10-08,107.3,낙관
296,아스플로,2021-10-07,107.3,낙관
297,원준,2021-10-07,107.3,낙관
298,실리콘투,2021-09-29,104.1,낙관
299,프롬바이오,2021-09-28,104.1,낙관
300,바이오플러스,2021-09-27,104.1,낙관
301,와이엠텍,2021-09-10,104.1,낙관
302,바이젠셀,2021-08-25,102.8,낙관
303,브레인즈컴퍼니,2021-08-19,102.8,낙관
304,딥노이드,2021-08-17,102.8,낙관
305,플래티어,2021-08-12,102.8,낙관
306,원티드랩,2021-08-11,102.8,낙관
307,HK이노엔,2021-08-09,102.8,낙관
308,맥스트,2021-07-27,103.6,낙관
309,큐라클,2021-07-22,103.6,낙관
310,오비고,2021-07-13,103.6,낙관
311,아모센스,2021-06-25,110.8,낙관
312,이노뎁,2021-06-18,110.8,낙관
313,엘비루셈,2021-06-11,110.8,낙관
314,에이디엠코리아,2021-06-03,110.8,낙관
315,제주맥주,2021-05-26,105.5,낙관
316,진시스템,2021-05-26,105.5,낙관
317,삼영에스앤씨,2021-05-21,105.5,낙관
318,샘씨엔에스,2021-05-20,105.5,낙관
319,씨앤씨인터내셔널,2021-05-17,105.5,낙관
320,에이치피오,2021-05-14,105.5,낙관
321,쿠콘,2021-04-28,102.4,낙관
322,해성티피씨,2021-04-21,102.4,낙관
323,이삭엔지니어링,2021-04-21,102.4,낙관
324,엔시스,2021-04-01,102.4,낙관
325,자이언트스텝,2021-03-24,100.6,낙관
326,제노코,2021-03-24,100.6,낙관
327,라이프시맨틱스,2021-03-23,100.6,낙관
328,바이오다인,2021-03-17,100.6,낙관
329,프레스티지바이오로직스,2021-03-11,100.6,낙관
330,싸이버원,2021-03-11,100.6,낙관
331,나노씨엠에스,2021-03-09,100.6,낙관
332,뷰노,2021-02-26,97.4,비관
333,유일에너테크,2021-02-25,97.4,비관
334,오로스테크놀로지,2021-02-24,97.4,비관
335,아이퀘스트,2021-02-05,97.4,비관
336,레인보우로보틱스,2021-02-03,97.4,비관
337,와이더플래닛,2021-02-03,97.4,비관
338,핑거,2021-01-29,95.3,비관
339,모비릭스,2021-01-28,95.3,비관
340,씨앤투스성진,2021-01-28,95.3,비관
341,선진뷰티사이언스,2021-01-27,95.3,비관
342,엔비티,2021-01-21,95.3,비관
343,석경에이티,2020-12-23,91.0,비관
344,프리시젼바이오,2020-12-22,91.0,비관
345,알체라,2020-12-21,91.0,비관
346,티엘비,2020-12-14,91.0,비관
347,인바이오,2020-12-11,91.0,비관
348,엔젠바이오,2020-12-10,91.0,비관
349,퀀타매트릭스,2020-12-09,91.0,비관
350,클리노믹스,2020-12-04,91.0,비관
351,포인트모바일,2020-12-03,91.0,비관
352,앱코,2020-12-02,91.0,비관
353,엔에프씨,2020-12-02,91.0,비관
354,제일전기공업,2020-11-26,99.1,비관
355,하나기술,2020-11-25,99.1,비관
356,티앤엘,2020-11-20,99.1,비관
357,고바이오랩,2020-11-18,99.1,비관
358,네패스아크,2020-11-17,99.1,비관
359,소룩스,2020-11-06,99.1,비관
360,위드텍,2020-10-30,92.7,비관
361,센코,2020-10-29,92.7,비관
362,바이브컴퍼니,2020-10-28,92.7,비관
363,피플바이오,2020-10-19,92.7,비관
364,넥스틴,2020-10-08,92.7,비관
365,원방테크,2020-09-24,80.7,비관
366,박셀바이오,2020-09-22,80.7,비관
367,비비씨,2020-09-21,80.7,비관
368,핌스,2020-09-18,80.7,비관
369,압타머사이언스,2020-09-16,80.7,비관
370,이오플로우,2020-09-14,80.7,비관
371,카카오게임즈,2020-09-10,80.7,비관
372,피엔케이,2020-09-09,80.7,비관
373,아이디피,2020-08-24,89.3,비관
374,셀레믹스,2020-08-21,89.3,비관
375,브랜드엑스코퍼레이션,2020-08-13,89.3,비관
376,영림원소프트랩,2020-08-12,89.3,비관
377,한국파마,2020-08-10,89.3,비관
378,이루다,2020-08-06,89.3,비관
379,와이팜,2020-07-31,85.4,비관
380,엠투아이,2020-07-29,85.4,비관
381,더네이쳐홀딩스,2020-07-27,85.4,비관
382,솔트룩스,2020-07-23,85.4,비관
383,에이프로,2020-07-16,85.4,비관
384,신도기연,2020-07-06,85.4,비관
385,위더스제약,2020-07-03,85.4,비관
386,마크로밀엠브레인,2020-07-01,85.4,비관
387,엘이티,2020-06-22,83.1,비관
388,에스씨엠생명과학,2020-06-17,83.1,비관
389,드림씨아이에스,2020-05-22,78.8,비관
390,엔피디,2020-03-16,79.7,비관
391,플레이디,2020-03-12,79.7,비관
392,서울바이오시스,2020-03-06,79.7,비관
393,제이앤티씨,2020-03-04,79.7,비관
394,켄코아에어로스페이스,2020-03-03,79.7,비관
395,레몬,2020-02-28,98.0,비관
396,서남,2020-02-20,98.0,비관
397,피피아이,2019-12-26,101.5,낙관
398,천랩,2019-12-26,101.5,낙관
399,메탈라이프,2019-12-24,101.5,낙관
