회사명,상장일,Regime_code
바이오노트,2022-12-22,0
쏘카,2022-08-22,0
수산인더스트리,2022-08-01,0
LG에너지솔루션,2022-01-27,0
카카오페이,2021-11-03,0
케이카,2021-10-13,0
현대중공업,2021-09-17,0
일진하이솔루스,2021-09-01,0
아주스틸,2021-08-20,0
롯데렌탈,2021-08-19,0
한컴라이프케어,2021-08-17,0
크래프톤,2021-08-10,0
에스디바이오센서,2021-07-16,0
SK아이이테크놀로지,2021-05-11,1
SK바이오사이언스,2021-03-18,1
솔루엠,2021-02-02,1
명신산업,2020-12-07,0
에이플러스에셋,2020-11-20,0
교촌에프앤비,2020-11-12,0
빅히트,2020-10-15,0
에스케이바이오팜,2020-07-02,0
센트랄모텍,2019-11-25,0
현대에너지솔루션,2019-11-19,0
한화시스템,2019-11-13,0
자이에스앤디,2019-11-06,0
지누스,2019-10-30,0
현대오토에버,2019-03-28,0
드림텍,2019-03-14,0
에어부산,2018-12-27,0
아시아나IDT,2018-11-23,0
하나제약,2018-10-02,0
우진아이엔에스,2018-09-14,0
티웨이항공,2018-08-01,0
롯데정보통신,2018-07-27,0
애경산업,2018-03-22,0
동양피스톤,2017-12-08,0
진에어,2017-12-08,0
삼양패키징,2017-11-29,0
테이팩스,2017-10-31,0
넷마블게임즈,2017-05-12,1
덴티움,2017-03-15,1
호전실업,2017-02-02,1
핸즈코퍼레이션,2016-12-02,1
두산밥캣,2016-11-18,1
삼성바이오로직스,2016-11-10,1
JW생명과학,2016-10-27,1
화승엔터프라이즈,2016-10-04,1
엘에스전선 아시아,2016-09-22,1
두올,2016-07-29,1
해성디에스,2016-06-24,1
용평리조트,2016-05-27,1
해태제과식품,2016-05-11,1
대림씨엔에스,2016-03-30,1
제이에스코퍼레이션,2016-02-04,0
코리아오토글라스,2015-12-29,0
잇츠스킨,2015-12-28,0
세진중공업,2015-11-30,0
금호에이치티,2015-11-11,0
제주항공,2015-11-06,0
LIG넥스원,2015-10-02,0
동일제강,2015-09-24,0
아이콘트롤스,2015-09-24,0
AJ네트웍스,2015-08-21,0
이노션,2015-07-17,0
토니모리,2015-07-10,0
경보제약,2015-06-29,0
에스케이디앤디,2015-06-23,0
엔에스쇼핑,2015-03-27,1
세화아이엠씨,2015-03-19,1
큐라티스,2023-06-15,1
마녀공장,2023-06-08,1
