회사명,상장일,경제심리지수(원계열),경제심리지수(순환변동치),경기국면
바이오노트,2022-12,92.1,94.2,0
쏘카,2022-08,99.9,99.1,0
수산인더스트리,2022-08,99.9,99.1,0
LG에너지솔루션,2022-01,106.4,106.9,1
카카오페이,2021-11,107.4,107.6,1
케이카,2021-10,106.6,107.6,1
현대중공업,2021-09,105.3,107.4,1
일진하이솔루스,2021-09,105.3,107.4,1
아주스틸,2021-08,105.8,107.0,1
롯데렌탈,2021-08,105.8,107.0,1
한컴라이프케어,2021-08,105.8,107.0,1
크래프톤,2021-08,105.8,107.0,1
에스디바이오센서,2021-07,104.6,106.3,1
SK아이이테크놀로지,2021-05,105.9,103.8,1
SK바이오사이언스,2021-03,101.7,99.6,0
솔루엠,2021-02,96.8,96.9,0
명신산업,2020-12,85.7,90.8,0
에이플러스에셋,2020-11,91.9,87.6,0
교촌에프앤비,2020-11,91.9,87.6,0
빅히트,2020-10,88.8,84.2,0
에스케이바이오팜,2020-07,76.8,75.5,0
센트랄모텍,2019-11,94.8,91.3,0
현대에너지솔루션,2019-11,94.8,91.3,0
한화시스템,2019-11,94.8,91.3,0
자이에스앤디,2019-11,94.8,91.3,0
지누스,2019-10,93.4,93.0,0
현대오토에버,2019-03,96.8,95.4,0
드림텍,2019-03,96.8,95.4,0
에어부산,2018-12,95.0,96.1,0
아시아나IDT,2018-11,94.4,96.5,0
하나제약,2018-10,95.5,96.9,0
우진아이엔에스,2018-09,99.8,97.4,0
티웨이항공,2018-08,97.3,97.8,0
롯데정보통신,2018-07,96.2,98.3,0
애경산업,2018-03,98.4,100.2,1
동양피스톤,2017-12,102.7,101.7,1
진에어,2017-12,102.7,101.7,1
삼양패키징,2017-11,102.8,101.9,1
테이팩스,2017-10,102.8,101.8,1
넷마블게임즈,2017-05,101.3,99.7,0
덴티움,2017-03,100.7,98.7,0
호전실업,2017-02,98.2,98.2,0
핸즈코퍼레이션,2016-12,94.1,97.5,0
두산밥캣,2016-11,96.3,97.3,0
삼성바이오로직스,2016-11,96.3,97.3,0
JW생명과학,2016-10,96.6,97.1,0
화승엔터프라이즈,2016-10,96.6,97.1,0
엘에스전선 아시아,2016-09,98.1,96.9,0
두올,2016-07,96.2,96.0,0
해성디에스,2016-06,95.1,95.5,0
용평리조트,2016-05,95.4,95.0,0
해태제과식품,2016-05,95.4,95.0,0
대림씨엔에스,2016-03,94.4,94.5,0
제이에스코퍼레이션,2016-02,92.8,94.6,0
코리아오토글라스,2015-12,94.0,95.4,0
잇츠스킨,2015-12,94.0,95.4,0
