회사명,상장일,CCI_2020=100,CycleDeviation,경기국면
바이오노트,2022-12,109.1,0.5381694865273222,1
쏘카,2022-08,109.4,1.7579760022323512,1
수산인더스트리,2022-08,109.4,1.7579760022323512,1
LG에너지솔루션,2022-01,107.3,1.4120182220289963,1
카카오페이,2021-11,105.7,0.3265120164015282,1
케이카,2021-10,105.1,-0.0266341983106228,1
현대중공업,2021-09,104.7,-0.1906577693041018,1
일진하이솔루스,2021-09,104.7,-0.1906577693041018,1
아주스틸,2021-08,104.4,-0.2598593702231786,1
롯데렌탈,2021-08,104.4,-0.2598593702231786,1
한컴라이프케어,2021-08,104.4,-0.2598593702231786,1
크래프톤,2021-08,104.4,-0.2598593702231786,1
에스디바이오센서,2021-07,104.2,-0.2317075506022388,1
SK아이이테크놀로지,2021-05,103.8,-0.1577469123927527,1
SK바이오사이언스,2021-03,102.3,-1.144138224266551,1
솔루엠,2021-02,101.7,-1.5145646110938886,1
명신산업,2020-12,101.6,-1.2095990043172182,1
에이플러스에셋,2020-11,101.5,-1.101042580142254,1
교촌에프앤비,2020-11,101.5,-1.101042580142254,1
빅히트,2020-10,100.7,-1.6639975000976464,1
에스케이바이오팜,2020-07,98.8,-2.870625245772711,0
센트랄모텍,2019-11,100.5,0.4437514991604727,0
현대에너지솔루션,2019-11,100.5,0.4437514991604727,0
한화시스템,2019-11,100.5,0.4437514991604727,0
자이에스앤디,2019-11,100.5,0.4437514991604727,0
지누스,2019-10,100.5,0.62477472065362,0
현대오토에버,2019-03,98.6,-0.0506842372022416,0
드림텍,2019-03,98.6,-0.0506842372022416,0
에어부산,2018-12,98.5,0.3381957460679586,0
아시아나IDT,2018-11,98.5,0.5184096660952014,0
하나제약,2018-10,98.4,0.5970393391674196,1
우진아이엔에스,2018-09,98.3,0.6594576882116728,1
티웨이항공,2018-08,98.4,0.9251471825063088,1
롯데정보통신,2018-07,98.2,0.8772830932960918,1
애경산업,2018-03,97.7,0.998614757996163,1
동양피스톤,2017-12,96.8,0.7032582913736444,1
진에어,2017-12,96.8,0.7032582913736444,1
삼양패키징,2017-11,97.1,1.2407465332082137,1
테이팩스,2017-10,96.7,1.0512675820845614,1
넷마블게임즈,2017-05,95.6,1.140475233279013,1
