회사명,상장일,경기국면,경기국면2
바이오노트,2022-12,0.5381287963033117,1
쏘카,2022-08,1.7407687176559392,1
수산인더스트리,2022-08,1.7407687176559392,1
LG에너지솔루션,2022-01,1.2378817516049023,1
카카오페이,2021-11,0.0949697008774421,1
케이카,2021-10,-0.2769370001269777,0
현대중공업,2021-09,-0.449319708031993,0
일진하이솔루스,2021-09,-0.449319708031993,0
아주스틸,2021-08,-0.5223081365308815,0
롯데렌탈,2021-08,-0.5223081365308815,0
한컴라이프케어,2021-08,-0.5223081365308815,0
크래프톤,2021-08,-0.5223081365308815,0
에스디바이오센서,2021-07,-0.4960285323438143,0
SK아이이테크놀로지,2021-05,-0.4461502647904609,0
SK바이오사이언스,2021-03,-1.5006178789213322,0
솔루엠,2021-02,-1.879756165799208,0
명신산업,2020-12,-1.542313429681883,0
에이플러스에셋,2020-11,-1.425878906360026,0
교촌에프앤비,2020-11,-1.425878906360026,0
빅히트,2020-10,-2.011045142662041,0
에스케이바이오팜,2020-07,-3.276500310209329,0
센트랄모텍,2019-11,0.0481825509937436,1
현대에너지솔루션,2019-11,0.0481825509937436,1
한화시스템,2019-11,0.0481825509937436,1
자이에스앤디,2019-11,0.0481825509937436,1
지누스,2019-10,0.2460414457035824,1
현대오토에버,2019-03,-0.2845356117809245,0
드림텍,2019-03,-0.2845356117809245,0
에어부산,2018-12,0.2001714061938031,1
아시아나IDT,2018-11,0.3956307615612786,1
하나제약,2018-10,0.4915611311881349,1
우진아이엔에스,2018-09,0.5880740357449952,1
티웨이항공,2018-08,0.8852772029925688,1
롯데정보통신,2018-07,0.8832738230831865,1
애경산업,2018-03,1.1850159732766627,1
동양피스톤,2017-12,0.8986409841300258,1
진에어,2017-12,0.8986409841300258,1
삼양패키징,2017-11,1.405823878926057,1
테이팩스,2017-10,1.2143886224136793,1
넷마블게임즈,2017-05,1.1783793339669444,1
덴티움,2017-03,1.0136943572798174,1
호전실업,2017-02,0.8333215717532028,1
핸즈코퍼레이션,2016-12,0.476274280387571,1
두산밥캣,2016-11,0.1994840881197461,0
삼성바이오로직스,2016-11,0.1994840881197461,0
JW생명과학,2016-10,-0.0762351474086955,0
화승엔터프라이즈,2016-10,-0.0762351474086955,0
엘에스전선 아시아,2016-09,0.0490506066812486,1
두올,2016-07,0.1023751896920543,1
해성디에스,2016-06,-0.1697196201574939,0
