"시점",선행종합지수(2020=100),선행종합지수(2020=100),선행종합지수(2020=100),선행종합지수 전월비(%),선행종합지수 전월비(%),선행종합지수 전월비(%),재고순환지표(전월차)(%p),재고순환지표(전월차)(%p),재고순환지표(전월차)(%p),경제심리지수(전월차)(p),경제심리지수(전월차)(p),경제심리지수(전월차)(p),기계류내수출하지수(선박제외)(전월비)(%),기계류내수출하지수(선박제외)(전월비)(%),기계류내수출하지수(선박제외)(전월비)(%),건설수주액(전월비)(%),건설수주액(전월비)(%),건설수주액(전월비)(%),수출입물가비율(전월비)(%),수출입물가비율(전월비)(%),수출입물가비율(전월비)(%),코스피(전월비)(%),코스피(전월비)(%),코스피(전월비)(%),장단기금리차(전월차)(%p),장단기금리차(전월차)(%p),장단기금리차(전월차)(%p),선행지수 순환변동치,선행지수 순환변동치,선행지수 순환변동치,〔순환변동치 전월차〕(p),〔순환변동치 전월차〕(p),〔순환변동치 전월차〕(p),선행지수 전년동월비(%),선행지수 전년동월비(%),선행지수 전년동월비(%),〔전년동월비 전월차〕(%p),〔전년동월비 전월차〕(%p),〔전년동월비 전월차〕(%p),동행종합지수(2020=100),동행종합지수(2020=100),동행종합지수(2020=100),동행종합지수 전월비(%),동행종합지수 전월비(%),동행종합지수 전월비(%),광공업생산지수(전월비)(%),광공업생산지수(전월비)(%),광공업생산지수(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),건설기성액(전월비)(%),건설기성액(전월비)(%),건설기성액(전월비)(%),소매판매액지수(전월비)(%),소매판매액지수(전월비)(%),소매판매액지수(전월비)(%),내수출하지수(전월비)(%),내수출하지수(전월비)(%),내수출하지수(전월비)(%),수입액(전월비)(%),수입액(전월비)(%),수입액(전월비)(%),비농림어업취업자수(전월비)(%),비농림어업취업자수(전월비)(%),비농림어업취업자수(전월비)(%),동행지수 순환변동치,동행지수 순환변동치,동행지수 순환변동치,〔순환변동치 전월차〕(p),〔순환변동치 전월차〕(p),〔순환변동치 전월차〕(p),후행종합지수(2020=100),후행종합지수(2020=100),후행종합지수(2020=100),후행종합지수 전월비(%),후행종합지수 전월비(%),후행종합지수 전월비(%),생산자제품재고지수(전월비)(%),생산자제품재고지수(전월비)(%),생산자제품재고지수(전월비)(%),소비자물가지수변화율(서비스)(전월차)(%p),소비자물가지수변화율(서비스)(전월차)(%p),소비자물가지수변화율(서비스)(전월차)(%p),소비재수입액(전월비)(%),소비재수입액(전월비)(%),소비재수입액(전월비)(%),취업자수(전월비)(%),취업자수(전월비)(%),취업자수(전월비)(%),CP유통수익률(전월차)(%p),CP유통수익률(전월차)(%p),CP유통수익률(전월차)(%p)
"시점",원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률,원데이터,전년동월 대비 증감,증감률
"2015.01",82.4,3.3,4.2,0.6,0.2,50.0,1.7,-0.1,-5.6,0.7,-0.2,-22.2,-1.3,0.5,27.8,12.0,12.2,6100.0,2.8,2.9,2900.0,-0.4,1.0,71.4,-0.06,-0.10,-200.0,100.1,0.3,0.3,0.3,0.4,400.0,4.2,-0.1,-2.3,0.3,,,87.2,2.3,2.7,0.3,-0.2,-40.0,0.3,0.0,0.0,-0.1,-0.6,-120.0,1.0,2.0,200.0,0.7,-0.6,-46.2,0.0,0.1,100.0,0.8,-0.2,-20.0,0.2,-0.1,-33.3,99.5,-0.9,-0.9,0.0,-0.2,-100.0,85.2,2.7,3.3,0.2,0.0,0.0,-0.7,-1.1,-275.0,0.0,,,1.0,3.1,147.6,0.1,-0.2,-66.7,0.0,,
"2015.02",82.7,3.4,4.3,0.4,0.1,33.3,-0.8,-2.1,-161.5,1.8,0.3,20.0,-1.2,-1.1,-1100.0,4.1,1.3,46.4,1.6,1.8,900.0,0.0,1.2,100.0,-0.07,-0.10,-250.0,100.2,0.4,0.4,0.1,,,4.3,0.0,0.0,0.1,,,87.8,2.6,3.1,0.7,0.3,75.0,0.6,0.1,20.0,0.2,-0.4,-66.7,2.0,4.0,200.0,1.4,,,0.6,,,0.4,0.0,0.0,0.2,-0.1,-33.3,99.8,-0.6,-0.6,0.3,,,85.5,2.8,3.4,0.4,0.2,100.0,0.1,0.3,150.0,0.0,0.1,100.0,3.0,1.2,66.7,0.1,-0.2,-66.7,0.0,,
"2015.03",83.2,3.7,4.7,0.6,0.3,100.0,-2.0,-2.3,-766.7,1.6,0.6,60.0,0.8,1.1,366.7,23.1,32.9,335.7,0.9,0.8,800.0,1.2,1.8,300.0,-0.07,0.00,-75.0,100.4,0.7,0.7,0.2,0.3,300.0,4.5,0.3,7.1,0.2,0.3,300.0,87.8,2.3,2.7,0.0,-0.4,-100.0,-0.5,-0.7,-350.0,0.9,0.0,0.0,-0.4,0.6,60.0,-0.5,-0.6,-600.0,-0.9,-0.5,-125.0,-0.2,-1.7,-113.3,0.1,-0.2,-66.7,99.4,-1.2,-1.2,-0.4,-0.6,-300.0,85.7,2.7,3.3,0.2,-0.2,-50.0,0.5,1.1,183.3,0.0,-0.1,-100.0,1.4,-0.9,-39.1,0.1,-0.2,-66.7,-0.1,,
"2015.04",83.5,3.7,4.6,0.4,0.0,0.0,-0.7,0.4,36.4,1.7,1.0,142.9,1.7,1.4,466.7,-2.7,-8.6,-145.8,-0.1,0.0,0.0,3.2,2.5,357.1,-0.01,0.00,66.7,100.5,0.9,0.9,0.1,0.2,200.0,4.6,0.5,12.2,0.1,0.2,200.0,88.0,2.4,2.8,0.2,0.1,100.0,0.4,0.2,100.0,0.4,0.5,500.0,-1.1,-1.9,-237.5,0.8,2.1,161.5,0.7,1.1,275.0,-1.5,-2.7,-225.0,0.0,-0.2,-100.0,99.3,-1.1,-1.1,-0.1,0.1,50.0,85.9,2.5,3.0,0.2,-0.3,-60.0,1.4,0.7,100.0,0.0,-0.1,-100.0,-0.3,-4.0,-108.1,0.0,-0.2,-100.0,-0.1,,
"2015.05",84.0,4.1,5.1,0.6,0.5,500.0,-0.2,1.3,86.7,-0.3,0.4,57.1,-1.2,-0.7,-140.0,19.3,24.5,471.2,0.3,,,2.5,1.5,150.0,0.08,0.10,366.7,100.6,1.1,1.1,0.1,0.2,200.0,4.8,0.8,20.0,0.2,0.3,300.0,87.8,2.2,2.6,-0.2,,,-0.9,-0.2,-28.6,0.0,0.1,100.0,-1.0,-1.4,-350.0,-0.3,-0.5,-250.0,-0.6,-0.4,-200.0,-0.8,0.0,0.0,0.0,0.1,100.0,98.8,-1.3,-1.3,-0.5,-0.2,-66.7,86.0,2.4,2.9,0.1,-0.1,-50.0,0.8,0.6,300.0,0.0,-0.2,-100.0,-1.7,0.1,5.6,-0.1,0.0,0.0,-0.1,,
"2015.06",84.2,4.1,5.1,0.2,-0.1,-33.3,-1.4,-0.2,-16.7,-3.2,-2.0,-166.7,0.2,0.3,300.0,-3.2,-15.9,-125.2,0.4,0.5,500.0,0.8,0.1,14.3,0.11,0.20,257.1,100.5,1.0,1.0,-0.1,,,4.7,0.8,20.5,-0.1,0.0,0.0,88.0,2.2,2.6,0.2,0.0,0.0,0.0,0.2,100.0,-0.1,-0.3,-150.0,2.3,1.2,109.1,-0.6,-0.8,-400.0,0.7,0.4,133.3,-0.4,-0.1,-33.3,0.1,,,98.7,-1.3,-1.3,-0.1,0.0,0.0,86.2,2.4,2.9,0.2,0.0,0.0,1.5,1.6,1600.0,0.0,,,-0.4,0.5,55.6,0.0,-0.1,-100.0,-0.1,,
"2015.07",84.4,4.1,5.1,0.2,0.0,0.0,-1.2,-1.9,-271.4,-2.7,-0.4,-17.4,-0.8,-1.2,-300.0,-1.2,0.4,25.0,0.4,0.1,33.3,-0.8,-1.3,-260.0,0.15,0.30,215.4,100.3,0.9,0.9,-0.2,-0.1,-100.0,4.6,0.9,24.3,-0.1,0.1,50.0,88.3,2.3,2.7,0.3,0.1,50.0,-0.5,-0.4,-400.0,0.2,-0.4,-66.7,1.5,2.9,207.1,-0.5,-1.4,-155.6,0.1,-0.3,-75.0,1.4,1.6,800.0,0.2,0.1,100.0,98.6,-1.4,-1.4,-0.1,,,86.5,2.5,3.0,0.3,0.1,50.0,1.0,,,0.1,,,0.3,0.0,0.0,0.1,,,-0.1,,
"2015.08",84.7,4.1,5.1,0.4,0.0,0.0,-0.7,,,-1.6,-0.6,-60.0,3.3,3.5,1750.0,-4.4,-22.1,-124.9,0.9,0.4,80.0,-2.6,-3.7,-336.4,0.03,0.10,160.0,100.3,0.8,0.8,0.0,-0.1,-100.0,4.6,0.9,24.3,0.0,,,88.9,2.6,3.0,0.7,0.4,133.3,1.1,1.3,650.0,0.5,-0.1,-16.7,1.5,2.2,314.3,-0.2,-0.8,-133.3,2.0,2.2,1100.0,1.6,1.8,900.0,0.2,-0.2,-50.0,99.1,-1.0,-1.0,0.5,0.4,400.0,86.9,2.6,3.1,0.5,0.1,25.0,1.5,1.6,1600.0,0.1,,,2.3,-0.2,-8.0,0.1,-0.2,-66.7,-0.1,0.0,0.0
"2015.09",85.1,4.1,5.1,0.5,0.0,0.0,1.5,0.6,66.7,1.8,0.7,63.6,0.7,0.8,800.0,25.0,25.9,2877.8,0.7,-0.3,-30.0,-2.0,-2.8,-350.0,-0.03,0.00,-50.0,100.4,0.8,0.8,0.1,0.0,0.0,4.8,1.0,26.3,0.2,0.1,100.0,89.7,3.3,3.8,0.9,0.8,800.0,1.0,2.1,190.9,0.5,0.4,400.0,3.8,4.6,575.0,1.4,1.6,800.0,1.3,2.3,230.0,1.2,-0.9,-42.9,0.2,0.0,0.0,99.7,-0.1,-0.1,0.6,0.9,300.0,87.2,2.6,3.1,0.3,-0.1,-25.0,0.4,0.2,100.0,0.1,,,0.2,-3.2,-94.1,0.2,0.0,0.0,0.0,0.1,100.0
