"시점", 선행종합지수(2020=100), 재고순환지표(%p), 경제심리지수, 기계류내수출하지수(선박제외)(2020=100), 건설수주액(실질)(십억원),수출입물가비율(2015=100),코스피(1980.1.4=100), 장단기금리차(%p), 동행종합지수(2020=100), 광공업생산지수(2020=100), 서비스업생산지수(도소매업제외)(2020=100), 건설기성액(실질)(십억원), 소매판매액지수(2020=100), 내수출하지수(2020=100), 수입액(실질)(백만불), 비농림어업취업자수(천명), 후행종합지수(2020=100), 생산자제품재고지수(2020=100), 소비자물가지수변화율(서비스), 소비재수입액(실질)(백만불), 취업자수(천명), CP유통수익률(%p)
"2014.01",79.1,-4.3,99.3,101.6,7262.6,92.4,1982.1,0.77,84.9,95.0,88.1,9579.6,85.6,97.0,31778.4,24144.5,82.5,84.8,1.3,4531.2,25620.6,2.8
"2014.02",79.3,-2.9,100.9,101.5,7468.9,92.2,1958.1,0.74,85.2,95.5,88.6,9389.9,85.6,97.0,31920.2,24224.4,82.7,84.6,1.2,4612.7,25696.2,2.8
"2014.03",79.5,-2.6,101.8,101.2,6735.6,92.3,1946.1,0.71,85.5,95.7,89.4,9293.7,85.7,96.6,32393.8,24301.9,83.0,84.1,1.3,4720.2,25769.4,2.8
"2014.04",79.8,-3.7,102.5,101.5,7135.2,92.2,1960.4,0.68,85.6,95.9,89.3,9370.5,84.6,96.2,32791.8,24356.2,83.4,84.7,1.4,4892.9,25825.0,2.8
"2014.05",79.9,-5.2,101.8,101.0,6764.8,92.2,1979.2,0.65,85.6,95.2,89.2,9412.6,84.8,96.0,32517.4,24342.1,83.6,84.9,1.6,4805.4,25810.7,2.8
"2014.06",80.1,-6.4,100.7,100.9,7627.0,92.1,1993.5,0.59,85.8,95.0,89.4,9512.9,85.0,96.3,32435.0,24352.2,83.8,84.8,1.6,4759.9,25829.6,2.8
"2014.07",80.3,-5.7,98.3,101.3,7501.8,92.4,2003.7,0.45,86.0,94.9,89.9,9379.1,85.8,96.7,32372.4,24379.5,84.0,84.8,1.7,4773.9,25838.4,2.7
"2014.08",80.6,-5.7,97.4,101.1,8829.7,92.9,2026.0,0.40,86.3,94.7,90.4,9314.9,86.3,96.5,32298.1,24481.4,84.3,84.7,1.7,4891.9,25924.0,2.7
"2014.09",81.0,-4.8,98.5,101.0,8748.2,93.8,2041.9,0.38,86.4,93.7,90.5,9244.9,86.1,95.5,32965.4,24539.8,84.6,84.9,1.7,5058.2,25982.6,2.6
"2014.10",81.3,-5.3,98.6,101.1,9046.0,95.0,2015.5,0.40,86.3,92.3,90.9,9211.6,85.6,94.4,33231.9,24568.6,84.7,84.9,1.7,5095.6,26003.7,2.4
"2014.11",81.6,-3.2,98.4,102.9,7426.1,96.5,1981.7,0.38,86.4,92.3,91.0,9135.2,85.1,94.4,33633.4,24579.1,84.9,85.1,1.7,5104.6,26011.7,2.3
"2014.12",81.9,-1.1,96.9,101.9,7327.2,98.6,1948.1,0.35,86.9,93.2,90.9,9135.3,86.3,95.1,34517.7,24604.9,85.0,84.6,1.6,5028.6,26004.6,2.3
"2015.01",82.4,0.7,97.6,100.6,8206.3,101.4,1940.9,0.29,87.2,93.5,90.8,9224.5,86.9,95.1,34790.6,24644.8,85.2,84.0,1.6,5077.9,26035.8,2.3
"2015.02",82.7,-0.1,99.4,99.4,8540.8,103.0,1941.3,0.22,87.8,94.1,91.0,9411.9,88.1,95.7,34922.1,24693.2,85.5,84.1,1.6,5228.6,26072.6,2.3
"2015.03",83.2,-2.1,101.0,100.2,10515.3,103.9,1964.9,0.15,87.8,93.6,91.8,9374.0,87.7,94.8,34838.4,24720.4,85.7,84.5,1.7,5301.4,26100.2,2.2
"2015.04",83.5,-2.8,102.7,101.9,10229.4,103.8,2027.0,0.14,88.0,94.0,92.2,9270.7,88.4,95.5,34329.2,24730.0,85.9,85.7,1.7,5283.7,26098.9,2.0
"2015.05",84.0,-2.9,102.4,100.7,12200.3,104.1,2078.3,0.22,87.8,93.2,92.2,9174.7,88.1,94.9,34061.6,24723.0,86.0,86.4,1.6,5193.3,26078.5,1.9
"2015.06",84.2,-4.4,99.2,100.9,11810.1,104.5,2095.3,0.32,88.0,93.2,92.1,9389.2,87.6,95.6,33939.9,24742.8,86.2,87.7,1.6,5174.2,26089.3,1.8
"2015.07",84.4,-5.6,96.5,100.1,11673.3,104.9,2078.9,0.47,88.3,92.7,92.3,9525.4,87.2,95.7,34405.3,24781.7,86.5,88.6,1.8,5191.9,26124.7,1.8
"2015.08",84.7,-6.3,94.9,103.4,11158.4,105.8,2024.8,0.50,88.9,93.7,92.8,9665.9,87.0,97.6,34942.3,24824.5,86.9,89.9,1.9,5309.2,26158.9,1.7
"2015.09",85.1,-4.8,96.7,104.1,13952.2,106.5,1983.4,0.47,89.7,94.6,93.3,10037.5,88.2,98.9,35372.0,24881.5,87.2,90.3,2.0,5318.9,26217.1,1.7
"2015.10",85.4,-2.8,97.3,104.6,14066.5,106.5,1970.9,0.38,90.4,95.5,93.6,10160.0,89.6,99.7,35719.6,24924.8,87.5,90.4,2.0,5425.4,26245.1,1.7
"2015.11",85.6,-2.6,97.2,102.6,14583.4,106.4,1989.0,0.38,90.5,95.3,93.6,10157.1,90.4,99.2,35561.4,24963.9,87.6,89.9,2.0,5324.5,26263.6,1.7
"2015.12",85.6,-3.8,96.2,100.4,10543.0,106.8,1999.6,0.39,90.6,94.5,94.1,10110.0,91.1,98.9,35288.1,25009.2,87.9,89.3,2.1,5423.2,26307.2,1.8
"2016.01",85.7,-6.8,95.0,96.7,10697.5,108.1,1957.7,0.39,90.6,94.0,94.0,10168.4,91.1,98.3,34732.6,25035.0,88.2,89.8,2.2,5428.9,26333.8,1.8
"2016.02",85.7,-8.6,93.6,93.8,10893.9,108.9,1922.3,0.27,90.7,94.1,94.3,10390.9,91.1,97.8,34587.3,25031.4,88.5,90.9,2.3,5461.8,26345.3,1.8
"2016.03",86.0,-8.3,93.7,94.9,12236.6,108.9,1923.9,0.17,90.8,94.8,94.2,10429.5,91.2,97.9,34311.6,24987.7,88.7,92.3,2.4,5376.3,26298.4,1.8
"2016.04",86.3,-6.7,94.8,95.9,12964.5,107.8,1957.8,0.10,90.9,94.9,94.6,10519.6,91.1,98.1,34025.9,24964.8,88.8,92.3,2.4,5359.2,26267.7,1.7
"2016.05",86.7,-3.8,95.6,98.8,11914.8,106.5,1979.8,0.09,91.4,95.6,94.7,10645.9,92.0,98.6,34479.7,24987.2,89.0,91.8,2.4,5427.8,26268.0,1.7
"2016.06",86.9,-1.6,95.9,99.4,11573.3,105.5,1980.0,0.09,91.8,95.9,95.2,10866.8,92.5,98.7,34510.6,25054.9,89.2,91.0,2.4,5533.4,26307.7,1.6
"2016.07",87.3,0.8,95.6,100.8,11970.9,105.2,1982.1,0.07,92.3,96.5,95.6,11137.9,92.4,99.1,34537.5,25124.6,89.4,90.5,2.3,5426.2,26361.3,1.6
"2016.08",87.7,1.0,96.5,101.7,14331.7,105.2,2005.4,0.06,92.7,95.8,96.0,11405.5,92.3,99.2,34903.8,25193.2,89.5,89.7,2.3,5420.4,26436.8,1.5
"2016.09",88.1,1.0,97.5,102.9,14745.1,105.6,2027.3,0.05,92.7,95.4,96.3,11543.0,91.1,99.6,34818.8,25215.6,89.7,89.3,2.2,5403.6,26469.2,1.5
"2016.10",88.5,0.0,97.6,105.9,15019.1,105.5,2038.4,0.11,92.8,94.8,96.1,11764.1,91.8,99.3,34551.0,25234.4,89.9,88.6,2.2,5551.4,26497.3,1.5
"2016.11",88.9,1.5,97.0,108.0,13355.1,105.8,2020.1,0.27,93.3,96.0,95.7,12020.2,91.8,100.7,35107.7,25235.4,90.1,88.5,2.1,5594.7,26505.6,1.5
"2016.12",89.3,3.7,95.7,110.7,13042.4,105.6,2013.2,0.45,93.8,96.8,95.6,12158.1,93.1,101.5,34733.4,25281.2,90.3,87.5,2.1,5617.7,26564.2,1.6
"2017.01",89.7,7.3,95.6,112.2,11468.8,105.3,2021.7,0.58,94.3,98.7,96.0,12061.1,92.9,103.2,34963.5,25305.4,90.6,86.8,2.1,5626.1,26593.7,1.6
"2017.02",90.2,8.9,96.2,112.6,13330.4,104.9,2055.4,0.62,94.6,98.8,96.3,12139.3,93.4,102.1,35578.2,25343.4,90.8,86.4,2.2,5648.9,26627.1,1.7
"2017.03",90.6,9.3,98.4,113.5,12175.2,105.1,2093.6,0.63,95.0,99.8,96.5,12338.5,93.0,101.7,36219.8,25374.9,91.1,86.9,2.2,5749.4,26646.1,1.7
"2017.04",91.0,7.5,99.7,113.7,14386.1,105.7,2126.4,0.65,95.2,99.4,96.6,12650.8,93.3,100.8,36743.4,25412.4,91.4,87.9,2.2,5830.6,26677.4,1.6
"2017.05",91.3,4.3,100.8,114.9,12370.8,106.2,2199.4,0.66,95.6,99.4,97.0,12630.2,93.0,101.4,37477.4,25432.1,91.6,89.2,2.1,5807.8,26688.2,1.6
"2017.06",91.8,2.2,100.8,116.5,13468.5,106.7,2278.1,0.64,95.8,98.3,97.2,12535.1,93.5,101.6,38318.2,25422.3,91.8,89.8,2.0,5824.8,26680.2,1.6
"2017.07",92.1,1.0,100.6,117.0,11036.7,107.3,2362.3,0.67,95.9,98.2,97.5,12590.8,93.5,102.2,37850.9,25439.1,92.1,90.0,1.9,5970.6,26697.3,1.6
"2017.08",92.5,1.5,100.6,117.4,12490.0,107.5,2385.8,0.69,96.2,97.9,97.9,12604.2,93.4,102.8,38347.0,25437.7,92.4,89.6,1.9,6218.7,26711.4,1.6
"2017.09",92.7,1.8,100.2,114.9,12712.9,107.2,2385.6,0.73,96.7,98.4,98.4,13124.3,93.8,103.2,38068.0,25464.1,92.6,89.6,1.9,6271.4,26746.0,1.6
"2017.10",93.0,1.3,101.2,113.1,12915.8,106.6,2409.0,0.84,96.7,98.7,98.5,12851.9,94.1,103.7,37705.5,25470.4,92.8,90.4,1.9,6116.2,26762.6,1.6
"2017.11",93.1,-0.3,101.8,110.4,11205.3,105.9,2462.7,0.95,97.1,99.0,98.3,12846.7,95.7,103.9,37810.8,25498.0,93.0,91.0,1.9,6039.4,26787.1,1.6
"2017.12",93.2,-5.5,102.8,108.1,11053.3,105.1,2494.7,0.97,96.8,98.5,98.0,12343.3,95.8,102.8,37745.7,25519.1,93.4,92.6,1.8,6076.5,26828.8,1.7
"2018.01",93.5,-8.5,101.9,111.5,13724.6,104.0,2507.4,0.95,97.2,98.5,98.3,12839.8,96.8,102.1,37904.9,25550.1,93.7,93.2,1.6,6258.4,26880.0,1.8
