,회사명,stock_code,상장일,히한가,싱한가
0,바이오노트,377740,2022-12-22,"18,000","22,000"
1,쏘카,403550,2022-08-22,"34,000","45,000"
2,수산인더스트리,126720,2022-08-01,"35,000","43,100"
3,LG에너지솔루션,373220,2022-01-27,"257,000","300,000"
4,카카오페이,377300,2021-11-03,"60,000","90,000"
5,케이카,381970,2021-10-13,"34,300","43,200"
6,현대중공업,329180,2021-09-17,"52,000","60,000"
7,일진하이솔루스,271940,2021-09-01,"25,700","34,300"
8,아주스틸,139990,2021-08-20,"12,700","15,100"
9,롯데렌탈,89860,2021-08-19,"47,000","59,000"
10,한컴라이프케어,372910,2021-08-17,"10,700","13,700"
11,크래프톤,259960,2021-08-10,"400,000","498,000"
12,에스디바이오센서,137310,2021-07-16,"45,000","52,000"
13,SK아이이테크놀로지,361610,2021-05-11,"78,000","105,000"
14,SK바이오사이언스,302440,2021-03-18,"49,000","65,000"
15,솔루엠,248070,2021-02-02,"13,700","15,500"
16,명신산업,9900,2020-12-07,"4,900","5,800"
17,에이플러스에셋,244920,2020-11-20,"10,500","12,300"
18,교촌에프앤비,339770,2020-11-12,"10,600","12,300"
19,빅히트,352820,2020-10-15,"105,000","135,000"
20,에스케이바이오팜,326030,2020-07-02,"36,000","49,000"
21,센트랄모텍,308170,2019-11-25,"5,000","6,000"
22,현대에너지솔루션,322000,2019-11-19,"24,000","28,000"
23,한화시스템,272210,2019-11-13,"12,250","14,000"
24,자이에스앤디,317400,2019-11-06,"4,200","5,200"
25,지누스,13890,2019-10-30,"80,000","90,000"
26,현대오토에버,307950,2019-03-28,"40,000","44,000"
27,드림텍,192650,2019-03-14,"11,000","13,000"
28,에어부산,298690,2018-12-27,"3,600","4,000"
29,아시아나IDT,267850,2018-11-23,"19,300","24,100"
30,하나제약,293480,2018-10-02,"24,500","28,000"
31,우진아이엔에스,10400,2018-09-14,"15,000","17,000"
32,티웨이항공,91810,2018-08-01,"14,600","16,700"
33,롯데정보통신,286940,2018-07-27,"28,300","33,800"
34,애경산업,18250,2018-03-22,"29,100","34,100"
35,동양피스톤,92780,2017-12-08,"5,700","7,300"
36,진에어,272450,2017-12-08,"26,800","31,800"
37,삼양패키징,272550,2017-11-29,"26,000","30,000"
38,테이팩스,55490,2017-10-31,"23,000","26,000"
39,넷마블게임즈,251270,2017-05-12,"121,000","157,000"
40,덴티움,145720,2017-03-15,"45,000","50,000"
41,호전실업,111110,2017-02-02,"30,000","35,000"
42,핸즈코퍼레이션,143210,2016-12-02,"12,000","14,000"
43,두산밥캣,241560,2016-11-18,"29,000","33,000"
44,삼성바이오로직스,207940,2016-11-10,"113,600","136,000"
45,JW생명과학,234080,2016-10-27,"27,000","32,500"
46,화승엔터프라이즈,241590,2016-10-04,"14,600","16,500"
47,엘에스전선 아시아,229640,2016-09-22,"10,000","11,500"
48,두올,16740,2016-07-29,"7,500","9,000"
49,해성디에스,195870,2016-06-24,"12,000","15,000"
50,용평리조트,70960,2016-05-27,"8,100","9,200"
51,해태제과식품,101530,2016-05-11,"12,300","15,100"
52,대림씨엔에스,4440,2016-03-30,"23,500","27,700"
53,제이에스코퍼레이션,194370,2016-02-04,"19,000","23,000"
54,코리아오토글라스,152330,2015-12-29,"10,500","12,000"
55,잇츠스킨,226320,2015-12-28,"208,500","253,000"
56,세진중공업,75580,2015-11-30,"3,500","3,900"
57,금호에이치티,214330,2015-11-11,"12,700","15,700"
58,제주항공,89590,2015-11-06,"23,000","28,000"
59,LIG넥스원,79550,2015-10-02,"66,000","76,000"
60,동일제강,2690,2015-09-24,"2,700","3,300"
61,아이콘트롤스,39570,2015-09-24,"28,000","32,000"
62,AJ네트웍스,95570,2015-08-21,"30,200","34,300"
63,이노션,214320,2015-07-17,"64,000","71,000"
64,토니모리,214420,2015-07-10,"26,400","30,200"
65,경보제약,214390,2015-06-29,"13,000","15,000"
66,에스케이디앤디,210980,2015-06-23,"20,200","24,300"
67,엔에스쇼핑,138250,2015-03-27,"205,000","235,000"
68,세화아이엠씨,145210,2015-03-19,"14,500","16,300"
69,큐라티스,348080,2023-06-15,"6,500","8,000"
70,마녀공장,439090,2023-06-08,"12,000","14,000"
71,나라셀라,405920,2023-06-02,"20,000","24,000"
72,진영,285800,2023-06-01,"3,600","4,200"
73,기가비스,420770,2023-05-24,"34,400","39,700"
74,씨유박스,340810,2023-05-19,"17,200","23,200"
75,모니터랩,434480,2023-05-19,"7,500","9,800"
76,트루엔,417790,2023-05-17,"10,000","12,000"
77,에스바이오메딕스,304360,2023-05-04,"16,000","18,000"
78,마이크로투나노,424980,2023-04-26,"13,500","15,500"
79,지아이이노베이션,358570,2023-03-30,"16,000","21,000"
80,LB인베스트먼트,309960,2023-03-29,"4,400","5,100"
81,금양그린파워,282720,2023-03-13,"6,700","8,000"
82,자람테크놀로지,389020,2023-03-07,"16,000","20,000"
83,나노팀,417010,2023-03-03,"11,500","13,000"
84,바이오인프라,199730,2023-03-02,"18,000","21,000"
85,제이오,418550,2023-02-16,"10,000","13,000"
86,샌즈랩,411080,2023-02-15,"8,500","10,500"
87,꿈비,407400,2023-02-09,"4,000","4,500"
88,스튜디오미르,408900,2023-02-07,"15,300","19,500"
89,삼기이브이,419050,2023-02-03,"13,800","16,500"
90,오브젠,417860,2023-01-30,"18,000","24,000"
