,시도별,날짜,CPI
0,전국,2015.01,94.643
1,전국,2015.02,94.587
2,전국,2015.03,94.596
3,전국,2015.04,94.625
4,전국,2015.05,94.89
5,전국,2015.06,94.909
6,전국,2015.07,95.08
7,전국,2015.08,95.213
8,전국,2015.09,94.966
9,전국,2015.10,94.966
10,전국,2015.11,94.786
11,전국,2015.12,95.07
12,전국,2016.01,95.232
13,전국,2016.02,95.64
14,전국,2016.03,95.393
15,전국,2016.04,95.573
16,전국,2016.05,95.63
17,전국,2016.06,95.611
18,전국,2016.07,95.431
19,전국,2016.08,95.677
20,전국,2016.09,96.247
21,전국,2016.10,96.379
22,전국,2016.11,96.237
23,전국,2016.12,96.342
24,전국,2017.01,97.366
25,전국,2017.02,97.632
26,전국,2017.03,97.565
27,전국,2017.04,97.442
28,전국,2017.05,97.546
29,전국,2017.06,97.338
30,전국,2017.07,97.499
31,전국,2017.08,98.058
32,전국,2017.09,98.172
33,전국,2017.10,98.077
34,전국,2017.11,97.347
35,전국,2017.12,97.698
36,전국,2018.01,98.106
37,전국,2018.02,98.855
38,전국,2018.03,98.751
39,전국,2018.04,98.931
40,전국,2018.05,98.979
41,전국,2018.06,98.779
42,전국,2018.07,98.59
43,전국,2018.08,99.462
44,전국,2018.09,100.221
45,전국,2018.10,100.041
46,전국,2018.11,99.33
47,전국,2018.12,98.988
48,전국,2019.01,98.884
49,전국,2019.02,99.311
50,전국,2019.03,99.121
51,전국,2019.04,99.481
52,전국,2019.05,99.652
53,전국,2019.06,99.491
54,전국,2019.07,99.187
55,전국,2019.08,99.425
56,전국,2019.09,99.794
57,전국,2019.10,100.041
58,전국,2019.11,99.481
59,전국,2019.12,99.719
60,전국,2020.01,100.09
61,전국,2020.02,100.16
62,전국,2020.03,99.94
63,전국,2020.04,99.5
64,전국,2020.05,99.44
65,전국,2020.06,99.71
66,전국,2020.07,99.63
67,전국,2020.08,100.19
68,전국,2020.09,100.74
69,전국,2020.10,100.18
70,전국,2020.11,100.09
71,전국,2020.12,100.33
72,전국,2021.01,101.04
73,전국,2021.02,101.58
74,전국,2021.03,101.84
75,전국,2021.04,101.98
76,전국,2021.05,102.05
77,전국,2021.06,102.05
78,전국,2021.07,102.26
79,전국,2021.08,102.75
80,전국,2021.09,103.17
81,전국,2021.10,103.35
82,전국,2021.11,103.87
83,전국,2021.12,104.04
84,전국,2022.01,104.85
85,전국,2022.02,105.42
86,전국,2022.03,106.1
87,전국,2022.04,106.83
88,전국,2022.05,107.5
89,전국,2022.06,108.21
90,전국,2022.07,108.73
91,전국,2022.08,108.63
92,전국,2022.09,108.82
93,전국,2022.10,109.16
94,전국,2022.11,109.07
95,전국,2022.12,109.26
96,전국,2023.01,110.07
97,전국,2023.02,110.33
98,전국,2023.03,110.52
99,전국,2023.04,110.77
100,전국,2023.05,111.13
101,전국,2023.06,111.16
