회사명_d1,stock_code,업종,상장주선인,공모가 (원),공모금액 (천원),최초상장주식수 (주),call,kospi,modified_esi,6개월 확약,3개월 확약,1개월 확약,15일 확약,미확약,수요예측_최종값,회사명_bs,corp_code,상장일,업력,유동자산,유동부채,부채총계,자본금,자본총계,매출액,영업이익,당기순이익,target,TA,WC,log_TA,log_S,capital_deficit,wc_neg_dummy,ta_negative,current_ratio,wc_sales,wc_ta,cl_tl,de_ratio,equity_ratio,cs_te,debt_asset,op_margin,net_margin,roe,roe_sign_dummy,roe_nan,roa,oi_ta,ni_oi_ratio,asset_turnover,sales_equity,z_simplified,WICS_large
엠앤씨솔루션,484870,특수 목적용 기계 제조업,KB증권(주),65000.0,"156,000,000","9,153,900",3.022,"2,488.97",90.1,0.0,0.0,0.0,0.0,100.0,8.18,엠앤씨솔루션,1519790,2024-12-16,5,183400,216841,218008,530,75378,188481,16803,13012,0,293386,-33441,12.589247835597591,12.146757790594494,0,1,0,0.8457810100488377,-0.1774237191016601,-0.1139829439714233,0.9946469854317272,2.892196662156066,0.2569243249507474,0.0070312292711401,0.7430756750492525,0.0891495694526238,0.0690361362683771,0.1726233118416514,0.0,0,0.0443511278656786,0.0572726714976174,0.7743855263940963,0.6424335176184276,2.5004775929316247,0.6168400190417237,산업재
더본코리아,475560,상품 종합 도매업,"한국투자증권(주),엔에이치투자증권주식회사",34000.0,"102,000,000","14,466,030",3.236,"2,563.51",91.2,14.97,20.29,10.82,4.29,49.63,734.67,더본코리아,968607,2024-11-06,31,139505,74522,79806,5872,147343,221266,15781,13205,1,227149,64983,12.33336587118755,12.30712539607662,0,0,0,1.8719975309304635,0.2936872361772707,0.286080942465078,0.933789439390522,0.5416341461759296,0.6486623317734175,0.0398525888572921,0.3513376682265826,0.0713213959668453,0.0596793000280205,0.0896208167337437,0.0,0,0.0581336479579483,0.0694742217663295,0.8367657309422724,0.9741007004213094,1.5017069015833804,2.552256919894918,경기관련소비재
전진건설로봇,79900,특수 목적용 기계 제조업,미래에셋증권 주식회사,16500.0,"50,781,225","15,360,574",3.538,"2,674.36",93.4,9.5,9.9,4.2,1.1,75.3,870.2,전진건설로봇,372129,2024-08-19,26,110456,55114,56593,8774,104998,41700,8002,7987,1,161591,55342,11.992829918893229,10.638280388314705,0,0,0,2.004136879921617,1.3271462829736211,0.3424819451578367,0.9738660258335836,0.5389912188803596,0.6497762870456895,0.0835634964475513,0.3502237129543106,0.19189448441247,0.1915347721822542,0.0760681155831539,0.0,0,0.0494272577061841,0.0495200846581802,0.9981254686328418,0.2580589265491271,0.3971504219127983,2.5212554828816645,산업재
산일전기,62040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",미래에셋증권 주식회사,35000.0,"266,000,000","30,445,200",3.505,"2,765.53",93.7,8.0,36.1,14.000000000000002,1.9,40.0,413.86,산일전기,366438,2024-07-29,31,123005,69911,142173,13516,138633,70643,23250,16467,1,280806,53094,12.545422879598004,11.165408458816264,0,0,0,1.7594513023701563,0.7515818977110259,0.1890771564710155,0.4917319040886806,1.0255350457683237,0.4936967158821392,0.0974948244645935,0.5063032841178607,0.3291196579986694,0.2331016519683479,0.1187812425612949,0.0,0,0.058641909360911,0.0827973761244417,0.708258064516129,0.2515722598519974,0.5095684288733563,1.708973761212406,산업재
시프트업,462870,소프트웨어 개발 및 공급업,"한국투자증권(주),제이피모간증권회사 서울지점,엔에이치투자증권주식회사",60000.0,"435,000,000","58,025,720",3.528,"2,891.35",93.7,23.4,15.68,6.559999999999999,1.22,53.14,225.94,시프트업,1384787,2024-07-11,12,204627,12375,22622,10155,210011,37375,25935,24699,1,232633,192252,12.357221682073105,10.5287840661879,0,0,0,10.0,5.143866220735786,0.8264175761822269,0.5470338608434268,0.1077181671436258,0.9027567026174276,0.0483546099966192,0.0972432973825725,0.6939130434782609,0.6608428093645485,0.1176081252886753,0.0,0,0.1061715233866218,0.1114846131030421,0.9523423944476576,0.1606607832938577,0.1779668684021313,8.132437332533698,커뮤니케이션서비스
HD현대마린솔루션,443060,"건축기술, 엔지니어링 및 관련 기술 서비스업","신한투자증권 주식회사,하나증권주식회사,유비에스증권 리미티드 서울지점,CS증권 서울지점,제이피모간증권회사 서울지점,KB증권(주)",83400.0,"742,260,000","44,450,000",3.485,"2,745.05",93.6,29.9,21.3,3.9,0.2,44.7,201.13,HD현대마린솔루션,1194689,2024-05-08,8,597262,387790,416651,20000,239966,1430463,201472,151116,1,656617,209472,13.394857697624529,14.173509425129769,0,0,0,1.5401686479795766,0.1464365034258138,0.319017022099641,0.9307309954854304,1.7362918080061345,0.3654580980998055,0.0833451405615795,0.6345419019001944,0.1408439085806483,0.105641320327754,0.6297392130551828,0.0,0,0.2301432951020153,0.3068333594774427,0.7500595616264295,2.178534823192211,5.961106990156939,2.2099330641648125,산업재
에이피알,278470,기타 화학제품 제조업,"신한투자증권 주식회사,하나증권주식회사",250000.0,"94,750,000","7,584,378",3.465,"2,625.05",93.4,13.63,19.86,17.06,1.66,47.790000000000006,663.18,에이피알,1190568,2024-02-27,10,191325,70508,79364,3637,168674,371789,69834,57440,1,248038,120817,12.421341270847885,12.82608445772703,0,0,0,2.7135218698587398,0.324961201111383,0.4870906877172046,0.8884128824152009,0.4705170921422388,0.6800328981849555,0.0215623036152578,0.3199671018150444,0.1878323457660124,0.1544962330784396,0.3405385536597223,0.0,0,0.2315774195889339,0.2815455696304598,0.8225219806970816,1.4989195203960684,2.2041867744880657,3.7203197389753058,경기관련소비재
DS단석,17860,기타 화학제품 제조업,"엔에이치투자증권주식회사,KB증권(주)",100000.0,"122,000,000","5,861,404",3.638,"2,599.51",93.4,1.43,9.87,7.51,0.04,81.15,341.84,DS단석,108612,2023-12-22,40,316354,338838,465936,4253,186322,811123,65371,34384,1,652258,-22484,13.388197001293966,13.606176219067107,0,1,0,0.9336438061846664,-0.027719593699106,-0.0344710222028706,0.7272200473884826,2.5007030839085025,0.2856569026366867,0.0228260752890157,0.7143430973633133,0.0805932022640216,0.042390611534872,0.1845407412973239,0.0,0,0.0527153365692716,0.1002226112979833,0.5259824692906641,1.2435615967914535,4.353339916918023,0.9200929808998876,소재
동인기연,111380,"가죽, 가방 및 유사제품 제조업",엔에이치투자증권주식회사,30000.0,"44,112,000","6,128,000",3.585,"2,510.42",93.4,0.0,0.0,0.0,0.0,100.0,26.37,동인기연,367710,2023-11-21,32,99368,117305,138347,425,64633,109175,15793,13530,0,202980,-17937,12.220867657584426,11.60071653791795,0,1,0,0.8470909168407144,-0.164295855278223,-0.0883683121489802,0.8479041829602376,2.140500982470255,0.3184205340427628,0.0065755883217551,0.6815794659572372,0.144657659720632,0.1239294710327456,0.2093357882196401,0.0,0,0.0666568134791605,0.0778056951423785,0.8567086683973912,0.537860872992413,1.6891526000649824,0.8738824542820007,경기관련소비재
에코프로머티,450080,일차전지 및 이차전지 제조업,"미래에셋증권 주식회사,엔에이치투자증권주식회사",36200.0,"419,224,960","68,226,958",3.601,"2,469.85",93.4,0.2,1.5,0.8,0.1,97.4,17.2,에코프로머티,1311408,2023-11-17,7,301517,365573,415431,28951,322046,524113,15514,9096,1,737477,-64056,13.5109915362427,13.16946449689294,0,1,0,0.8247791822700254,-0.1222179186549465,-0.0868583020216223,0.8799848831695275,1.2899741030784422,0.4366861610599381,0.0898970954459921,0.5633138389400618,0.0296004869178974,0.017355036032306,0.0282444122889276,0.0,0,0.0123339439738459,0.0210365882597016,0.5863091401314942,0.7106838586152517,1.6274476317047877,0.9867174763423098,정보기술
