회사명,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차
AJ네트웍스,0.089380356,0.064986022,0.029925774999999998,0.042214038
AP위성통신,0.055183304,0.027243862,0.010926939,0.014312477
DSC인베스트먼트,0.494997682,0.054747420000000005,0.020483213,0.047154713
DS단석,1.380941675,0.057706672,0.031170659,0.107250128
EDGC,0.358087632,0.053057167,0.021487601,0.044339621
GRT,0.20757022200000003,0.075021577,0.079149214,0.022591547
HB인베스트먼트,0.494987962,0.018443698,0.021766373,0.012371055
HD현대마린솔루션,0.413967798,0.065226797,0.030360780999999996,0.034937473
HK이노엔,0.089290778,0.022640605,0.030603643999999996,0.032308621
HPSP,0.287325552,0.02307893,0.030618344,0.056473153
JW생명과학,0.248351833,0.049901232,0.039769272,0.012931435
LB인베스트먼트,0.306137007,0.041399312,0.021280508,0.020321983
LG에너지솔루션,0.304972446,0.035250135,0.012433704,0.026895818
LIG넥스원,0.0342209,0.049723355,0.021523638,0.047390221
LS머트리얼즈,1.285710468,0.091713232,0.016881795,0.040421937
M83,0.207288586,0.161564547,0.066761201,0.04376085
SAMG엔터,0.181174383,0.034411989,0.075719925,0.146188953
SG,0.061864715,0.044335685,0.030195778,0.016514327
SK바이오사이언스,0.739828415,0.035191576,0.009274535,0.041241993
SK아이이테크놀로지,0.223469714,0.022818041,0.01286981,0.012991650999999998
SV인베스트먼트,0.063978004,0.026249571,0.048133356,0.064349499
가온칩스,0.42635700399999993,0.015198947,0.090664695,0.159238956
강스템바이오텍,0.270315366,0.063683648,0.042719141,0.05738228799999999
경보제약,0.573845121,0.034148089,0.052141279,0.016660372
고바이오랩,0.47076731299999997,0.11104396899999999,0.02746911,0.032289983
골든브릿지이안5호,0.002236068,0.001369306,0.005225132,0.002738613
골든센츄리,0.091781055,0.071518753,0.158954311,0.076562001
공구우먼,0.147098528,0.068991065,0.11137545499999998,0.064613157
교촌에프앤비,0.70482675,0.01738554,0.017864014,0.024876535
그리드위즈,0.153621753,0.06202505900000001,0.073674046,0.031488998
그린리소스,0.963602326,0.11500044299999998,0.039359217,0.078116324
금양그린파워,0.261263032,0.023295343,0.047688175,0.088601479
금호에이치티,0.05424028000000001,0.012299309,0.023251516,0.024475804
기가비스,0.380329026,0.024802984,0.089614497,0.031069084000000004
까스텔바쟉,0.295842614,0.025248406,0.024265881,0.028007642
꿈비,0.700899403,0.103044786,0.134770676,0.112355966
나노브릭,0.043501816,0.078059548,0.047689234,0.022465752
나노씨엠에스,0.106335798,0.03245047,0.020762153,0.026478897
나노팀,0.602509249,0.099865444,0.03282921,0.125282872
나라셀라,0.158394296,0.064318986,0.035783334,0.035325161
나래나노텍,0.11184188399999999,0.028334555,0.039693413,0.018424657
나무가,0.058412944,0.059118085,0.044009465,0.083910178
남화산업,0.4383118489999999,0.164434555,0.080896063,0.056698563
네오오토,0.069592191,0.010554051,0.016881143,0.018288603
네오크레마,0.064525499,0.022353792,0.029264005,0.02880703
네오펙트,0.125856374,0.093732721,0.048416547,0.043744794
네패스아크,0.199775191,0.034492869,0.026479576999999997,0.037462955
넥스트바이오메디컬,0.126646496,0.119422644,0.04950099,0.111572008
넥스트칩,0.085333434,0.035792695,0.022059873,0.018204807
넥스틴,0.066421631,0.033027216,0.01651687,0.028125469000000004
넥스틸,0.050183533,0.009086088,0.049547755,0.029146612
넷마블게임즈,0.044378339,0.023265275,0.019212314,0.035755909
노랑풍선,0.337547663,0.056104884,0.029664575,0.020351364
노머스,0.148380245,0.050865244,0.119857887,0.044683498
노바렉스,0.040360042,0.062024269,0.006624574999999999,0.009294515
노바텍,0.350029674,0.05252687899999999,0.048797869,0.05450314700000001
노브랜드,1.326598325,0.065724752,0.04122794,0.163804802
노을,0.038908701,0.017334994,0.022871554,0.017734373
노터스,0.440494249,0.06726039,0.047407774,0.015971287
녹십자랩셀,0.723525322,0.037765633,0.04345569,0.020764465
녹십자웰빙,0.06924565,0.021429722,0.00799925,0.024771698
뉴로메카,0.121802557,0.018043475,0.028725389,0.034761545
뉴트리,0.064380176,0.029817411,0.025525419,0.035783907
뉴트리바이오텍,0.177701849,0.033023885,0.068453539,0.06397716
뉴파워프라즈마,0.10908851,0.040708537,0.018350123,0.055265242000000006
닷밀,0.131883794,0.03650626,0.049867304,0.068525929
대림씨엔에스,0.086741674,0.023980471,0.015938224,0.038351701
대명에너지,0.150557122,0.05932071299999999,0.032574637,0.067287086
대모,0.573614003,0.184206886,0.040572503,0.034563391
대보마그네틱,0.36606861,0.051261407999999994,0.05843055700000001,0.062834767
대성하이텍,0.280746517,0.063800094,0.025211565,0.142161925
대원,0.044141307,0.010863149,0.025962666000000002,0.020595339
대유,0.20829125799999998,0.031474164,0.091911653,0.083544401
대유에이피,0.284337537,0.038226195,0.012194876,0.037260341
대유위니아,0.072866707,0.021387683,0.028822786,0.009929904
더네이쳐홀딩스,0.05516487099999999,0.048442388,0.041724789,0.059497538
더본코리아,0.257474131,0.032417233,0.017681996,0.019679736
더블유게임즈,0.075296899,0.035276579,0.043802568,0.021508068
더블유씨피,0.159093347,0.05953452800000001,0.045901558,0.047973149
덕산테코피아,0.12216281300000001,0.038451944,0.042053977,0.05232544299999999
덕우전자,0.014132127,0.016151532,0.036245234,0.021329862
데이타솔루션,0.337562562,0.035736424,0.03051144,0.012904534
덱스터,0.48306202200000004,0.08276489,0.030805811,0.088045233
덴티움,0.041690083,0.015514767000000002,0.010210436,0.015716615
동구바이오제약,0.729418218,0.09854329,0.05744192699999999,0.022768465
동양파일,0.063094556,0.018862343,0.018076725,0.048075077
동양피스톤,0.064859564,0.026937836,0.014540736000000002,0.013519726
동운아나텍,0.140227023,0.06952027,0.06139228,0.03911308
동인기연,0.022011997,0.03990723,0.02772039,0.023697152
동일제강,0.036857794,0.01561099,0.007882068,0.006337744000000001
두산로보틱스,0.446958893,0.041035046,0.036548365,0.139925237
두산밥캣,0.099813115,0.022105271,0.024121609,0.021117339
두올,0.072305809,0.035525723,0.014316599,0.011789826
드림씨아이에스,0.482257198,0.054691087000000006,0.018681408,0.146158315
드림텍,0.0933602,0.032425715,0.008662967,0.016690476
디바이스이엔지,0.062894141,0.046918994,0.048679493,0.038179733
디아이티,0.069588842,0.024264851,0.030555081,0.011257309
디알젬,0.043840814,0.139201034,0.155879899,0.048650663
디앤디파마텍,0.07820553,0.055243750999999994,0.069836473,0.050245318
디앤씨미디어,0.184311565,0.026241132,0.022444665,0.017166159
디어유,0.670681178,0.05892183799999999,0.047582476,0.05190464299999999
디자인,0.23860762099999996,0.052968746,0.039879845,0.069108733
디케이앤디,0.050631235,0.01602083,0.032298344,0.039223424
디케이티,0.225292366,0.111437292,0.048204792,0.035525808
디티앤씨알오,0.084638602,0.018746066,0.026669121,0.018848554
딥노이드,0.116252247,0.10077655,0.038504675,0.026555357
라닉스,0.166957923,0.103040201,0.046397284,0.048869551
라메디텍,0.257731785,0.072276794,0.035090911,0.042537924
라온피플,0.078498885,0.086616136,0.019559652,0.048966243
라이프시맨틱스,0.20174870500000003,0.038573657,0.023707024,0.019080697
라파스,0.049900852,0.028553335999999995,0.038082568,0.063396514
레몬,0.23020655900000003,0.142828411,0.068683601,0.080376259
레뷰코퍼레이션,0.26668376,0.074466791,0.055251217,0.041696007
레이,0.136639405,0.029572994,0.041498771,0.040507999
레이언스,0.040419711,0.018508701,0.019836658,0.040527707
레이저쎌,0.053777755999999996,0.094342286,0.033796198,0.037062609
레인보우로보틱스,0.707546608,0.06335369,0.028282679999999998,0.03570675
로고스바이오,0.091492404,0.059549878,0.026639294,0.050405039
로보티즈,0.189007526,0.049850958,0.044879873,0.017643072
로스웰,0.033996367,0.023159555,0.033828982,0.028229152
로지시스,0.517254718,0.030061720000000004,0.057986611,0.166022718
롯데렌탈,0.04923253,0.009004055,0.018604919,0.014497689
롯데정보통신,0.025457180000000003,0.014296258000000001,0.017246246,0.041446327
루닛,0.159049756,0.084901578,0.01817545,0.01824837
루미르,0.168373855,0.12421131999999999,0.099197313,0.098589264
리파인,0.148695437,0.028583474000000005,0.035613789,0.084746723
린드먼아시아,0.739025006,0.060115655000000004,0.035139052,0.035356923
마녀공장,0.71873864,0.068762548,0.025316437000000004,0.014493792
마니커에프앤지,0.341673294,0.056618301,0.025483132,0.128093571
