1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,stock_code,상장일,kospi200(-20),nasdaq(-20),putcall(-20),미국10년물국채금리수익률(-20),환율변동률(-20),코스피변동률(-20),코스닥변동률(-20),런던_가스오일(-1~-5),런던_가스오일(-11~-15),런던_가스오일(-16~-20),탄소배출권(-1~-5),탄소배출권(-6~-10),탄소배출권(-11~-15),탄소배출권(-16~-20),가솔린(-1~-5),가솔린(-6~-10),가솔린(-11~-15),가솔린(-16~-20),천연가스(-1~-5),천연가스(-6~-10),천연가스(-11~-15),천연가스(-16~-20),은(-1~-5),은(-6~-10),은(-11~-15),은(-16~-20),주석(-1~-5),주석(-6~-10),주석(-11~-15),주석(-16~-20),납(-1~-5),납(-6~-10),납(-11~-15),납(-16~-20),아연(-1~-5),아연(-11~-15),아연(-16~-20),알루미늄(-1~-5),알루미늄(-11~-15),알루미늄(-16~-20),니켈(-1~-5),니켈(-6~-10),니켈(-11~-15),니켈(-16~-20),구리_미국(-1~-5),구리_미국(-6~-10),구리_미국(-16~-20),미국_커피(-1~-5),미국_커피(-6~-10),미국_커피(-11~-15),미국_커피(-16~-20),미국_원면(-1~-5),미국_원면(-6~-10),미국_원면(-11~-15),미국_원면(-16~-20),현미(-1~-5),현미(-6~-10),현미(-11~-15),현미(-16~-20),돈육(-1~-5),돈육(-6~-10),돈육(-11~-15),돈육(-16~-20),미국_옥수수(-1~-5),미국_옥수수(-6~-10),미국_옥수수(-11~-15),미국_옥수수(-16~-20),런던_소맥(-1~-5),런던_소맥(-6~-10),런던_소맥(-11~-15),런던_소맥(-16~-20),오렌지주스(-1~-5),오렌지주스(-6~-10),오렌지주스(-11~-15),오렌지주스(-16~-20),원목(-1~-5),원목(-6~-10),원목(-11~-15),원목(-16~-20),미국_대두유(-1~-5),미국_설탕(-1~-5),미국_설탕(-11~-15),미국_대두박(-1~-5),미국_대두박(-6~-10),미국_대두박(-16~-20),생우(-1~-5),생우(-6~-10),생우(-11~-15),생우(-16~-20),런던_커피(-1~-5),런던_커피(-11~-15),런던_커피(-16~-20),런던_설탕(-1~-5),런던_설탕(-6~-10),런던_설탕(-11~-15),런던_설탕(-16~-20),귀리(-1~-5),귀리(-6~-10),귀리(-11~-15),귀리(-16~-20),런던 코코아 선물 과거 데이터(-1~-5),런던 코코아 선물 과거 데이터(-6~-10),런던 코코아 선물 과거 데이터(-11~-15),런던 코코아 선물 과거 데이터(-16~-20),육우(-1~-5),육우(-6~-10),육우(-11~-15),육우(-16~-20),코스닥수익률표준편차(-1~-5),코스닥수익률표준편차(-6~-10),코스닥수익률표준편차(-11~-15),코스닥수익률표준편차(-16~-20),원달러환율수익률표준편차(-1~-5),회사명,경기국면
0.089380356,0.064986022,0.0299257749999999,0.042214038,95570,2015-08-21,0.136329018,-0.041492436,0.070588235,-0.083554377,0.02819712,-0.07288857,-0.154802507,0.007912972,0.014771582,0.013870093,0.006693115,0.009661142,0.009471736,0.007374462,0.020921558,0.02614052,0.023870739,0.04054302,0.01525547,0.028906947,0.007981665,0.01145528,0.023631344,0.008995851,0.013005353,0.007383545,0.014255849,0.01827552,0.014828018,0.009159948,0.013014187,0.015993297,0.010525946,0.011878195,0.017019808,0.012522071,0.007926232,0.008867587,0.008297111,0.006526898,0.010507155,0.022301203,0.01565686,0.013794076,0.013369633,0.014185293,0.005466545,0.014154831,0.029285,0.02311828,0.007285761,0.004359429,0.018957671,0.008251637,0.002157601,0.014670004,0.009840081,0.01825813,0.006898589,0.06903196,0.006396163,0.010895776,0.014187383,0.005265617,0.028619749,0.021752567,0.00862786,0.012561337,0.010846048,0.006667552,0.005608756,0.014768317,0.017605482,0.020689191,0.018661762,0.01128591,0.019450769,0.003051047,0.015259,0.013291395,0.008406147,0.003649837,0.013594438,0.028745614,0.00778376,0.007855944,0.004381138,0.003478,0.006670827,0.010375836,0.010385463,0.003938833,0.006527919,0.008764224,0.003928308,0.004323493,0.009904047,0.014055208,0.005085034,0.013783739,0.006376239,0.008647046,0.014697322,0.006986785,0.00244526,0.000674638,0.002814439,0.006510398,0.023372479,0.01337727,0.02099562,0.013953568,0.0025740385369492,AJ네트웍스,0
0.055183304,0.027243862,0.010926939,0.014312477,211270,2016-03-04,-0.176909822,0.043875647,0.194915254,-0.004340749,0.021969823,0.017326295,-0.024126614,0.011759231,0.025480949,0.026040817,0.006838654,0.049955869,0.027080534,0.051473702,0.106027238,0.040660789,0.027281056,0.033019546,0.026057248,0.031730501,0.023013977,0.013844751,0.01152937,0.01421889,0.006064357,0.013255823,0.011758279,0.006652065,0.007216683,0.010468581,0.006751932,0.019640073,0.006510903,0.011090914,0.006794379,0.012410103,0.007715952,0.00719933,0.010843131,0.004958168,0.013603748,0.019696028,0.01351266,0.025536871,0.006737841,0.015132779,0.006168103,0.009324768,0.006834157,0.015851681,0.002122353,0.003888698,0.00705804,0.017191657,0.00717722,0.009672985,0.010399122,0.016718891,0.008058254,0.00750661,0.011243032,0.012409288,0.028008664,0.002033394,0.006197692,0.003624535,0.006450901,0.010467827,0.00634973,0.005294992,0.00155844,0.01570891,0.012714223,0.018213535,0.029273639,0.029011355,0.006174983,0.017101371,0.007685568,0.007888908,0.022130275,0.015378786,0.006566043,0.005190561,0.005638515,0.011448901,0.003568716,0.004018279,0.010078987,0.021509524,0.004956721,0.004188084,0.007373519,0.026385537,0.008276997,0.005354665,0.023904625,0.019250722,0.014322101,0.006709508,0.012990653,0.014397285,0.018811679,0.008296697,0.002429637,0.005886447,0.003080245,0.012940736,0.005562005,0.01302161,0.038466046,0.004358409,0.0059406289828437,AP위성통신,1
0.494997682,0.05474742,0.020483213,0.047154713,241520,2016-12-19,-0.212121212,0.021732628,-0.145454545,0.123163354,-0.00186078,0.038752829,0.020924622,0.02095337,0.006471713,0.038141033,0.029238104,0.048503105,0.042535434,0.020027812,0.007973143,0.010049721,0.00829934,0.041283343,0.017563136,0.030181903,0.030239053,0.024830698,0.037004491,0.009553968,0.014704158,0.012969031,0.003166323,0.005803004,0.008394193,0.015583032,0.016653035,0.006690861,0.019232598,0.018618992,0.023862088,0.027382107,0.023992545,0.005570939,0.010517377,0.007866407,0.009487062,0.01395906,0.014326163,0.020577945,0.00646473,0.007558112,0.011290688,0.008177403,0.012099485,0.007112774,0.017733176,0.005221084,0.007775404,0.005402886,0.006628747,0.011008056,0.009062679,0.020150395,0.010478017,0.033315686,0.009528411,0.013410318,0.011365711,0.009252003,0.007078658,0.017811314,0.019121654,0.004529725,0.003233544,0.005063483,0.002680269,0.01314605,0.017030281,0.006494689,0.009902719,0.006457159,0.007130994,0.006992043,0.014685008,0.001486267,0.022705816,0.016231635,0.007354273,0.009187013,0.008528718,0.007057562,0.007260322,0.009734657,0.013545848,0.005508872,0.002880655,0.020288826,0.019337017,0.012421764,0.013810652,0.009384606,0.021363237,0.005545516,0.023020042,0.009542774,0.019854102,0.024152317,0.008442498,0.012814649,0.009783576,0.009907896,0.009654549,0.013420465,0.006292205,0.014874881,0.006680734,0.012056284,0.0069246098634049,DSC인베스트먼트,0
0.358087632,0.053057167,0.021487601,0.044339621,245620,2018-06-26,0.2384,0.018308427,-0.01010101,0.03297491,0.027044549,-0.041823797,-0.037254563,0.013232213,0.012408642,0.009689397,0.011618033,0.014695892,0.014152703,0.007724481,0.015539997,0.009906695,0.017461689,0.012814788,0.005250639,0.016532798,0.009539724,0.009186245,0.005695419,0.002963844,0.024734776,0.005446114,0.005092657,0.007200445,0.00368597,0.007537009,0.00613845,0.008636685,0.011868347,0.009570601,0.014599793,0.014623683,0.007402983,0.005572946,0.010059319,0.010427648,0.021583175,0.012576146,0.018616193,0.007283479,0.006115195,0.008532072,0.00827643,0.007271397,0.002773752,0.00409045,0.013029517,0.011556798,0.022765667,0.013113543,0.012513164,0.014266506,0.013053182,0.005790137,0.022014928,0.010667601,0.019440317,0.001872282,0.010608267,0.009949706,0.006662718,0.024555187,0.007077897,0.004211047,0.003317883,0.002486548,0.002537967,0.020654705,0.005502784,0.019646379,0.015790897,0.013384414,0.016500762,0.018374892,0.010579506,0.004598471,0.007625317,0.015510612,0.014721043,0.003990379,0.007780638,0.008937892,0.002341393,0.014308258,0.007072371,0.00840595,0.008044319,0.004193703,0.003565123,0.006754716,0.013056996,0.023886967,0.010936172,0.007277002,0.02082046,0.007884571,0.003374052,0.016161801,0.027498563,0.023859195,0.01085719,0.003424641,0.016975001,0.004899064,0.023139521,0.0129258,0.008972434,0.009651521,0.0033694344928604,EDGC,0
0.207570222,0.075021577,0.079149214,0.022591547,900290,2016-10-25,0.009463722,0.000776544,-0.099236641,0.123409669,0.027440681,0.000307751,-0.056613664,0.011862739,0.015082683,0.008144091,0.029097287,0.024495756,0.028323191,0.040734404,0.016790351,0.004240352,0.012598222,0.00542507,0.026439491,0.013744534,0.025654875,0.020988491,0.004741452,0.003919258,0.009156451,0.008894345,0.004319057,0.008012519,0.00862333,0.004576063,0.008427741,0.009307576,0.012940057,0.008797774,0.016890651,0.016619903,0.007034383,0.007385386,0.007917192,0.001826188,0.014590728,0.010913177,0.018235292,0.00641772,0.002509028,0.000699036,0.002823232,0.008288425,0.007123229,0.016754062,0.008323224,0.007804112,0.004082993,0.012471492,0.010954376,0.018161121,0.010831957,0.01521475,0.004485941,0.015000541,0.092515668,0.008674872,0.020776213,0.009478522,0.00491134,0.022057615,0.008967237,0.001974652,0.008294262,0.006628928,0.005234398,0.015196111,0.013977614,0.019805904,0.004126783,0.007235469,0.015263264,0.014239646,0.009201237,0.012495494,0.012875837,0.007758,0.004429033,0.006210312,0.004448603,0.013903091,0.01161359,0.017417246,0.005748699,0.006942904,0.003390555,0.008467242,0.00889313,0.010922994,0.007731422,0.015417492,0.02146475,0.01160599,0.017432292,0.009614871,0.000748653,0.006978819,0.020254388,0.01146297,0.00978665,0.013305781,0.013063095,0.002659961,0.004437261,0.005246955,0.006835588,0.006457237,0.0075251010752223,GRT,0
0.089290778,0.022640605,0.0306036439999999,0.032308621,195940,2021-08-09,0.041116006,0.006958383,-0.323741007,-0.046052632,-0.004180092,0.007358762,0.024317637,0.009038058,0.005796175,0.016828349,0.009688368,0.012373368,0.020212149,0.018357704,0.012168636,0.024433864,0.007833007,0.015988636,0.014888397,0.021051552,0.021553573,0.010205767,0.016031801,0.004323494,0.022696751,0.007063481,0.00165562,0.004944559,0.009874171,0.009268277,0.015351621,0.004592194,0.008605311,0.014925316,0.011829608,0.009527434,0.007505296,0.005918931,0.013625321,0.008709683,0.006399167,0.006571663,0.015097266,0.014004097,0.006087828,0.005421644,0.007568904,0.004710049,0.040269097,0.051916028,0.051378395,0.005599903,0.005329462,0.002570442,0.008999178,0.007795227,0.00586655,0.007310923,0.006035514,0.003682386,0.007608727,0.008446763,0.00604508,0.009976107,0.016079945,0.007106963,0.021520655,0.009545616,0.009869295,0.011686421,0.014293456,0.011583085,0.019137251,0.025279773,0.019443605,0.054055425,0.025110495,0.042616804,0.059287236,0.007074436,0.017291865,0.012950176,0.006124648,0.015179818,0.018415242,0.006956075,0.004741148,0.008455563,0.004224492,0.006822539,0.021287761,0.024826753,0.015796559,0.006995401,0.00857433,0.012191212,0.016654106,0.016084889,0.004799349,0.018271039,0.007478799,0.01265569,0.012155116,0.003618103,0.008450446,0.002228319,0.009544371,0.009595663,0.006028567,0.008346337,0.005617369,0.004721799,0.0044056813588892,HK이노엔,1
0.287325552,0.02307893,0.030618344,0.056473153,403870,2022-07-15,-0.095773556,0.013698349,-0.216,-0.084493965,0.016976871,-0.048592135,-0.040829358,0.048435707,0.037810662,0.018016283,0.015723488,0.017480151,0.026393152,0.012121797,0.025739418,0.057031759,0.046311304,0.021484425,0.056929395,0.080891462,0.088669082,0.020602112,0.023788481,0.001150256,0.015564146,0.00726044,0.029106606,0.038032596,0.007025391,0.044663746,0.030285329,0.015697507,0.01089388,0.026260958,0.011123158,0.035821393,0.006622344,0.009872544,0.006563666,0.008924196,0.04050077,0.01790091,0.029605548,0.014302874,0.022310226,0.034256004,0.002487306,0.026963189,0.008076603,0.010466347,0.025150057,0.020372793,0.042987615,0.001600616,0.026474296,0.003622271,0.011757259,0.008433839,0.005841873,0.002857774,0.010719465,0.002511155,0.00297374,0.036339548,0.023890288,0.018117464,0.011641929,0.017927027,0.080104333,0.018452219,0.014316478,0.046275591,0.032051876,0.006451454,0.024036049,0.014956666,0.03003409,0.022405738,0.010872816,0.027670252,0.01422683,0.02079169,0.017071133,0.019552817,0.009565883,0.00974543,0.008790136,0.012585882,0.002956926,0.014293424,0.005672467,0.009762938,0.006797788,0.013676417,0.007882761,0.009399837,0.020981784,0.018976028,0.00720324,0.023761962,0.014545221,0.013335545,0.003315342,0.006061555,0.014735618,0.005221942,0.007292247,0.008439067,0.014479701,0.024476818,0.029350903,0.024441489,0.0075606644523713,HPSP,0
0.248351833,0.049901232,0.039769272,0.012931435,234080,2016-10-27,0.04691165,-0.003583098,0.247058824,0.12077597,0.029904848,-0.019078838,-0.074625779,0.001846826,0.008677905,0.012117184,0.012938966,0.038047066,0.013175568,0.018695709,0.008088376,0.014035351,0.010467379,0.008572901,0.022157941,0.020222269,0.02217334,0.02383795,0.007131568,0.005992775,0.001138787,0.008882268,0.005746154,0.009145198,0.007983147,0.006039502,0.007166278,0.010881231,0.007540586,0.013520928,0.014502166,0.003978142,0.015922454,0.009848708,0.005837458,0.005355758,0.008606876,0.011772255,0.010537479,0.015523416,0.009224107,0.001394378,0.00793024,0.018148406,0.009958642,0.007150272,0.016993924,0.006329256,0.01038765,0.012148732,0.003933295,0.022013826,0.012472497,0.00995557,0.00839518,0.019929872,0.094829159,0.007883756,0.006720061,0.009147226,0.010697643,0.022526344,0.005267737,0.007271345,0.008361264,0.007628529,0.004885257,0.011267234,0.015700427,0.015354512,0.010836952,0.00135058,0.015251794,0.011064802,0.017914561,0.011943434,0.01350148,0.004509833,0.015260553,0.00749143,0.005866015,0.009136769,0.018608804,0.014213274,0.012407802,0.003495048,0.002328671,0.004315198,0.012379682,0.010945966,0.003134296,0.009545779,0.01338566,0.012890291,0.009861976,0.013584939,0.006651479,0.006862488,0.006560612,0.021349922,0.004319911,0.017474501,0.012317346,0.009902418,0.002457621,0.005917608,0.004787964,0.007485701,0.0061629368965955,JW생명과학,0
0.306137007,0.041399312,0.021280508,0.020321983,309960,2023-03-29,-0.09282245,0.029579523,0.32967033,-0.105658488,-0.012980112,0.009155148,0.052943406,0.013966289,0.04698228,0.003170616,0.03174241,0.021591545,0.018271071,0.021087963,0.017804286,0.008803555,0.025460759,0.018399987,0.036236233,0.05249019,0.04052282,0.040324863,0.007294056,0.012244776,0.017961625,0.029823968,0.011063742,0.015061985,0.013079812,0.013178582,0.001565649,0.009687033,0.006856255,0.002604793,0.005674278,0.01120298,0.006065174,0.005547156,0.015766527,0.007536266,0.0,0.0,0.0,0.0,0.005593428,0.00727915,0.003049931,0.017987549,0.024286038,0.024177588,0.012125234,0.02407593,0.007689963,0.013354903,0.03142056,0.005066068,0.008246448,0.014166152,0.008557458,0.013175921,0.010066363,0.022423676,0.016095564,0.00816691,0.00392976,0.004537476,0.015293793,0.029155234,0.014229542,0.006947232,0.011500695,0.01915525,0.012274162,0.032431615,0.024860501,0.013624181,0.013307887,0.13059851,0.009722035,0.010870104,0.008486261,0.008384378,0.012268811,0.011221296,0.006327551,0.005105486,0.00166561,0.005179709,0.002145375,0.022948119,0.014262407,0.007938567,0.009399161,0.014894081,0.004599789,0.008347095,0.011159893,0.009838947,0.013460164,0.004787977,0.003372998,0.009340849,0.01516868,0.008635196,0.006889372,0.001758178,0.00838802,0.003205364,0.006708882,0.013140041,0.017122793,0.011413446,0.0060317634654406,LB인베스트먼트,0
0.304972446,0.035250135,0.012433704,0.026895818,373220,2022-01-27,0.500302115,-0.141067399,0.04950495,0.242866622,0.009438733,-0.090141555,-0.146898393,0.020001683,0.008701297,0.009713135,0.018705961,0.026751743,0.012604725,0.029882502,0.018499857,0.006360948,0.008465492,0.017183275,0.016495268,0.038749578,0.063373439,0.016125774,0.009981284,0.019635574,0.010122643,0.006910906,0.021731812,0.006115305,0.016071004,0.008127491,0.004227841,0.012305727,0.008825543,0.007968208,0.008062708,0.005803586,0.014049353,0.009914652,0.006894397,0.00627159,0.032853235,0.022882212,0.004566587,0.021524946,0.014937783,0.017770169,0.012131543,0.014981779,0.015556949,0.012372462,0.016160408,0.005728271,0.016211219,0.012650659,0.002982812,0.003889005,0.00421205,0.009414975,0.010893115,0.005599416,0.011899018,0.019692695,0.016595587,0.005679092,0.007421118,0.012143215,0.006287151,0.023000337,0.011006514,0.008223845,0.002223301,0.012770414,0.014562789,0.026449557,0.007177106,0.022489901,0.040499497,0.005822142,0.02253712,0.014312304,0.006493003,0.010837275,0.010004477,0.023595323,0.020195675,0.007362263,0.003709435,0.005570093,0.006513101,0.014037643,0.009764864,0.011793718,0.003497599,0.006571521,0.01480758,0.009823088,0.013913702,0.035969129,0.015246616,0.005053104,0.011130875,0.005522321,0.012268775,0.014482291,0.005191887,0.003458575,0.003255512,0.005215478,0.02279173,0.002587026,0.021417023,0.010901786,0.0031932127553637,LG에너지솔루션,1
