1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,stock_code,상장일,VIXCLS,시장금리국고채3년,WTI유(-1~-5),WTI유(-6~-10),WTI유(-11~-15),WTI유(-16~-20),금(-1~-5),금(-6~-10),금(-11~-15),금(-16~-20),구리_미국(-1~-5),구리_미국(-6~-10),구리_미국(-11~-15),구리_미국(-16~-20),미국_커피(-1~-5),미국_커피(-6~-10),미국_커피(-11~-15),미국_커피(-16~-20),돈육(-1~-5),돈육(-6~-10),돈육(-11~-15),돈육(-16~-20),미국_옥수수(-1~-5),미국_옥수수(-6~-10),미국_옥수수(-11~-15),미국_옥수수(-16~-20),코스피수익률표준편차(-1~-5),코스피수익률표준편차(-6~-10),코스피수익률표준편차(-11~-15),코스피수익률표준편차(-16~-20),나스닥수익률표준편차(-1~-5),나스닥수익률표준편차(-6~-10),나스닥수익률표준편차(-11~-15),나스닥수익률표준편차(-16~-20),원달러환율수익률표준편차(-1~-5),원달러환율수익률표준편차(-6~-10),원달러환율수익률표준편차(-11~-15),원달러환율수익률표준편차(-16~-20),회사명,경기국면
0.089380356,0.064986022,0.0299257749999999,0.042214038,95570,2015-08-21,28.03,1.709,0.023653171,0.021333806,0.016165458,0.020561256,0.009593065,0.00808788,0.00376478,0.00297007,0.013369633,0.014185293,0.01394011,0.005466545,0.014154831,0.029285,0.02311828,0.007285761,0.06903196,0.006396163,0.010895776,0.014187383,0.005265617,0.028619749,0.021752567,0.00862786,0.006249449,0.002921622,0.008942019,0.003992037,0.0140512544025556,0.0087373188699779,0.0083645761120561,0.0092599766371711,0.0025740385369492,0.0101543366472207,0.0055319898009965,0.004753759304402,AJ네트웍스,0
0.055183304,0.027243862,0.010926939,0.014312477,211270,2016-03-04,16.86,1.522,0.01352111,0.014052517,0.035523636,0.045250381,0.007174721,0.011116086,0.010576665,0.011610817,0.006737841,0.015132779,0.008313779,0.006168103,0.009324768,0.006834157,0.015851681,0.002122353,0.00750661,0.011243032,0.012409288,0.028008664,0.002033394,0.006197692,0.003624535,0.006450901,0.006880523,0.006037434,0.018828034,0.009830057,0.0136651379356874,0.0112528779446651,0.0154391031065983,0.0151722836119664,0.0059406289828437,0.0060767020408983,0.0015926625160471,0.0078445252921662,AP위성통신,0
0.494997682,0.05474742,0.020483213,0.047154713,241520,2016-12-19,11.71,1.694,0.020350809,0.011142816,0.017404008,0.048685031,0.014517103,0.004983961,0.004621263,0.007813422,0.00646473,0.007558112,0.016037441,0.011290688,0.008177403,0.012099485,0.007112774,0.017733176,0.033315686,0.009528411,0.013410318,0.011365711,0.009252003,0.007078658,0.017811314,0.019121654,0.001800265,0.010532442,0.003648426,0.00662176,0.0066227888654098,0.0033893429684334,0.0068620550222102,0.0044239088463891,0.0069246098634049,0.0062015417633123,0.0068799932078639,0.0073591573236803,DSC인베스트먼트,1
0.358087632,0.053057167,0.021487601,0.044339621,245620,2018-06-26,15.92,2.148,0.022241599,0.010395011,0.014104552,0.010975645,0.001362416,0.00170317,0.011131539,0.000633223,0.006115195,0.008532072,0.009788501,0.00827643,0.007271397,0.002773752,0.00409045,0.013029517,0.010667601,0.019440317,0.001872282,0.010608267,0.009949706,0.006662718,0.024555187,0.007077897,0.011335556,0.01002515,0.00592902,0.011118084,0.0103234931201857,0.0045753662406329,0.0051810682983705,0.0083611788085541,0.0033694344928604,0.003667464905496,0.0037875164648599,0.0081581739004575,EDGC,1
0.207570222,0.075021577,0.079149214,0.022591547,900290,2016-10-25,13.46,1.398,0.011605834,0.012940513,0.017486506,0.013663137,0.001481156,0.002760681,0.004240437,0.005322278,0.002509028,0.000699036,0.01442053,0.002823232,0.008288425,0.007123229,0.016754062,0.008323224,0.015000541,0.092515668,0.008674872,0.020776213,0.009478522,0.00491134,0.022057615,0.008967237,0.004657703,0.007188829,0.00478724,0.008560725,0.0048096168330942,0.0061529992942776,0.0045027501216894,0.0076298330590907,0.0075251010752223,0.0087252142414904,0.00494339466387,0.0078772123766065,GRT,1
0.089290778,0.022640605,0.0306036439999999,0.032308621,195940,2021-08-09,16.72,1.436,0.017009738,0.016047787,0.008162834,0.01442932,0.011019655,0.005124363,0.008259301,0.002390174,0.006087828,0.005421644,0.022027616,0.007568904,0.004710049,0.040269097,0.051916028,0.051378395,0.003682386,0.007608727,0.008446763,0.00604508,0.009976107,0.016079945,0.007106963,0.021520655,0.00622048,0.006998506,0.007843945,0.005609347,0.0045606256611459,0.007478416144973,0.0100282074614832,0.0040295617061881,0.0044056813588892,0.0034591929501355,0.0035499543882775,0.0044427436643735,HK이노엔,1
0.287325552,0.02307893,0.030618344,0.056473153,403870,2022-07-15,24.23,3.205,0.03448904,0.066185842,0.026163451,0.016379404,0.008605552,0.007368453,0.00867585,0.001504877,0.022310226,0.034256004,0.012940409,0.002487306,0.026963189,0.008076603,0.010466347,0.025150057,0.002857774,0.010719465,0.002511155,0.00297374,0.036339548,0.023890288,0.018117464,0.011641929,0.006800784,0.017726074,0.019260372,0.01366877,0.0099750538166884,0.0140230538584001,0.0239076232371383,0.0275227362504665,0.0075606644523713,0.0084991398320672,0.0062996433387813,0.0032837418934507,HPSP,1
0.248351833,0.049901232,0.039769272,0.012931435,234080,2016-10-27,15.36,1.418,0.006864089,0.018406016,0.006313448,0.017460732,0.005034995,0.003217259,0.001920328,0.003824949,0.009224107,0.001394378,0.010418938,0.00793024,0.018148406,0.009958642,0.007150272,0.016993924,0.019929872,0.094829159,0.007883756,0.006720061,0.009147226,0.010697643,0.022526344,0.005267737,0.006868306,0.005855266,0.007051708,0.007974457,0.0065764683450514,0.005077287261808,0.0079678989741936,0.0068203879139449,0.0061629368965955,0.0062868504258284,0.0086817741403687,0.0065531976764781,JW생명과학,1
0.306137007,0.041399312,0.021280508,0.020321983,309960,2023-03-29,19.12,3.249,0.023868868,0.015889439,0.027819608,0.01401212,0.009252798,0.015966986,0.012786696,0.011501192,0.005593428,0.00727915,0.019513852,0.003049931,0.017987549,0.024286038,0.024177588,0.012125234,0.013175921,0.010066363,0.022423676,0.016095564,0.00816691,0.00392976,0.004537476,0.015293793,0.007287933,0.007644908,0.011715242,0.004795298,0.0097584888259926,0.012761406575337,0.0173957558252396,0.0125877271520499,0.0060317634654406,0.0060526970404926,0.0121316632623782,0.0085001247428025,LB인베스트먼트,0
0.304972446,0.035250135,0.012433704,0.026895818,373220,2022-01-27,30.49,2.217,0.017650526,0.012206943,0.010803272,0.019192615,0.007329059,0.008856233,0.003195573,0.004699054,0.014937783,0.017770169,0.022017799,0.012131543,0.014981779,0.015556949,0.012372462,0.016160408,0.005599416,0.011899018,0.019692695,0.016595587,0.005679092,0.007421118,0.012143215,0.006287151,0.012223265,0.00375568,0.012106732,0.006380091,0.0143954257274088,0.014879044159978,0.017566438413716,0.0092395396646472,0.0031932127553637,0.0021387595663317,0.0058271832293485,0.0041401530895977,LG에너지솔루션,1
