,회사명,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,stock_code
0,AJ네트웍스,0.089380356,0.064986022,0.0299257749999999,0.042214038,95570
1,AP위성통신,0.055183304,0.027243862,0.010926939,0.014312477,211270
2,DSC인베스트먼트,0.494997682,0.05474742,0.020483213,0.047154713,241520
3,EDGC,0.358087632,0.053057167,0.021487601,0.044339621,245620
4,GRT,0.207570222,0.075021577,0.079149214,0.022591547,900290
5,HK이노엔,0.089290778,0.022640605,0.0306036439999999,0.032308621,195940
6,HPSP,0.287325552,0.02307893,0.030618344,0.056473153,403870
7,JW생명과학,0.248351833,0.049901232,0.039769272,0.012931435,234080
8,LB인베스트먼트,0.306137007,0.041399312,0.021280508,0.020321983,309960
9,LG에너지솔루션,0.304972446,0.035250135,0.012433704,0.026895818,373220
10,LIG넥스원,0.0342209,0.049723355,0.021523638,0.047390221,79550
11,SAMG엔터,0.181174383,0.034411989,0.075719925,0.146188953,419530
12,SG,0.061864715,0.044335685,0.030195778,0.016514327,255220
13,SK바이오사이언스,0.739828415,0.035191576,0.009274535,0.041241993,302440
14,SK아이이테크놀로지,0.223469714,0.022818041,0.01286981,0.0129916509999999,361610
15,SV인베스트먼트,0.063978004,0.026249571,0.048133356,0.064349499,289080
16,가온칩스,0.4263570039999999,0.015198947,0.090664695,0.159238956,399720
17,강스템바이오텍,0.270315366,0.063683648,0.042719141,0.0573822879999999,217730
18,경보제약,0.573845121,0.034148089,0.052141279,0.016660372,214390
19,고바이오랩,0.4707673129999999,0.1110439689999999,0.02746911,0.032289983,348150
20,골든브릿지이안5호,0.002236068,0.001369306,0.005225132,0.002738613,307870
21,골든센츄리,0.091781055,0.071518753,0.158954311,0.076562001,900280
22,공구우먼,0.147098528,0.068991065,0.1113754549999999,0.064613157,366030
23,교촌에프앤비,0.70482675,0.01738554,0.017864014,0.024876535,339770
24,금양그린파워,0.261263032,0.023295343,0.047688175,0.088601479,282720
25,금호에이치티,0.05424028,0.012299309,0.023251516,0.024475804,214330
26,기가비스,0.380329026,0.024802984,0.089614497,0.031069084,420770
27,까스텔바쟉,0.295842614,0.025248406,0.024265881,0.028007642,308100
28,꿈비,0.700899403,0.103044786,0.134770676,0.112355966,407400
29,나노브릭,0.043501816,0.078059548,0.047689234,0.022465752,286750
30,나노씨엠에스,0.106335798,0.03245047,0.020762153,0.026478897,247660
31,나노팀,0.602509249,0.099865444,0.03282921,0.125282872,417010
