,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,VIXCLS,시장금리국고채3년,WTI유(-1~-5),WTI유(-6~-10),WTI유(-11~-15),WTI유(-16~-20),금(-1~-5),금(-6~-10),금(-11~-15),금(-16~-20),구리_미국(-1~-5),구리_미국(-6~-10),구리_미국(-11~-15),구리_미국(-16~-20),미국_커피(-1~-5),미국_커피(-6~-10),미국_커피(-11~-15),미국_커피(-16~-20),돈육(-1~-5),돈육(-6~-10),돈육(-11~-15),돈육(-16~-20),미국_옥수수(-1~-5),미국_옥수수(-6~-10),미국_옥수수(-11~-15),미국_옥수수(-16~-20),코스피수익률표준편차(-1~-5),코스피수익률표준편차(-6~-10),코스피수익률표준편차(-11~-15),코스피수익률표준편차(-16~-20),나스닥수익률표준편차(-1~-5),나스닥수익률표준편차(-6~-10),나스닥수익률표준편차(-11~-15),나스닥수익률표준편차(-16~-20),원달러환율수익률표준편차(-1~-5),원달러환율수익률표준편차(-6~-10),원달러환율수익률표준편차(-11~-15),원달러환율수익률표준편차(-16~-20)
0,0.089380356,0.064986022,0.0299257749999999,0.042214038,28.03,1.709,0.023653171,0.021333806,0.016165458,0.020561256,0.009593065,0.00808788,0.00376478,0.00297007,0.013369633,0.014185293,0.01394011,0.005466545,0.014154831,0.029285,0.02311828,0.007285761,0.06903196,0.006396163,0.010895776,0.014187383,0.005265617,0.028619749,0.021752567,0.00862786,0.006249449,0.002921622,0.008942019,0.003992037,0.0140512544025556,0.0087373188699779,0.0083645761120561,0.0092599766371711,0.0025740385369492,0.0101543366472207,0.0055319898009965,0.004753759304402
1,0.055183304,0.027243862,0.010926939,0.014312477,16.86,1.522,0.01352111,0.014052517,0.035523636,0.045250381,0.007174721,0.011116086,0.010576665,0.011610817,0.006737841,0.015132779,0.008313779,0.006168103,0.009324768,0.006834157,0.015851681,0.002122353,0.00750661,0.011243032,0.012409288,0.028008664,0.002033394,0.006197692,0.003624535,0.006450901,0.006880523,0.006037434,0.018828034,0.009830057,0.0136651379356874,0.0112528779446651,0.0154391031065983,0.0151722836119664,0.0059406289828437,0.0060767020408983,0.0015926625160471,0.0078445252921662
3,0.358087632,0.053057167,0.021487601,0.044339621,15.92,2.148,0.022241599,0.010395011,0.014104552,0.010975645,0.001362416,0.00170317,0.011131539,0.000633223,0.006115195,0.008532072,0.009788501,0.00827643,0.007271397,0.002773752,0.00409045,0.013029517,0.010667601,0.019440317,0.001872282,0.010608267,0.009949706,0.006662718,0.024555187,0.007077897,0.011335556,0.01002515,0.00592902,0.011118084,0.0103234931201857,0.0045753662406329,0.0051810682983705,0.0083611788085541,0.0033694344928604,0.003667464905496,0.0037875164648599,0.0081581739004575
4,0.207570222,0.075021577,0.079149214,0.022591547,13.46,1.398,0.011605834,0.012940513,0.017486506,0.013663137,0.001481156,0.002760681,0.004240437,0.005322278,0.002509028,0.000699036,0.01442053,0.002823232,0.008288425,0.007123229,0.016754062,0.008323224,0.015000541,0.092515668,0.008674872,0.020776213,0.009478522,0.00491134,0.022057615,0.008967237,0.004657703,0.007188829,0.00478724,0.008560725,0.0048096168330942,0.0061529992942776,0.0045027501216894,0.0076298330590907,0.0075251010752223,0.0087252142414904,0.00494339466387,0.0078772123766065
5,0.089290778,0.022640605,0.0306036439999999,0.032308621,16.72,1.436,0.017009738,0.016047787,0.008162834,0.01442932,0.011019655,0.005124363,0.008259301,0.002390174,0.006087828,0.005421644,0.022027616,0.007568904,0.004710049,0.040269097,0.051916028,0.051378395,0.003682386,0.007608727,0.008446763,0.00604508,0.009976107,0.016079945,0.007106963,0.021520655,0.00622048,0.006998506,0.007843945,0.005609347,0.0045606256611459,0.007478416144973,0.0100282074614832,0.0040295617061881,0.0044056813588892,0.0034591929501355,0.0035499543882775,0.0044427436643735
7,0.248351833,0.049901232,0.039769272,0.012931435,15.36,1.418,0.006864089,0.018406016,0.006313448,0.017460732,0.005034995,0.003217259,0.001920328,0.003824949,0.009224107,0.001394378,0.010418938,0.00793024,0.018148406,0.009958642,0.007150272,0.016993924,0.019929872,0.094829159,0.007883756,0.006720061,0.009147226,0.010697643,0.022526344,0.005267737,0.006868306,0.005855266,0.007051708,0.007974457,0.0065764683450514,0.005077287261808,0.0079678989741936,0.0068203879139449,0.0061629368965955,0.0062868504258284,0.0086817741403687,0.0065531976764781
9,0.304972446,0.035250135,0.012433704,0.026895818,30.49,2.217,0.017650526,0.012206943,0.010803272,0.019192615,0.007329059,0.008856233,0.003195573,0.004699054,0.014937783,0.017770169,0.022017799,0.012131543,0.014981779,0.015556949,0.012372462,0.016160408,0.005599416,0.011899018,0.019692695,0.016595587,0.005679092,0.007421118,0.012143215,0.006287151,0.012223265,0.00375568,0.012106732,0.006380091,0.0143954257274088,0.014879044159978,0.017566438413716,0.0092395396646472,0.0031932127553637,0.0021387595663317,0.0058271832293485,0.0041401530895977
10,0.0342209,0.049723355,0.021523638,0.047390221,20.94,1.584,0.016440113,0.019486289,0.032634324,0.027532302,0.005380536,0.011156299,0.009196606,0.007376978,0.022477402,0.016782178,0.012040619,0.011667338,0.01485645,0.019300696,0.008506811,0.016763375,0.01451293,0.009560598,0.014119973,0.020824356,0.004588187,0.011612398,0.012964501,0.015872261,0.011606518,0.013196092,0.016057092,0.006633193,0.0192643057746606,0.0072202545632203,0.0055886408650435,0.0162021925735466,0.0045095379027659,0.0045115830360049,0.004056095016264,0.0062187372221076
12,0.061864715,0.044335685,0.030195778,0.016514327,11.08,2.222,0.007267173,0.00820736,0.003769616,0.007727548,0.00619719,0.005019623,0.00388371,0.003353079,0.023345387,0.004849849,0.001948308,0.003358451,0.010710002,0.015446467,0.004131896,0.011214227,0.006565656,0.019303493,0.011215346,0.011244373,0.007579467,0.006720701,0.003141096,0.006062624,0.008190935,0.003648788,0.007488774,0.00738835,0.0063848025107498,0.0064682456375927,0.0036082682018556,0.0082656339343959,0.0049291744258349,0.0059367183084539,0.0040546901467533,0.0020687203373997
13,0.739828415,0.035191576,0.009274535,0.041241993,21.58,1.133,0.003627483,0.016649697,0.019638005,0.012969727,0.002830295,0.012857859,0.005040519,0.012530515,0.010112786,0.016770575,0.023874096,0.024089794,0.010307006,0.007733655,0.010697338,0.008139225,0.013269372,0.01275695,0.014710381,0.016755348,0.004194213,0.014843506,0.017558437,0.013874821,0.010644101,0.003073507,0.026777325,0.008262208,0.0118044080016429,0.0255570034195132,0.0265072990750484,0.0126653148766099,0.0037525678777487,0.0069102443507042,0.0148308677416604,0.0034216547412305
