"날짜","종가","시가","고가","저가","거래량","변동 %"
"2015- 01- 02","244.79","243.96","245.32","243.25","54.15K","0.30%"
"2015- 01- 05","244.26","243.83","244.56","241.76","62.85K","-0.22%"
"2015- 01- 06","239.93","241.36","242.06","239.32","66.25K","-1.77%"
"2015- 01- 07","240.53","239.41","240.91","239.09","54.60K","0.25%"
"2015- 01- 08","243.94","242.28","244.13","241.68","64.02K","1.42%"
"2015- 01- 09","246.05","245.97","247.11","245.40","65.13K","0.86%"
"2015- 01- 12","245.70","245.16","246.27","245.05","64.52K","-0.14%"
"2015- 01- 13","246.29","244.98","246.64","244.47","59.91K","0.24%"
"2015- 01- 14","245.99","246.48","247.46","245.78","70.78K","-0.12%"
"2015- 01- 15","245.76","245.96","246.63","244.90","59.45K","-0.09%"
"2015- 01- 16","242.22","244.70","244.70","241.77","73.31K","-1.44%"
"2015- 01- 19","244.78","244.06","245.82","243.69","63.22K","1.06%"
"2015- 01- 20","247.24","245.52","247.39","245.50","55.12K","1.00%"
"2015- 01- 21","248.59","247.01","248.59","246.63","64.99K","0.55%"
"2015- 01- 22","248.47","249.22","249.98","248.01","76.61K","-0.05%"
"2015- 01- 23","250.32","251.76","251.80","249.55","78.37K","0.74%"
"2015- 01- 26","250.14","248.92","250.21","248.42","62.74K","-0.07%"
"2015- 01- 27","252.20","250.76","252.20","250.56","85.05K","0.82%"
"2015- 01- 28","252.21","250.82","252.50","250.12","85.19K","0.00%"
"2015- 01- 29","250.46","250.45","251.84","249.78","83.37K","-0.69%"
"2015- 01- 30","249.88","251.82","251.84","249.88","93.07K","-0.23%"
"2015- 02- 02","250.61","249.83","251.20","249.49","76.49K","0.29%"
"2015- 02- 03","250.38","251.63","251.66","249.22","79.09K","-0.09%"
"2015- 02- 04","251.60","251.98","253.07","251.60","78.23K","0.49%"
"2015- 02- 05","249.78","251.33","251.42","248.90","69.97K","-0.72%"
"2015- 02- 06","250.16","249.89","250.16","248.68","76.08K","0.15%"
"2015- 02- 09","249.26","249.05","249.94","248.58","64.83K","-0.36%"
"2015- 02- 10","247.66","249.62","250.42","247.66","62.81K","-0.64%"
"2015- 02- 11","248.40","248.49","249.01","247.77","64.78K","0.30%"
"2015- 02- 12","247.71","248.48","248.50","246.32","66.38K","-0.28%"
"2015- 02- 13","249.76","248.65","249.76","248.26","63.13K","0.83%"
"2015- 02- 16","249.81","250.17","250.55","249.54","52.10K","0.02%"
"2015- 02- 17","250.37","249.36","250.67","248.92","55.68K","0.22%"
"2015- 02- 23","250.80","252.13","252.51","250.56","58.97K","0.17%"
"2015- 02- 24","251.28","251.83","252.11","251.09","61.66K","0.19%"
"2015- 02- 25","252.96","252.72","253.22","252.01","79.62K","0.67%"
"2015- 02- 26","252.93","253.03","253.13","251.89","79.38K","-0.01%"
"2015- 02- 27","251.46","252.73","252.83","251.20","80.29K","-0.58%"
"2015- 03- 02","253.65","253.13","253.74","252.39","92.83K","0.87%"
"2015- 03- 03","254.50","254.55","254.97","253.89","87.50K","0.34%"
"2015- 03- 04","254.31","254.56","254.72","253.89","72.31K","-0.07%"
"2015- 03- 05","254.16","254.02","254.86","253.64","58.42K","-0.06%"
"2015- 03- 06","255.96","254.74","256.15","254.73","83.13K","0.71%"
"2015- 03- 09","252.77","254.81","254.94","252.69","65.40K","-1.25%"
"2015- 03- 10","251.75","253.76","254.16","251.75","76.30K","-0.40%"
"2015- 03- 11","252.16","250.09","252.66","250.09","79.67K","0.16%"
"2015- 03- 12","250.28","251.67","253.23","250.28","98.65K","-0.75%"
"2015- 03- 13","252.18","252.56","253.31","251.98","66.61K","0.76%"
"2015- 03- 16","252.44","252.13","253.20","251.56","72.87K","0.10%"
"2015- 03- 17","258.18","253.77","258.19","253.70","85.12K","2.27%"
"2015- 03- 18","258.22","258.45","259.19","257.87","85.37K","0.02%"
"2015- 03- 19","258.99","260.68","260.68","258.37","120.60K","0.30%"
"2015- 03- 20","258.70","258.92","259.32","257.42","81.30K","-0.11%"
"2015- 03- 23","258.95","259.48","259.88","258.16","84.49K","0.10%"
"2015- 03- 24","259.16","258.58","259.34","257.56","71.44K","0.08%"
"2015- 03- 25","258.94","259.35","259.84","258.38","84.76K","-0.08%"
"2015- 03- 26","255.99","256.69","258.08","255.81","78.16K","-1.14%"
"2015- 03- 27","255.54","256.41","256.73","255.10","72.67K","-0.18%"
"2015- 03- 30","256.10","256.45","256.57","254.91","68.98K","0.22%"
"2015- 03- 31","257.28","257.66","258.43","256.16","83.46K","0.46%"
"2015- 04- 01","254.97","256.44","256.75","254.74","83.09K","-0.90%"
"2015- 04- 02","254.99","256.07","256.37","254.70","76.75K","0.01%"
"2015- 04- 03","256.75","255.77","256.92","255.05","67.53K","0.69%"
"2015- 04- 06","256.93","257.20","258.43","256.34","79.39K","0.07%"
"2015- 04- 07","256.88","258.65","258.68","256.61","74.99K","-0.02%"
"2015- 04- 08","258.51","257.09","258.81","256.83","99.68K","0.63%"
"2015- 04- 09","258.33","258.44","259.21","257.61","85.94K","-0.07%"
"2015- 04- 10","261.95","259.35","262.20","259.20","104.47K","1.40%"
"2015- 04- 13","263.48","262.62","263.75","262.11","123.22K","0.58%"
"2015- 04- 14","265.57","263.81","265.60","263.20","151.05K","0.79%"
"2015- 04- 15","265.77","265.76","266.41","264.93","111.94K","0.08%"
"2015- 04- 16","268.45","267.67","268.45","266.42","113.93K","1.01%"
"2015- 04- 17","268.28","268.73","268.81","267.42","90.56K","-0.06%"
"2015- 04- 20","268.55","266.14","268.59","266.14","100.12K","0.10%"
"2015- 04- 21","268.17","269.03","269.13","267.56","102.40K","-0.14%"
