날짜(월),국면
2015-01,상승
2015-02,무추세
2015-03,상승
2015-04,상승
2015-05,무추세
2015-06,하락
2015-07,하락
2015-08,하락
2015-09,상승
2015-10,상승
2015-11,무추세
2015-12,무추세
2016-01,하락
2016-02,상승
2016-03,상승
2016-04,상승
2016-05,하락
2016-06,무추세
2016-07,상승
2016-08,상승
2016-09,무추세
2016-10,무추세
2016-11,무추세
2016-12,상승
2017-01,상승
2017-02,상승
2017-03,상승
2017-04,무추세
2017-05,상승
2017-06,상승
2017-07,상승
2017-08,무추세
2017-09,상승
2017-10,상승
2017-11,하락
2017-12,무추세
2018-01,상승
2018-02,무추세
2018-03,무추세
2018-04,상승
2018-05,무추세
2018-06,하락
2018-07,상승
2018-08,무추세
2018-09,무추세
2018-10,하락
2018-11,무추세
2018-12,하락
2019-01,상승
2019-02,상승
2019-03,무추세
2019-04,무추세
2019-05,하락
2019-06,상승
2019-07,무추세
2019-08,무추세
2019-09,상승
2019-10,상승
2019-11,무추세
2019-12,상승
2020-01,무추세
2020-02,무추세
2020-03,하락
2020-04,상승
2020-05,상승
2020-06,무추세
2020-07,상승
2020-08,무추세
2020-09,무추세
2020-10,하락
2020-11,상승
2020-12,상승
2021-01,무추세
2021-02,무추세
2021-03,무추세
2021-04,무추세
2021-05,무추세
2021-06,상승
2021-07,하락
2021-08,하락
2021-09,하락
2021-10,상승
2021-11,무추세
2021-12,상승
2022-01,하락
2022-02,무추세
2022-03,상승
2022-04,하락
2022-05,무추세
2022-06,하락
2022-07,상승
2022-08,무추세
2022-09,하락
2022-10,상승
2022-11,상승
2022-12,하락
2023-01,상승
2023-02,하락
2023-03,무추세
2023-04,무추세
2023-05,상승
2023-06,하락
2023-07,상승
2023-08,하락
2023-09,하락
2023-10,하락
2023-11,상승
2023-12,상승
2024-01,하락
2024-02,상승
2024-03,상승
2024-04,하락
2024-05,무추세
2024-06,상승
