,count_0,mean_0,std_0,min_0,25%_0,50%_0,75%_0,max_0,count_1,mean_1,std_1,min_1,25%_1,50%_1,75%_1,max_1
1~5일 수익률 표준편차,237.0,0.22894577805485236,0.20465847968638962,0.014109855,0.069413493,0.158640458,0.306137007,0.760569736,295.0,0.24446573038983052,0.22004283239890224,0.014132127,0.085305514,0.150557122,0.338578769,0.780604917
6~10일 수익률 표준편차,237.0,0.050035761780590715,0.03173752792463419,0.006604771,0.027493945,0.04032162,0.0623789629999999,0.184206886,295.0,0.05120004433559322,0.03476141031435534,0.006075936,0.0275293595,0.041626878,0.0613408365,0.18444237
11~15일 수익률 표준편차,237.0,0.04355552114345991,0.03041504036717365,0.005138871,0.0257968599999999,0.035546491,0.048204792,0.179438229,295.0,0.041027911667796596,0.028682422168707027,0.004744154,0.022252268999999998,0.033583225,0.048104393,0.17840854
16~20일 수익률 표준편차,237.0,0.04581776012658227,0.035736682826851135,0.006337744,0.027501364,0.03936327,0.051969145,0.375108068,295.0,0.04150649688813559,0.03189926190292601,0.002483345,0.021567069,0.03283996,0.048272306,0.169892275
VIXCLS,237.0,19.070464135021094,8.012890528028844,11.43,14.02,17.25,21.63,82.69,295.0,18.89440677966102,6.81628508932846,9.51,12.6,17.91,23.325,40.28
시장금리국고채3년,237.0,1.688801687763713,0.6697099728940502,0.796,1.327,1.619,1.8,3.878,295.0,1.9694576271186441,0.8677598793632058,0.877,1.3885,1.764,2.194,4.548
WTI유(1~5),237.0,0.019394375541116456,0.01678287152214473,0.0023080592547899,0.0101627316425929,0.01720773824324,0.0233371059033475,0.1796088589724907,295.0,0.014788774787400639,0.009389287379710082,0.0016685069370995,0.00849148272658145,0.0125405647006364,0.0177050349888659,0.0620309009799401
WTI유(6~10),237.0,0.02112340086084672,0.018249382132827816,0.0006282350613755,0.0113010294939852,0.017591411137063,0.0249050833048922,0.1796949969027023,295.0,0.016884113612925997,0.010057596487394608,0.0029476633652735,0.010399806200057201,0.0148774928295342,0.020541905764688548,0.0638818570610075
WTI유(11~15),237.0,0.023361368085324193,0.019204547220560576,0.0037210258484301,0.0131912542260928,0.0209269379729272,0.0267453839444629,0.1796088589724907,295.0,0.017847695802296448,0.012332916498380562,0.0023206114583853,0.0102343580651037,0.0146672305332952,0.021700101121415252,0.0679313564118467
WTI유(16~20),237.0,0.02044544312247301,0.019200633024991434,0.0023407663190813,0.0103042387003282,0.0173309046134721,0.0236531707611389,0.1763055990751562,295.0,0.015948735155876616,0.010624366539419998,0.001973599646567,0.00942544959914875,0.0129546858733231,0.019486895808973198,0.0683939268022419
금(1~5),237.0,0.006003586414270141,0.004174692259279264,0.0001705324153747,0.00324324190062,0.0050126847370175,0.0073794486516385,0.0270242930005242,295.0,0.005668847239315589,0.0033367578858301524,0.0002955039450092,0.0033312168015355503,0.0047225959268738,0.00766533750683595,0.0238087368458737
금(6~10),237.0,0.0070079118033803435,0.004380971797678174,0.0005854915957896,0.0040673537296775,0.0057105886742824,0.0089587867969506,0.0340655955065422,295.0,0.006478944301058646,0.0038815797786694102,0.0005293085106511,0.00355756655329975,0.0055663194347169,0.00865805408686755,0.0279219384021343
금(11~15),237.0,0.0072756425102082885,0.004840060599597824,0.0007332648899825,0.0040673537296775,0.0057075611534354,0.0089587867969506,0.0372153023989817,295.0,0.007043883027118001,0.004162362129497552,0.0006937339501229,0.00409006543749965,0.0058323290804971,0.0092500884449416,0.025304908907944
금(16~20),237.0,0.006568020487162442,0.004431356996189074,0.0005625072571382,0.0038426132839251,0.0055680138573459,0.0085193368289866,0.0340655955065422,295.0,0.006029639761724286,0.0034465067557349614,0.0002955039450092,0.0033612698489733,0.0051129501528668,0.0082608358552002,0.0198051642746509
구리_미국(1~5),237.0,0.008868155509366158,0.005143249163834445,0.001108833344877,0.0051802280507817,0.0076765099594726,0.0114356697802616,0.033797387389388,295.0,0.009893003167160942,0.0055752017712715676,0.0011710881435879,0.00563682102529235,0.0088030068505961,0.01318644203790815,0.0380402125317105
구리_미국(6~10),237.0,0.010506397124614259,0.006128873368603394,0.0011609613896385,0.0064212418573318,0.0089543639663374,0.01321815209635,0.0346040445881348,295.0,0.010906117991279572,0.006056909359776385,0.0013591848198051,0.00650108480884125,0.0098319447930583,0.0140704772963294,0.0380402125317105
구리_미국(11~15),237.0,0.011497267037932817,0.00610443149743577,0.0013543196901792,0.0071642341724973,0.0110153913900242,0.01417193126706,0.0345059694830435,295.0,0.011145182878184402,0.006195356757234516,0.0006990357165012,0.00690160353623825,0.0099489584895183,0.01341203134846405,0.0375426894497015
구리_미국(16~20),237.0,0.009697244213448926,0.005405428899806587,0.0009253236313899,0.0056339276598067,0.0088181829434597,0.0123244904004217,0.0345029539047558,295.0,0.010338209596211637,0.005781945834663168,0.0015241941554899,0.00647654922291875,0.0091779298928559,0.013061724913989,0.0380402125317105
미국_커피(1~5),237.0,0.015938927167478134,0.007496992117065587,0.0014493461196272,0.0105278787442121,0.0145908896278836,0.0197588487284639,0.0402592082040712,295.0,0.014105897953417152,0.007435241273487572,0.0021132947921747,0.008553897322035351,0.012961441760454,0.01826038302694275,0.0521755645971141
미국_커피(6~10),237.0,0.015736150917674736,0.007451526048780719,0.0012825458545241,0.0105446196379109,0.0141600966695815,0.0194594452164946,0.0402609782509331,295.0,0.014609611292177454,0.008152389371692319,0.0004521961997146,0.00893422189030545,0.0131365325720777,0.0184317345197871,0.060593934249822
미국_커피(11~15),237.0,0.017199057464006316,0.008450911745583833,0.0021223528475957,0.0113495174340369,0.0161564396954746,0.0208189858543983,0.0523963302936657,295.0,0.01549498273931626,0.00806113787734215,0.0019713459307192,0.00941844800380825,0.014143717298826,0.020985427725433797,0.0499166010288682
미국_커피(16~20),237.0,0.015404856415517162,0.00753048713909332,0.0010096586391115,0.0108781351364953,0.0145386307210115,0.0185336467899072,0.0451580886592383,295.0,0.014218103691887479,0.0071504525329106105,0.0020261812390646,0.0089686639696639,0.0128215188933353,0.0194526847945421,0.0426030315934389
돈육(1~5),237.0,0.015498443447044458,0.014325319619284045,0.0009974369030916,0.0068145776902411,0.0120350033089781,0.0174344776579679,0.0844193393268703,295.0,0.013803656094725336,0.012460100996690787,0.001355013160166,0.0071341247653268006,0.0115537449386378,0.015733412353600748,0.0940157721135645
돈육(6~10),237.0,0.01569465782311242,0.013861191012429452,0.0008559829711832,0.0070606197387312,0.0121174678572785,0.0187819284214427,0.0816735258755734,295.0,0.01492425238367031,0.013925960126364994,0.0016232580795975,0.00642940089762515,0.0119294116745604,0.0181434290140862,0.094829159185438
돈육(11~15),237.0,0.01747342010148059,0.01518027902037932,0.0009974369030916,0.0063436694847786,0.0140548201956217,0.0224236758213139,0.0792539451883849,295.0,0.016086251381410913,0.01574011455630322,0.0017175639659232,0.0074430943000399,0.0116542210840959,0.018106122916812198,0.0925156683439354
돈육(16~20),237.0,0.01917552533479386,0.01723625020977009,0.000323799476939,0.0080685790131494,0.0143881502445689,0.0228764618661931,0.0844193393268703,295.0,0.016420912820186997,0.016781571019158864,0.0006748402583383,0.0072366980932205005,0.0124446500389937,0.0178173265489213,0.1300483727805833
