,count_0,mean_0,std_0,min_0,25%_0,50%_0,75%_0,max_0,count_1,mean_1,std_1,min_1,25%_1,50%_1,75%_1,max_1
1~5일 수익률 표준편차,391.0,0.23202713837595906,0.2063180789963046,0.002236068,0.07317674099999999,0.158394296,0.317364085,0.760569736,142.0,0.25110679455633805,0.23167350497578038,0.014132127,0.08385948875,0.14912744500000003,0.34310347625,0.780604917
6~10일 수익률 표준편차,391.0,0.05172121183120205,0.03449983980659335,0.001369306,0.02761191949999995,0.041274108,0.0633473875,0.18444237,142.0,0.047470873950704214,0.030306082203344003,0.006075936,0.02648208875,0.0395016355,0.05923717199999992,0.163243692
11~15일 수익률 표준편차,391.0,0.043507211557544744,0.02994397751787271,0.004744154,0.02517609999999995,0.03599975,0.0488116465,0.179438229,142.0,0.038167590605633794,0.02789626365565387,0.006067125,0.021314444249999998,0.0306433495,0.044174839,0.17840854
16~20일 수익률 표준편차,391.0,0.046317535907928385,0.03526311224584252,0.002483345,0.026411465000000002,0.038871043,0.05231548499999995,0.375108068,142.0,0.0351817451056338,0.027519071294108997,0.005477226,0.0191027005,0.026765406999999998,0.03812419325,0.159238956
stock_code,391.0,249539.10485933503,128912.90448411285,2690.0,178550.0,241840.0,316025.0,900300.0,142.0,277410.5633802817,118641.23361872957,3380.0,229282.5,274840.0,369717.5,900310.0
VIXCLS,391.0,19.28593350383632,7.638979532175933,10.36,13.68,17.61,22.595,82.69,142.0,18.12823943661972,6.482402726256992,9.51,11.3225,17.58,22.502499999999998,33.46
시장금리국고채3년,391.0,1.7925370843989772,0.855791079843188,0.796,1.268,1.658,1.895,4.548,142.0,1.9870211267605637,0.5835722404588676,1.095,1.6317499999999998,1.9095,2.222,3.745
WTI유(-1~-5),391.0,0.01775256782352941,0.011722542648628636,0.001668507,0.010376298,0.015576646,0.0216351885,0.126949297,142.0,0.015179852471830988,0.010433662643302102,0.0019736,0.008848886,0.012389486000000002,0.01762816175,0.064136778
WTI유(-6~-10),391.0,0.01926372879028133,0.011663807462262695,0.002903924,0.011863788,0.017365644,0.0251495895,0.130144546,142.0,0.018098380218309857,0.012371727096807623,0.00248643,0.010016349,0.0150160085,0.021785360750000003,0.067931356
WTI유(-11~-15),391.0,0.01816611137084399,0.010697402624291894,0.001344644,0.011075603,0.016387881,0.023694386,0.081441117,142.0,0.01417778607746479,0.009009773742487933,0.003271257,0.00850134,0.0120258385,0.01707252725,0.063737015
WTI유(-16~-20),391.0,0.017107894158567775,0.009356250785382523,0.00071738,0.0106013205,0.015594113,0.021990180999999998,0.076591473,142.0,0.014450956767605633,0.009758115262195617,0.002211044,0.0082315575,0.0118290475,0.016434754,0.064777105
