,count_0,mean_0,std_0,min_0,25%_0,50%_0,75%_0,max_0,count_1,mean_1,std_1,min_1,25%_1,50%_1,75%_1,max_1
1~5일 수익률 표준편차,248.0,0.2513448139798387,0.2101861258056054,0.0264515219999999,0.09047492025000001,0.16754811149999999,0.34082580675,0.760569736,284.0,0.22550713379225354,0.21557121571655818,0.014109855,0.068466875,0.14326497,0.3019662465,0.780604917
6~10일 수익률 표준편차,248.0,0.05342861926612903,0.034691396268113205,0.006604771,0.028615085000000002,0.043819538000000005,0.06413831775,0.184206886,284.0,0.048282362827464786,0.03214265819275512,0.006075936,0.026710582,0.039163637,0.0599529875,0.18444237
11~15일 수익률 표준편차,248.0,0.044527911548387096,0.030693802576544905,0.0066245749999999,0.026436144749999925,0.0360801695,0.048641542,0.179438229,284.0,0.04008088165140844,0.028240907513899346,0.004744154,0.02190610475,0.0334035575,0.047306626000000004,0.17840854
16~20일 수익률 표준편차,248.0,0.04816396685887096,0.03656406297706278,0.00494803,0.0279280615,0.039754484,0.0531829785,0.375108068,284.0,0.03929071109507042,0.03044769699888603,0.002483345,0.02073380925,0.032043678000000006,0.04553036975,0.173648884
VIXCLS,248.0,21.942580645161293,8.264543100833512,10.81,16.81,21.325,25.7525,82.69,284.0,16.379542253521127,5.2662749390048615,9.51,12.4975,15.65,18.78,40.74
시장금리국고채3년,248.0,1.9389556451612906,1.0729359971103256,0.796,1.00325,1.6644999999999999,3.08825,4.548,284.0,1.7618838028169015,0.41648466248232235,1.095,1.45,1.732,2.04275,3.626
WTI유(-1~-5),248.0,0.01893044445967742,0.013251616798226474,0.001668507,0.010915557499999999,0.016229194500000002,0.022778238,0.126949297,284.0,0.015430966749999999,0.009328978814589838,0.0019736,0.00927011,0.013058518000000002,0.0192065815,0.064136778
WTI유(-6~-10),248.0,0.02036428766532258,0.012786489633131611,0.002903924,0.012228144750000001,0.017766055,0.02627193675,0.130144546,284.0,0.017702173873239437,0.01086862210755955,0.00248643,0.010446424,0.015911456999999997,0.022058199,0.081077628
WTI유(-11~-15),248.0,0.018374579124999995,0.011618032151759161,0.001344644,0.01117977375,0.016363192,0.02323171825,0.081441117,284.0,0.015994224242957742,0.009140121085578195,0.002426031,0.0092866565,0.0139281565,0.02058768775,0.063737015
WTI유(-16~-20),248.0,0.017616604129032258,0.01064866976671543,0.00071738,0.01088546,0.0155102875,0.0215211465,0.076591473,284.0,0.015280973197183098,0.008260625507344781,0.002211044,0.00903396,0.0136592955,0.0195054515,0.059815622
금(-1~-5),248.0,0.006639930935483871,0.0043440415259977695,0.001044475,0.00362738975,0.005790239500000001,0.008651404250000001,0.029227757,284.0,0.005773620316901409,0.003252352815955135,0.000637648,0.003626415,0.0051444375,0.007115085,0.019919964
금(-6~-10),248.0,0.006987080189516129,0.003839111422297154,0.000885196,0.004387354249999999,0.006083447,0.008673288,0.024568064,284.0,0.006486246443661972,0.0036764347846316233,0.000637648,0.00380031075,0.0055631615,0.008587397,0.02152962
