시점,더미_보정
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,1
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,1
2017-03,1
2017-04,1
2017-05,1
2017-06,1
2017-07,1
2017-08,1
2017-09,1
2017-10,1
2017-11,1
2017-12,1
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,1
2019-11,1
2019-12,1
2020-01,1
2020-02,1
2020-03,1
2020-04,1
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,1
2021-05,1
2021-06,1
2021-07,1
2021-08,1
2021-09,1
2021-10,1
2021-11,1
2021-12,1
2022-01,1
2022-02,1
2022-03,1
2022-04,1
2022-05,0
2022-06,0
2022-07,0
2022-08,0
2022-09,0
2022-10,0
2022-11,0
2022-12,0
2023-01,0
2023-02,0
2023-03,0
2023-04,0
2023-05,0
2023-06,0
