회사명,공모가 (원),회계년도,종가(원),수익률,일자순번,기간구간,수익률_표준편차
AJ네트웍스,34300,2015-08-21,35500,0.035,1,1~5일,0.089380356
AJ네트웍스,34300,2015-08-24,32400,-0.0873,2,1~5일,0.089380356
AJ네트웍스,34300,2015-08-25,31100,-0.0401,3,1~5일,0.089380356
AJ네트웍스,34300,2015-08-26,35450,0.1399,4,1~5일,0.089380356
AJ네트웍스,34300,2015-08-27,37850,0.0677,5,1~5일,0.089380356
AJ네트웍스,34300,2015-08-28,35700,-0.0568,6,6~10일,0.064986022
AJ네트웍스,34300,2015-08-31,33500,-0.0616,7,6~10일,0.064986022
AJ네트웍스,34300,2015-09-01,33250,-0.0075,8,6~10일,0.064986022
AJ네트웍스,34300,2015-09-02,36100,0.0857,9,6~10일,0.064986022
AJ네트웍스,34300,2015-09-03,37900,0.0499,10,6~10일,0.064986022
AJ네트웍스,34300,2015-09-04,36600,-0.0343,11,11~15일,0.029925775
AJ네트웍스,34300,2015-09-07,36450,-0.0041,12,11~15일,0.029925775
AJ네트웍스,34300,2015-09-08,34800,-0.0453,13,11~15일,0.029925775
AJ네트웍스,34300,2015-09-09,35800,0.0287,14,11~15일,0.029925775
AJ네트웍스,34300,2015-09-10,34650,-0.0321,15,11~15일,0.029925775
AJ네트웍스,34300,2015-09-11,35350,0.0202,16,16~20일,0.042214038
AJ네트웍스,34300,2015-09-14,34450,-0.0255,17,16~20일,0.042214038
AJ네트웍스,34300,2015-09-15,37600,0.0914,18,16~20일,0.042214038
AJ네트웍스,34300,2015-09-16,38150,0.0146,19,16~20일,0.042214038
AJ네트웍스,34300,2015-09-17,38850,0.0183,20,16~20일,0.042214038
AP위성통신,9700,2016-03-04,10750,0.1082,1,1~5일,0.055183304
AP위성통신,9700,2016-03-07,10750,0.0,2,1~5일,0.055183304
AP위성통신,9700,2016-03-08,10300,-0.0419,3,1~5일,0.055183304
AP위성통신,9700,2016-03-09,10450,0.0146,4,1~5일,0.055183304
AP위성통신,9700,2016-03-10,10800,0.0335,5,1~5일,0.055183304
AP위성통신,9700,2016-03-11,11050,0.0231,6,6~10일,0.027243862
AP위성통신,9700,2016-03-14,10750,-0.0271,7,6~10일,0.027243862
AP위성통신,9700,2016-03-15,10300,-0.0419,8,6~10일,0.027243862
AP위성통신,9700,2016-03-16,10400,0.0097,9,6~10일,0.027243862
AP위성통신,9700,2016-03-17,10150,-0.024,10,6~10일,0.027243862
AP위성통신,9700,2016-03-18,10200,0.0049,11,11~15일,0.010926939
AP위성통신,9700,2016-03-21,10150,-0.0049,12,11~15일,0.010926939
AP위성통신,9700,2016-03-22,9970,-0.0177,13,11~15일,0.010926939
AP위성통신,9700,2016-03-23,9950,-0.002,14,11~15일,0.010926939
AP위성통신,9700,2016-03-24,9740,-0.0211,15,11~15일,0.010926939
AP위성통신,9700,2016-03-25,9610,-0.0133,16,16~20일,0.014312477
AP위성통신,9700,2016-03-28,9520,-0.0094,17,16~20일,0.014312477
AP위성통신,9700,2016-03-29,9440,-0.0084,18,16~20일,0.014312477
AP위성통신,9700,2016-03-30,9500,0.0064,19,16~20일,0.014312477
AP위성통신,9700,2016-03-31,9700,0.0211,20,16~20일,0.014312477
DSC인베스트먼트,1700,2016-12-19,3560,1.0941,1,1~5일,0.494997682
DSC인베스트먼트,1700,2016-12-20,3715,0.0435,2,1~5일,0.494997682
DSC인베스트먼트,1700,2016-12-21,3340,-0.1009,3,1~5일,0.494997682
DSC인베스트먼트,1700,2016-12-22,4070,0.2186,4,1~5일,0.494997682
DSC인베스트먼트,1700,2016-12-23,3790,-0.0688,5,1~5일,0.494997682
DSC인베스트먼트,1700,2016-12-26,3615,-0.0462,6,6~10일,0.05474742
DSC인베스트먼트,1700,2016-12-27,3800,0.0512,7,6~10일,0.05474742
DSC인베스트먼트,1700,2016-12-28,3945,0.0382,8,6~10일,0.05474742
DSC인베스트먼트,1700,2016-12-29,3760,-0.0469,9,6~10일,0.05474742
DSC인베스트먼트,1700,2017-01-02,3505,-0.0678,10,6~10일,0.05474742
DSC인베스트먼트,1700,2017-01-03,3510,0.0014,11,11~15일,0.020483213
DSC인베스트먼트,1700,2017-01-04,3400,-0.0313,12,11~15일,0.020483213
DSC인베스트먼트,1700,2017-01-05,3305,-0.0279,13,11~15일,0.020483213
DSC인베스트먼트,1700,2017-01-06,3300,-0.0015,14,11~15일,0.020483213
DSC인베스트먼트,1700,2017-01-09,3355,0.0167,15,11~15일,0.020483213
DSC인베스트먼트,1700,2017-01-10,3450,0.0283,16,16~20일,0.047154713
DSC인베스트먼트,1700,2017-01-11,3770,0.0928,17,16~20일,0.047154713
DSC인베스트먼트,1700,2017-01-12,3645,-0.0332,18,16~20일,0.047154713
DSC인베스트먼트,1700,2017-01-13,3630,-0.0041,19,16~20일,0.047154713
DSC인베스트먼트,1700,2017-01-16,3750,0.0331,20,16~20일,0.047154713
DS단석,100000,2023-12-22,400000,3.0,1,1~5일,1.380941675
DS단석,100000,2023-12-26,335000,-0.1625,2,1~5일,1.380941675
DS단석,100000,2023-12-27,282000,-0.1582,3,1~5일,1.380941675
DS단석,100000,2023-12-28,289000,0.0248,4,1~5일,1.380941675
DS단석,100000,2024-01-02,279000,-0.0346,5,1~5일,1.380941675
DS단석,100000,2024-01-03,298500,0.0699,6,6~10일,0.057706672
DS단석,100000,2024-01-04,280500,-0.0603,7,6~10일,0.057706672
DS단석,100000,2024-01-05,261500,-0.0677,8,6~10일,0.057706672
DS단석,100000,2024-01-08,252000,-0.0363,9,6~10일,0.057706672
DS단석,100000,2024-01-09,255500,0.0139,10,6~10일,0.057706672
DS단석,100000,2024-01-10,263000,0.0294,11,11~15일,0.031170659
DS단석,100000,2024-01-11,251500,-0.0437,12,11~15일,0.031170659
DS단석,100000,2024-01-12,240500,-0.0437,13,11~15일,0.031170659
DS단석,100000,2024-01-15,231000,-0.0395,14,11~15일,0.031170659
DS단석,100000,2024-01-16,226500,-0.0195,15,11~15일,0.031170659
DS단석,100000,2024-01-17,211500,-0.0662,16,16~20일,0.107250128
DS단석,100000,2024-01-18,203000,-0.0402,17,16~20일,0.107250128
DS단석,100000,2024-01-19,237000,0.1675,18,16~20일,0.107250128
DS단석,100000,2024-01-22,210500,-0.1118,19,16~20일,0.107250128
DS단석,100000,2024-01-23,205500,-0.0238,20,16~20일,0.107250128
EDGC,6500,2018-06-26,11100,0.7077,1,1~5일,0.358087632
EDGC,6500,2018-06-27,9200,-0.1712,2,1~5일,0.358087632
EDGC,6500,2018-06-28,8050,-0.125,3,1~5일,0.358087632
EDGC,6500,2018-06-29,8150,0.0124,4,1~5일,0.358087632
EDGC,6500,2018-07-02,8020,-0.016,5,1~5일,0.358087632
EDGC,6500,2018-07-03,8450,0.0536,6,6~10일,0.053057167
EDGC,6500,2018-07-04,8270,-0.0213,7,6~10일,0.053057167
EDGC,6500,2018-07-05,7760,-0.0617,8,6~10일,0.053057167
EDGC,6500,2018-07-06,7170,-0.076,9,6~10일,0.053057167
EDGC,6500,2018-07-09,7250,0.0112,10,6~10일,0.053057167
EDGC,6500,2018-07-10,7300,0.0069,11,11~15일,0.021487601
EDGC,6500,2018-07-11,6980,-0.0438,12,11~15일,0.021487601
EDGC,6500,2018-07-12,7000,0.0029,13,11~15일,0.021487601
EDGC,6500,2018-07-13,6950,-0.0071,14,11~15일,0.021487601
EDGC,6500,2018-07-16,7000,0.0072,15,11~15일,0.021487601
EDGC,6500,2018-07-17,6660,-0.0486,16,16~20일,0.044339621
EDGC,6500,2018-07-18,6240,-0.0631,17,16~20일,0.044339621
EDGC,6500,2018-07-19,5920,-0.0513,18,16~20일,0.044339621
EDGC,6500,2018-07-20,6090,0.0287,19,16~20일,0.044339621
EDGC,6500,2018-07-23,5540,-0.0903,20,16~20일,0.044339621
GRT,5000,2016-10-25,6500,0.3,1,1~5일,0.207570222
GRT,5000,2016-10-26,7850,0.2077,2,1~5일,0.207570222
GRT,5000,2016-10-27,7220,-0.0803,3,1~5일,0.207570222
GRT,5000,2016-10-28,5760,-0.2022,4,1~5일,0.207570222
GRT,5000,2016-10-31,5650,-0.0191,5,1~5일,0.207570222
GRT,5000,2016-11-01,5190,-0.0814,6,6~10일,0.075021577
GRT,5000,2016-11-02,4710,-0.0925,7,6~10일,0.075021577
GRT,5000,2016-11-03,5140,0.0913,8,6~10일,0.075021577
GRT,5000,2016-11-04,4815,-0.0632,9,6~10일,0.075021577
GRT,5000,2016-11-07,4735,-0.0166,10,6~10일,0.075021577
GRT,5000,2016-11-08,5310,0.1214,11,11~15일,0.079149214
GRT,5000,2016-11-09,4800,-0.096,12,11~15일,0.079149214
GRT,5000,2016-11-10,5050,0.0521,13,11~15일,0.079149214
GRT,5000,2016-11-11,5070,0.004,14,11~15일,0.079149214
GRT,5000,2016-11-14,5140,0.0138,15,11~15일,0.079149214
GRT,5000,2016-11-15,4960,-0.035,16,16~20일,0.022591547
GRT,5000,2016-11-16,4985,0.005,17,16~20일,0.022591547
GRT,5000,2016-11-17,4980,-0.001,18,16~20일,0.022591547
GRT,5000,2016-11-18,4760,-0.0442,19,16~20일,0.022591547
GRT,5000,2016-11-21,4755,-0.0011,20,16~20일,0.022591547
HB인베스트먼트,3400,2024-01-25,6700,0.9706,1,1~5일,0.494987962
HB인베스트먼트,3400,2024-01-26,5530,-0.1746,2,1~5일,0.494987962
HB인베스트먼트,3400,2024-01-29,4200,-0.2405,3,1~5일,0.494987962
HB인베스트먼트,3400,2024-01-30,4155,-0.0107,4,1~5일,0.494987962
HB인베스트먼트,3400,2024-01-31,4005,-0.0361,5,1~5일,0.494987962
HB인베스트먼트,3400,2024-02-01,3925,-0.02,6,6~10일,0.018443698
HB인베스트먼트,3400,2024-02-02,3940,0.0038,7,6~10일,0.018443698
HB인베스트먼트,3400,2024-02-05,4000,0.0152,8,6~10일,0.018443698
HB인베스트먼트,3400,2024-02-06,3900,-0.025,9,6~10일,0.018443698
HB인베스트먼트,3400,2024-02-07,3945,0.0115,10,6~10일,0.018443698
HB인베스트먼트,3400,2024-02-08,3835,-0.0279,11,11~15일,0.021766373
HB인베스트먼트,3400,2024-02-13,3650,-0.0482,12,11~15일,0.021766373
HB인베스트먼트,3400,2024-02-14,3615,-0.0096,13,11~15일,0.021766373
HB인베스트먼트,3400,2024-02-15,3650,0.0097,14,11~15일,0.021766373
HB인베스트먼트,3400,2024-02-16,3610,-0.011,15,11~15일,0.021766373
HB인베스트먼트,3400,2024-02-19,3570,-0.0111,16,16~20일,0.012371055
HB인베스트먼트,3400,2024-02-20,3550,-0.0056,17,16~20일,0.012371055
HB인베스트먼트,3400,2024-02-21,3505,-0.0127,18,16~20일,0.012371055
HB인베스트먼트,3400,2024-02-22,3455,-0.0143,19,16~20일,0.012371055
HB인베스트먼트,3400,2024-02-23,3325,-0.0376,20,16~20일,0.012371055
HD현대마린솔루션,83400,2024-05-08,163900,0.9652,1,1~5일,0.413967798
HD현대마린솔루션,83400,2024-05-09,152300,-0.0708,2,1~5일,0.413967798
HD현대마린솔루션,83400,2024-05-10,180600,0.1858,3,1~5일,0.413967798
HD현대마린솔루션,83400,2024-05-13,193400,0.0709,4,1~5일,0.413967798
HD현대마린솔루션,83400,2024-05-14,205500,0.0626,5,1~5일,0.413967798
HD현대마린솔루션,83400,2024-05-16,198600,-0.0336,6,6~10일,0.065226797
HD현대마린솔루션,83400,2024-05-17,196300,-0.0116,7,6~10일,0.065226797
HD현대마린솔루션,83400,2024-05-20,165000,-0.1594,8,6~10일,0.065226797
HD현대마린솔루션,83400,2024-05-21,166000,0.0061,9,6~10일,0.065226797
HD현대마린솔루션,83400,2024-05-22,160100,-0.0355,10,6~10일,0.065226797
HD현대마린솔루션,83400,2024-05-23,149700,-0.065,11,11~15일,0.030360781
HD현대마린솔루션,83400,2024-05-24,148500,-0.008,12,11~15일,0.030360781
HD현대마린솔루션,83400,2024-05-27,137000,-0.0774,13,11~15일,0.030360781
HD현대마린솔루션,83400,2024-05-28,134300,-0.0197,14,11~15일,0.030360781
HD현대마린솔루션,83400,2024-05-29,126200,-0.0603,15,11~15일,0.030360781
HD현대마린솔루션,83400,2024-05-30,130400,0.0333,16,16~20일,0.034937473
HD현대마린솔루션,83400,2024-05-31,131000,0.0046,17,16~20일,0.034937473
HD현대마린솔루션,83400,2024-06-03,132000,0.0076,18,16~20일,0.034937473
HD현대마린솔루션,83400,2024-06-04,143000,0.0833,19,16~20일,0.034937473
HD현대마린솔루션,83400,2024-06-05,142800,-0.0014,20,16~20일,0.034937473
HK이노엔,59000,2021-08-09,68500,0.161,1,1~5일,0.089290778
HK이노엔,59000,2021-08-10,67300,-0.0175,2,1~5일,0.089290778
HK이노엔,59000,2021-08-11,64600,-0.0401,3,1~5일,0.089290778
HK이노엔,59000,2021-08-12,69600,0.0774,4,1~5일,0.089290778
HK이노엔,59000,2021-08-13,66600,-0.0431,5,1~5일,0.089290778
HK이노엔,59000,2021-08-17,63000,-0.0541,6,6~10일,0.022640605
HK이노엔,59000,2021-08-18,61600,-0.0222,7,6~10일,0.022640605
HK이노엔,59000,2021-08-19,61800,0.0032,8,6~10일,0.022640605
HK이노엔,59000,2021-08-20,61700,-0.0016,9,6~10일,0.022640605
HK이노엔,59000,2021-08-23,60300,-0.0227,10,6~10일,0.022640605
HK이노엔,59000,2021-08-24,59100,-0.0199,11,11~15일,0.030603644
HK이노엔,59000,2021-08-25,59500,0.0068,12,11~15일,0.030603644
HK이노엔,59000,2021-08-26,62300,0.0471,13,11~15일,0.030603644
HK이노엔,59000,2021-08-27,60400,-0.0305,14,11~15일,0.030603644
HK이노엔,59000,2021-08-30,59600,-0.0132,15,11~15일,0.030603644
HK이노엔,59000,2021-08-31,60600,0.0168,16,16~20일,0.032308621
HK이노엔,59000,2021-09-01,61000,0.0066,17,16~20일,0.032308621
HK이노엔,59000,2021-09-02,65200,0.0689,18,16~20일,0.032308621
HK이노엔,59000,2021-09-03,65100,-0.0015,19,16~20일,0.032308621
HK이노엔,59000,2021-09-06,64100,-0.0154,20,16~20일,0.032308621
HPSP,25000,2022-07-15,43250,0.73,1,1~5일,0.287325552
HPSP,25000,2022-07-18,51500,0.1908,2,1~5일,0.287325552
HPSP,25000,2022-07-19,56000,0.0874,3,1~5일,0.287325552
HPSP,25000,2022-07-20,56500,0.0089,4,1~5일,0.287325552
HPSP,25000,2022-07-21,64000,0.1327,5,1~5일,0.287325552
HPSP,25000,2022-07-22,60200,-0.0594,6,6~10일,0.02307893
HPSP,25000,2022-07-25,60400,0.0033,7,6~10일,0.02307893
HPSP,25000,2022-07-26,58700,-0.0281,8,6~10일,0.02307893
HPSP,25000,2022-07-27,57900,-0.0136,9,6~10일,0.02307893
HPSP,25000,2022-07-28,56300,-0.0276,10,6~10일,0.02307893
HPSP,25000,2022-07-29,57300,0.0178,11,11~15일,0.030618344
HPSP,25000,2022-08-01,54900,-0.0419,12,11~15일,0.030618344
HPSP,25000,2022-08-02,53500,-0.0255,13,11~15일,0.030618344
HPSP,25000,2022-08-03,54700,0.0224,14,11~15일,0.030618344
HPSP,25000,2022-08-04,52700,-0.0366,15,11~15일,0.030618344
HPSP,25000,2022-08-05,55500,0.0531,16,16~20일,0.056473153
HPSP,25000,2022-08-08,61300,0.1045,17,16~20일,0.056473153
HPSP,25000,2022-08-09,63200,0.031,18,16~20일,0.056473153
