지수명,종가,대비,등락률,PER,PBR,배당수익률,거래일자
코스닥,553.73,10.76,1.98,40.52,1.72,0.68,2015-01-02
코스닥 150,916.03,21.59,2.41,,,,2015-01-02
코스닥 150 정보기술,781.82,32.4,4.32,,,,2015-01-02
코스닥 150 헬스케어,1921.37,27.22,1.44,,,,2015-01-02
코스닥 150 커뮤니케이션서비스,1598.41,66.44,4.34,,,,2015-01-02
코스닥 150 소재,669.55,11.65,1.77,,,,2015-01-02
코스닥 150 산업재,416.65,1.62,0.39,,,,2015-01-02
코스닥 150 필수소비재,1271.95,5.84,0.46,,,,2015-01-02
코스닥 150 자유소비재,1284.94,10.42,0.8,,,,2015-01-02
일반서비스,1827.85,27.4,1.52,33.4,1.97,0.87,2015-01-02
제조,1458.6,17.82,1.24,29.91,1.54,0.68,2015-01-02
건설,82.75,0.18,0.22,,0.95,0.86,2015-01-02
유통,416.62,1.74,0.42,120.97,1.97,0.79,2015-01-02
운송·창고,4251.99,60.21,1.44,9.38,0.54,0.75,2015-01-02
금융,684.44,4.91,0.72,24.69,1.34,0.59,2015-01-02
오락·문화,541.07,8.51,1.6,27.56,3.22,0.77,2015-01-02
음식료·담배,7505.2,12.61,0.17,16.63,1.28,0.86,2015-01-02
섬유·의류,165.67,5.3,3.3,,0.82,0.13,2015-01-02
코스닥,561.25,7.52,1.36,41.1,1.75,0.67,2015-01-05
코스닥 150,929.33,13.3,1.45,,,,2015-01-05
코스닥 150 정보기술,799.77,17.95,2.3,,,,2015-01-05
코스닥 150 헬스케어,1946.88,25.51,1.33,,,,2015-01-05
코스닥 150 커뮤니케이션서비스,1650.88,52.47,3.28,,,,2015-01-05
코스닥 150 소재,677.71,8.16,1.22,,,,2015-01-05
코스닥 150 산업재,415.69,0.96,0.23,,,,2015-01-05
코스닥 150 필수소비재,1267.5,4.45,0.35,,,,2015-01-05
코스닥 150 자유소비재,1285.41,0.47,0.04,,,,2015-01-05
일반서비스,1853.11,25.26,1.38,33.87,2.0,0.86,2015-01-05
제조,1467.74,9.14,0.63,30.12,1.55,0.67,2015-01-05
건설,82.65,0.1,0.12,,0.95,0.86,2015-01-05
유통,415.99,0.63,0.15,120.88,1.97,0.79,2015-01-05
운송·창고,4276.13,24.14,0.57,9.43,0.54,0.75,2015-01-05
금융,694.0,9.56,1.4,25.02,1.36,0.58,2015-01-05
오락·문화,563.36,22.29,4.12,28.7,3.35,0.74,2015-01-05
음식료·담배,7477.48,27.72,0.37,16.57,1.28,0.87,2015-01-05
섬유·의류,169.73,4.06,2.45,,0.84,0.13,2015-01-05
코스닥,558.9,2.35,0.42,40.91,1.74,0.68,2015-01-06
코스닥 150,925.2,4.13,0.44,,,,2015-01-06
코스닥 150 정보기술,801.81,2.04,0.26,,,,2015-01-06
코스닥 150 헬스케어,1932.22,14.66,0.75,,,,2015-01-06
코스닥 150 커뮤니케이션서비스,1627.42,23.46,1.42,,,,2015-01-06
코스닥 150 소재,680.65,2.94,0.43,,,,2015-01-06
코스닥 150 산업재,411.99,3.7,0.89,,,,2015-01-06
코스닥 150 필수소비재,1250.43,17.07,1.35,,,,2015-01-06
코스닥 150 자유소비재,1266.66,18.75,1.46,,,,2015-01-06
일반서비스,1841.16,11.95,0.64,33.65,1.98,0.87,2015-01-06
제조,1457.84,9.9,0.67,29.91,1.54,0.68,2015-01-06
건설,82.47,0.18,0.22,,0.95,0.86,2015-01-06
유통,416.05,0.06,0.01,120.9,1.97,0.79,2015-01-06
운송·창고,4272.19,3.94,0.09,9.42,0.54,0.75,2015-01-06
금융,696.08,2.08,0.3,25.11,1.37,0.58,2015-01-06
오락·문화,551.26,12.1,2.15,27.94,3.28,0.75,2015-01-06
음식료·담배,7328.45,149.03,1.99,16.24,1.25,0.89,2015-01-06
섬유·의류,170.8,1.07,0.63,,0.84,0.13,2015-01-06
코스닥,561.32,2.42,0.43,41.12,1.75,0.67,2015-01-07
코스닥 150,929.78,4.58,0.5,,,,2015-01-07
코스닥 150 정보기술,813.31,11.5,1.43,,,,2015-01-07
코스닥 150 헬스케어,1940.55,8.33,0.43,,,,2015-01-07
코스닥 150 커뮤니케이션서비스,1639.24,11.82,0.73,,,,2015-01-07
코스닥 150 소재,679.99,0.66,0.1,,,,2015-01-07
코스닥 150 산업재,409.3,2.69,0.65,,,,2015-01-07
코스닥 150 필수소비재,1242.03,8.4,0.67,,,,2015-01-07
코스닥 150 자유소비재,1255.2,11.46,0.9,,,,2015-01-07
일반서비스,1845.64,4.48,0.24,33.73,1.99,0.86,2015-01-07
제조,1460.09,2.25,0.15,29.95,1.54,0.68,2015-01-07
건설,82.01,0.46,0.56,,0.95,0.87,2015-01-07
유통,414.27,1.78,0.43,120.36,1.96,0.79,2015-01-07
운송·창고,4224.14,48.05,1.12,9.32,0.54,0.76,2015-01-07
금융,694.43,1.65,0.24,25.01,1.36,0.58,2015-01-07
오락·문화,548.34,2.92,0.53,27.79,3.27,0.76,2015-01-07
음식료·담배,7286.36,42.09,0.57,16.15,1.25,0.89,2015-01-07
섬유·의류,169.72,1.08,0.63,,0.84,0.13,2015-01-07
코스닥,566.43,5.11,0.91,41.47,1.76,0.67,2015-01-08
