지수명,종가,대비,등락률,PER,PBR,배당수익률,거래일자
코스피,1926.44,10.85,0.57,15.35,1.12,1.12,2015-01-02
코스피 200,244.79,0.74,0.3,13.21,1.1,1.17,2015-01-02
코스피 100,1848.55,5.56,0.3,12.46,1.09,1.17,2015-01-02
코스피 50,1587.6,6.13,0.39,10.76,1.08,1.21,2015-01-02
코스피 200 중소형주,904.81,3.06,0.34,,,,2015-01-02
코스피 200 초대형제외 지수,221.96,0.73,0.33,,,,2015-01-02
코스피200제외 코스피지수,2271.51,52.05,2.35,,,,2015-01-02
코스피 200 커뮤니케이션서비스,1424.03,15.53,1.1,,,,2015-01-02
코스피 200 건설,307.05,4.12,1.32,,1.02,1.18,2015-01-02
코스피 200 중공업,366.21,1.17,0.32,121.32,1.01,0.97,2015-01-02
코스피 200 철강/소재,911.01,19.9,2.23,12.98,0.7,1.92,2015-01-02
코스피 200 에너지/화학,792.94,4.33,0.54,21.27,0.76,2.01,2015-01-02
코스피 200 정보기술,1562.76,11.06,0.71,8.83,1.64,0.83,2015-01-02
코스피 200 금융,718.11,3.1,0.43,16.82,0.76,1.29,2015-01-02
코스피 200 생활소비재,1146.03,10.98,0.97,30.85,1.19,1.28,2015-01-02
코스피 200 경기소비재,1796.73,4.57,0.25,8.23,1.15,1.12,2015-01-02
코스피 200 산업재,792.52,1.67,0.21,,,,2015-01-02
코스피 200 헬스케어,1106.47,7.39,0.66,,,,2015-01-02
음식료·담배,4184.06,28.45,0.68,24.68,1.46,0.78,2015-01-02
코스피,1915.75,10.69,0.55,15.26,1.11,1.13,2015-01-05
코스피 200,244.26,0.53,0.22,13.17,1.1,1.17,2015-01-05
코스피 100,1843.45,5.1,0.28,12.42,1.09,1.17,2015-01-05
코스피 50,1583.53,4.07,0.26,10.72,1.07,1.22,2015-01-05
코스피 200 중소형주,910.61,5.8,0.64,,,,2015-01-05
코스피 200 초대형제외 지수,221.18,0.78,0.35,,,,2015-01-05
코스피200제외 코스피지수,2222.59,48.92,2.15,,,,2015-01-05
코스피 200 커뮤니케이션서비스,1459.26,35.23,2.47,,,,2015-01-05
코스피 200 건설,303.84,3.21,1.05,,1.02,1.19,2015-01-05
코스피 200 중공업,359.83,6.38,1.74,119.2,0.99,0.99,2015-01-05
코스피 200 철강/소재,907.0,4.01,0.44,12.88,0.69,1.94,2015-01-05
코스피 200 에너지/화학,781.86,11.08,1.4,20.98,0.75,2.04,2015-01-05
코스피 200 정보기술,1575.57,12.81,0.82,8.87,1.64,0.82,2015-01-05
코스피 200 금융,712.04,6.07,0.85,16.68,0.76,1.3,2015-01-05
코스피 200 생활소비재,1149.49,3.46,0.3,30.91,1.2,1.28,2015-01-05
코스피 200 경기소비재,1786.88,9.85,0.55,8.18,1.15,1.12,2015-01-05
