지수명,종가,대비,등락률,PER,PBR,배당수익률,거래일자
KRX TMI,1102.71,5.54,0.5,,,,2015-01-02
KRX 300,1095.32,4.9,0.45,,,,2015-01-02
KRX 중대형 TMI,1093.38,5.0,0.46,,,,2015-01-02
KRX 중형 TMI,1192.47,7.58,0.64,,,,2015-01-02
KRX 소형 TMI,1198.35,14.15,1.19,,,,2015-01-02
KRX 초소형 TMI,1418.76,17.34,1.24,,,,2015-01-02
KTOP 30,6079.83,71.77,1.19,,,,2015-01-02
KRX 100,3963.68,20.76,0.53,11.7,1.12,1.21,2015-01-02
KRX 자동차,1916.1,3.39,0.18,6.44,1.1,1.08,2015-01-02
KRX 반도체,1899.87,23.13,1.23,7.38,1.68,0.91,2015-01-02
KRX 헬스케어,1457.36,5.68,0.39,32.76,2.5,0.45,2015-01-02
KRX 은행,704.83,4.53,0.64,11.08,0.56,1.72,2015-01-02
KRX 에너지화학,1431.84,5.67,0.39,19.19,0.81,1.98,2015-01-02
KRX 철강,1898.93,21.95,1.17,11.87,0.71,1.97,2015-01-02
KRX 방송통신,911.71,14.86,1.66,19.42,1.31,2.3,2015-01-02
KRX 건설,568.65,15.11,2.59,,0.92,0.97,2015-01-02
KRX 증권,621.93,4.08,0.66,122.67,0.87,0.47,2015-01-02
KRX 기계장비,851.54,16.4,1.89,23.23,0.56,1.79,2015-01-02
KRX TMI,1102.57,0.14,0.01,,,,2015-01-05
KRX 300,1094.16,1.16,0.11,,,,2015-01-05
KRX 중대형 TMI,1092.51,0.87,0.08,,,,2015-01-05
KRX 중형 TMI,1197.14,4.67,0.39,,,,2015-01-05
KRX 소형 TMI,1210.67,12.32,1.03,,,,2015-01-05
KRX 초소형 TMI,1433.46,14.7,1.04,,,,2015-01-05
KTOP 30,6071.21,8.62,0.14,,,,2015-01-05
KRX 100,3951.94,11.74,0.3,11.67,1.12,1.21,2015-01-05
KRX 자동차,1905.08,11.02,0.58,6.4,1.09,1.09,2015-01-05
KRX 반도체,1900.8,0.93,0.05,7.39,1.69,0.91,2015-01-05
KRX 헬스케어,1462.13,4.77,0.33,32.89,2.51,0.45,2015-01-05
KRX 은행,695.66,9.17,1.3,10.95,0.56,1.74,2015-01-05
KRX 에너지화학,1410.71,21.13,1.48,18.91,0.8,2.01,2015-01-05
KRX 철강,1886.01,12.92,0.68,11.75,0.7,1.99,2015-01-05
KRX 방송통신,928.28,16.57,1.82,19.74,1.33,2.26,2015-01-05
KRX 건설,560.09,8.56,1.51,,0.91,0.98,2015-01-05
KRX 증권,612.24,9.69,1.56,120.71,0.86,0.47,2015-01-05
KRX 기계장비,830.97,20.57,2.42,22.54,0.54,1.85,2015-01-05
KRX TMI,1085.91,16.66,1.51,,,,2015-01-06
KRX 300,1076.1,18.06,1.65,,,,2015-01-06
KRX 중대형 TMI,1075.23,17.28,1.58,,,,2015-01-06
KRX 중형 TMI,1192.81,4.33,0.36,,,,2015-01-06
KRX 소형 TMI,1203.9,6.77,0.56,,,,2015-01-06
KRX 초소형 TMI,1436.88,3.42,0.24,,,,2015-01-06
KTOP 30,5968.01,103.2,1.7,,,,2015-01-06
KRX 100,3884.23,67.71,1.71,11.46,1.1,1.23,2015-01-06
KRX 자동차,1863.3,41.78,2.19,6.26,1.07,1.12,2015-01-06
KRX 반도체,1879.9,20.9,1.1,7.21,1.65,0.93,2015-01-06
KRX 헬스케어,1452.75,9.38,0.64,32.68,2.5,0.45,2015-01-06
KRX 은행,687.12,8.54,1.23,10.82,0.55,1.76,2015-01-06
KRX 에너지화학,1362.36,48.35,3.43,18.26,0.77,2.08,2015-01-06
KRX 철강,1856.11,29.9,1.59,11.58,0.69,2.02,2015-01-06
KRX 방송통신,919.96,8.32,0.9,19.56,1.32,2.28,2015-01-06
KRX 건설,547.25,12.84,2.29,,0.89,1.01,2015-01-06
KRX 증권,610.07,2.17,0.35,120.31,0.85,0.48,2015-01-06
KRX 기계장비,793.36,37.61,4.53,21.48,0.51,1.94,2015-01-06
KRX TMI,1088.24,2.33,0.21,,,,2015-01-07
KRX 300,1078.51,2.41,0.22,,,,2015-01-07
