날짜,Price,원자료,High,Low,Open,Volume,Daily Return (%)
2024-12-26,20020.35938,20070.08008,19888.10938,19979.25,6467910000,-0.053773721,
2024-12-24,20031.13086,20031.13086,19813.75977,19818.48047,4739190000,1.347086289,
2024-12-23,19764.88086,19772.09961,19504.67969,19641.05078,6820720000,0.982400161,
2024-12-20,19572.59961,19758.60938,19168.38086,19190.03906,10962450000,1.031499796,
2024-12-19,19372.76953,19623.01953,19357.75977,19565.66016,8029590000,-0.102718717,
2024-12-18,19392.68945,20179.76953,19336.58984,20114.98047,9996120000,-3.562429444,
2024-12-17,20109.06055,20148.83008,20004.73047,20095.61914,9534350000,-0.321356348,
2024-12-16,20173.89063,20204.58008,19988.11914,20016.11914,8855040000,1.240394371,
2024-12-13,19926.7207,20061.65039,19817.4707,19995.17969,6028250000,0.119987196,
2024-12-12,19902.83984,20018.24023,19897.38086,19947.33984,7047550000,-0.659104079,
2024-12-11,20034.89063,20055.92969,19830.64063,19832.96094,6639720000,1.765866554,
2024-12-10,19687.24023,19887.08008,19641.33984,19796.39063,6843850000,-0.250544646,
2024-12-09,19736.68945,19872.78906,19698.05078,19824.08984,7884620000,-0.619745752,
2024-12-06,19859.76953,19863.15039,19734.41992,19743.96094,6787610000,0.809683565,
2024-12-05,19700.25977,19790.0293,19688.58984,19756.40039,7229510000,-0.176636253,
2024-12-04,19735.11914,19741.75977,19575.40039,19587.48047,7870030000,1.304913283,
2024-12-03,19480.91016,19486.15039,19340.41016,19364.33984,6005160000,0.396625123,
2024-12-02,19403.94922,19436.91992,19255.42969,19255.42969,6370530000,0.966685681,
2024-11-29,19218.16992,19245.49023,19066.51953,19087.4707,4042550000,0.827311008,
2024-11-27,19060.48047,19133.10938,18937.19922,19132.99023,5619090000,-0.593608673,
2024-11-26,19174.30078,19184.40039,19100.73047,19109.08008,6411770000,0.626932257,
2024-11-25,19054.83984,19208.67969,18969.34961,19140.58984,7932980000,0.269366422,
2024-11-22,19003.65039,19025.76953,18899.48047,18966.32031,6575820000,0.164609833,
2024-11-21,18972.41992,19110.89063,18714.06055,19072.7793,7492540000,0.033107932,
2024-11-20,18966.14063,18974.91016,18724.39063,18971.31055,7121670000,-0.112337649,
2024-11-19,18987.4707,18992.08008,18689.83008,18699.71094,7246610000,1.041199068,
2024-11-18,18791.81055,18865.2793,18672.30078,18717.92969,8455360000,0.59791592,
2024-11-15,18680.11914,18936.75,18598.86914,18929.91992,8002270000,-2.237487296,
2024-11-14,19107.65039,19275.80078,19073.39063,19256.08984,8680480000,-0.63996724,
2024-11-13,19230.7207,19358.48047,19191.13086,19286.46094,9623670000,-0.262842358,
2024-11-12,19281.40039,19343.05078,19168.51953,19289.81055,7816410000,-0.089950728,
2024-11-11,19298.75977,19366.07031,19193.28906,19355.33984,8087930000,0.062117519,
2024-11-08,19286.7793,19318.56055,19224.42969,19255.14063,7316010000,0.089874644,
2024-11-07,19269.46094,19301.69922,19084.42969,19084.42969,9232670000,1.506522379,
2024-11-06,18983.4707,19000.5,18730.21094,18772.75977,8138050000,2.951872473,
2024-11-05,18439.16992,18449.67969,18250.71094,18250.71094,7060340000,1.425686092,
2024-11-04,18179.98047,18308.30078,18112.83008,18220.42969,5762320000,-0.328616866,
2024-11-01,18239.91992,18363.93945,18181.5293,18189.66992,5896470000,0.800046024,
2024-10-31,18095.15039,18427.31055,18083.94922,18427.31055,6411940000,-2.755703109,
2024-10-30,18607.92969,18785.5,18598.24023,18731.68945,6514690000,-0.560154507,
2024-10-29,18712.75,18753.18945,18509.58984,18576.08984,6881170000,0.783966508,
2024-10-28,18567.18945,18671.00977,18563.01953,18648.25,5641660000,0.262331135,
2024-10-25,18518.60938,18690.00977,18487.06055,18512.58008,6100040000,0.559958705,
2024-10-24,18415.49023,18435.36914,18305.41992,18384.16016,5761280000,0.759656944,
2024-10-23,18276.65039,18509.18945,18146.60938,18502.06055,6245610000,-1.631447258,
2024-10-22,18579.76953,18620.71094,18413.4707,18451.85938,6407180000,0.214453855,
2024-10-21,18540.00977,18543.58008,18377.63086,18456.48047,6092180000,0.27290541,
2024-10-18,18489.55078,18524.33008,18452.58008,18466.00977,5090190000,0.631021395,
2024-10-17,18373.60938,18541.46094,18368.78906,18537.21094,5806860000,0.035548911,
2024-10-16,18367.08008,18383.10938,18214.96094,18333.28906,5257570000,0.281127907,
2024-10-15,18315.58984,18564.25,18252.51953,18515.9707,6522700000,-1.011202235,
2024-10-14,18502.68945,18547.91992,18423.59961,18426.66016,4894710000,0.870907307,
2024-10-11,18342.93945,18375.5293,18208.43945,18217.73047,5140440000,0.333051651,
2024-10-10,18282.05078,18333.39063,18154.17969,18200.61914,5855390000,-0.052310073,
2024-10-09,18291.61914,18302.05078,18133.01953,18179.2207,5228670000,0.597809478,
2024-10-08,18182.91992,18203.03906,17989.69922,18017.92969,5566510000,1.445106956,
2024-10-07,17923.90039,18096.33008,17900.03906,18080.11914,5240320000,-1.179573231,
2024-10-04,18137.84961,18145.2793,17952.30078,18130.41992,5136070000,1.224261962,
2024-10-03,17918.48047,18011.25,17826.41992,17859.49023,5208990000,-0.03703558,
2024-10-02,17925.11914,17978.58008,17767.78906,17867.11914,5489040000,0.082409098,
2024-10-01,17910.35938,18162.7207,17779.76953,18154.93945,5879980000,-1.532838211,
2024-09-30,18189.16992,18198.16016,17997.56055,18069.83008,5846150000,0.384004708,
2024-09-27,18119.58984,18238.2793,18069.17969,18228.7793,5367890000,-0.388664625,
2024-09-26,18190.28906,18327.33984,18071.74023,18327.33984,5669210000,0.597704149,
2024-09-25,18082.21094,18155.03906,18040.61914,18050.35938,4858060000,0.042553863,
