일자,거래량_PUT,거래량_CALL,P/C Ratio
2024/12/30,536126,454564,1.18
2024/12/27,556469,403845,1.38
2024/12/26,365513,327741,1.12
2024/12/24,362328,308147,1.18
2024/12/23,428879,446898,0.96
2024/12/20,680820,498767,1.37
2024/12/19,421121,383195,1.1
2024/12/18,344311,439429,0.78
2024/12/17,258153,338386,0.76
2024/12/16,318059,357291,0.89
2024/12/13,264374,333874,0.79
2024/12/12,2406609,2208789,1.09
2024/12/11,1498216,1574164,0.95
2024/12/10,1245291,1519285,0.82
2024/12/09,867507,697530,1.24
2024/12/06,1109888,706479,1.57
2024/12/05,569000,484035,1.18
2024/12/04,823832,632157,1.3
2024/12/03,488715,733838,0.67
2024/12/02,652055,531842,1.23
2024/11/29,995166,658933,1.51
2024/11/28,320406,327467,0.98
2024/11/27,369486,418849,0.88
2024/11/26,343595,279610,1.23
2024/11/25,366464,374471,0.98
2024/11/22,329210,365618,0.9
2024/11/21,282738,297683,0.95
2024/11/20,239976,282418,0.85
2024/11/19,279018,305176,0.91
2024/11/18,393163,477344,0.82
2024/11/15,447601,381677,1.17
2024/11/14,2691724,2582563,1.04
2024/11/13,2637750,2177129,1.21
2024/11/12,1909054,1699648,1.12
2024/11/11,711155,664735,1.07
2024/11/08,686426,614954,1.12
2024/11/07,583980,661523,0.88
2024/11/06,622089,580770,1.07
2024/11/05,338830,444340,0.76
2024/11/04,382767,595515,0.64
2024/11/01,349450,400983,0.87
2024/10/31,394495,381897,1.03
2024/10/30,292560,321511,0.91
2024/10/29,297370,313637,0.95
2024/10/28,286574,327216,0.88
2024/10/25,283372,353613,0.8
2024/10/24,293863,264046,1.11
2024/10/23,334977,399803,0.84
2024/10/22,311860,306155,1.02
2024/10/21,219877,242822,0.91
2024/10/18,259375,276127,0.94
2024/10/17,199555,250323,0.8
2024/10/16,201115,234787,0.86
2024/10/15,220475,217098,1.02
2024/10/14,234153,265183,0.88
2024/10/11,231514,252561,0.92
2024/10/10,1648005,1951062,0.84
2024/10/08,1281074,1504561,0.85
2024/10/07,727444,917327,0.79
2024/10/04,640677,927980,0.69
2024/10/02,628518,1085898,0.58
2024/09/30,649447,810028,0.8
2024/09/27,449419,472405,0.95
2024/09/26,420204,572489,0.73
2024/09/25,552694,744074,0.74
2024/09/24,477381,658309,0.73
2024/09/23,251693,288867,0.87
2024/09/20,357995,416395,0.86
2024/09/19,409559,452296,0.91
2024/09/13,303982,363617,0.84
2024/09/12,1881620,1855716,1.01
2024/09/11,1881447,1332162,1.41
2024/09/10,1576203,1235858,1.28
2024/09/09,965343,823013,1.17
2024/09/06,833805,701558,1.19
2024/09/05,802823,636600,1.26
2024/09/04,1128516,727688,1.55
2024/09/03,484282,432882,1.12
2024/09/02,455698,497821,0.92
2024/08/30,327685,346343,0.95
2024/08/29,381783,403905,0.95
2024/08/28,368672,386112,0.95
2024/08/27,316073,352827,0.9
2024/08/26,292223,337680,0.87
2024/08/23,304577,317956,0.96
2024/08/22,267397,279274,0.96
2024/08/21,238638,278623,0.86
2024/08/20,368502,365905,1.01
2024/08/19,494283,349833,1.41
2024/08/16,440451,495529,0.89
2024/08/14,345178,304699,1.13
2024/08/13,276486,233022,1.19
2024/08/12,237632,263836,0.9
2024/08/09,314107,362529,0.87
2024/08/08,2204329,2541378,0.87
2024/08/07,1869870,2475251,0.76
2024/08/06,1993088,1656309,1.2
2024/08/05,1598071,1442128,1.11
2024/08/02,1420266,1089940,1.3
2024/08/01,769956,859415,0.9
2024/07/31,672260,812228,0.83
2024/07/30,432781,517356,0.84
2024/07/29,517600,611574,0.85
2024/07/26,430506,581442,0.74
2024/07/25,610343,622385,0.98
2024/07/24,456060,573176,0.8
2024/07/23,424688,506373,0.84
2024/07/22,469023,576264,0.81
2024/07/19,417789,419440,1.0
2024/07/18,448401,512973,0.87
2024/07/17,340595,369897,0.92
2024/07/16,343266,357185,0.96
2024/07/15,416356,344622,1.21
2024/07/12,418743,397697,1.05
2024/07/11,1460578,1877942,0.78
2024/07/10,947985,1206218,0.79
2024/07/09,1180496,1424729,0.83
2024/07/08,663461,841490,0.79
2024/07/05,1077570,1498871,0.72
2024/07/04,532617,857318,0.62
2024/07/03,531798,583569,0.91
2024/07/02,461248,573592,0.8
2024/07/01,495645,489390,1.01
2024/06/28,365307,359557,1.02
2024/06/27,407930,464870,0.88
2024/06/26,360664,425037,0.85
2024/06/25,288682,328902,0.88
2024/06/24,294113,357357,0.82
2024/06/21,365313,366782,1.0
2024/06/20,390622,463632,0.84
2024/06/19,416141,474781,0.88
2024/06/18,294061,310842,0.95
2024/06/17,316841,302337,1.05
2024/06/14,395552,388580,1.02
2024/06/13,2297132,2333108,0.98
2024/06/12,1306836,1765781,0.74
2024/06/11,1007681,1277155,0.79
2024/06/10,779845,968080,0.81
2024/06/07,839987,1016979,0.83
2024/06/05,652717,964257,0.68
2024/06/04,521785,611425,0.85
2024/06/03,577457,665536,0.87
2024/05/31,544293,599476,0.91
2024/05/30,666049,657954,1.01
2024/05/29,522314,609161,0.86
2024/05/28,432716,471135,0.92
2024/05/27,478995,623182,0.77
2024/05/24,420364,584323,0.72
2024/05/23,410085,630241,0.65
2024/05/22,382410,503866,0.76
2024/05/21,300780,390017,0.77
2024/05/20,373236,489857,0.76
2024/05/17,304834,391864,0.78
2024/05/16,444297,461347,0.96
2024/05/14,307907,275415,1.12
2024/05/13,316163,316248,1.0
2024/05/10,289294,340876,0.85
2024/05/09,2041387,2242744,0.91
2024/05/08,1102875,1220510,0.9
2024/05/07,765573,712600,1.07
2024/05/03,667587,838804,0.8
2024/05/02,732044,804665,0.91
2024/04/30,699947,707300,0.99
2024/04/29,490847,514201,0.95
2024/04/26,515191,576210,0.89
2024/04/25,484015,588062,0.82
2024/04/24,512318,513396,1.0
2024/04/23,481916,554797,0.87
2024/04/22,751718,750321,1.0
2024/04/19,1221225,872482,1.4
2024/04/18,492451,648918,0.76
2024/04/17,614916,719011,0.86
2024/04/16,565891,561597,1.01
2024/04/15,602389,632589,0.95
2024/04/12,470819,505028,0.93
2024/04/11,2455796,2677504,0.92
2024/04/09,1586066,1735548,0.91
2024/04/08,733099,929747,0.79
2024/04/05,871795,958287,0.91
2024/04/04,630859,765631,0.82
2024/04/03,801746,871094,0.92
2024/04/02,572356,737800,0.78
2024/04/01,534161,671065,0.8
2024/03/29,452580,587402,0.77
2024/03/28,418157,555596,0.75
2024/03/27,474788,533039,0.89
2024/03/26,591164,765110,0.77
2024/03/25,399003,518447,0.77
2024/03/22,515050,695932,0.74
2024/03/21,577121,813171,0.71
2024/03/20,450248,577561,0.78
2024/03/19,445001,497165,0.9
2024/03/18,301187,387432,0.78
2024/03/15,405506,396607,1.02
2024/03/14,1400929,1550634,0.9
2024/03/13,1388577,1620468,0.86
2024/03/12,990008,1145255,0.86
2024/03/11,745131,848445,0.88
2024/03/08,737234,964451,0.76
2024/03/07,545880,717292,0.76
2024/03/06,421106,601491,0.7
2024/03/05,481602,597422,0.81
2024/03/04,522278,562160,0.93
2024/02/29,387586,403792,0.96
2024/02/28,457280,510119,0.9
2024/02/27,384377,563824,0.68
2024/02/26,472228,675601,0.7
2024/02/23,399125,554581,0.72
2024/02/22,300328,365021,0.82
2024/02/21,352400,432229,0.82
2024/02/20,383818,436645,0.88
2024/02/19,379010,472621,0.8
2024/02/16,257187,257262,1.0
2024/02/15,283670,320469,0.89
2024/02/14,352776,387670,0.91
2024/02/13,325072,314971,1.03
2024/02/08,1716001,2044488,0.84
2024/02/07,1602090,2402786,0.67
2024/02/06,1348266,1761749,0.77
2024/02/05,1180569,1494465,0.79
2024/02/02,1220055,1965231,0.62
2024/02/01,1017138,1207319,0.84
2024/01/31,688878,854421,0.81
2024/01/30,665799,882949,0.75
2024/01/29,758652,1015245,0.75
2024/01/26,676986,863509,0.78
2024/01/25,464609,556233,0.84
2024/01/24,553108,606604,0.91
2024/01/23,476947,524873,0.91
2024/01/22,486284,620854,0.78
2024/01/19,583185,667735,0.87
2024/01/18,596513,634240,0.94
2024/01/17,737364,819931,0.9
2024/01/16,495324,625820,0.79
2024/01/15,333944,477099,0.7
2024/01/12,464559,547557,0.85
2024/01/11,1761516,3691525,0.48
2024/01/10,1814330,2052254,0.88
2024/01/09,2094496,3002270,0.7
2024/01/08,1050676,1434418,0.73
2024/01/05,782694,1137025,0.69
2024/01/04,932884,1256781,0.74
2024/01/03,1028059,1194140,0.86
2024/01/02,1159305,1485273,0.78
