변환,주식시장,잠정치
"2015/01/02","264","54"
"2015/01/05","554","200"
"2015/01/06","-3,301","-323"
"2015/01/07","-2,203","-163"
"2015/01/08","1,960","198"
"2015/01/09","1,604","221"
"2015/01/12","-818","-199"
"2015/01/13","-555","-307"
"2015/01/14","-915","191"
"2015/01/15","-2,067","62"
"2015/01/16","-3,006","-470"
"2015/01/19","-259","-369"
"2015/01/20","324","147"
"2015/01/21","698","-172"
"2015/01/22","611","-69"
"2015/01/23","1,001","351"
"2015/01/26","-1,092","-307"
"2015/01/27","840","-51"
"2015/01/28","-660","349"
"2015/01/29","-2,420","-207"
"2015/01/30","-953","-96"
"2015/02/02","39","-42"
"2015/02/03","-304","58"
"2015/02/04","2,255","-68"
"2015/02/05","-1,158","-197"
"2015/02/06","4,317","-152"
"2015/02/09","-1,062","-836"
"2015/02/10","-1,316","233"
"2015/02/11","1,001","-42"
"2015/02/12","-598","-232"
"2015/02/13","1,751","117"
"2015/02/16","1,302","263"
"2015/02/17","-255","96"
"2015/02/23","1,279","219"
"2015/02/24","806","142"
"2015/02/25","2,076","-314"
"2015/02/26","2,317","-117"
"2015/02/27","808","467"
"2015/03/02","1,573","-314"
"2015/03/03","1,799","188"
"2015/03/04","2,343","100"
"2015/03/05","1,227","-115"
"2015/03/06","2,839","169"
"2015/03/09","-604","-415"
"2015/03/10","797","-36"
"2015/03/11","906","109"
"2015/03/12","-1,203","389"
"2015/03/13","1,046","15"
"2015/03/16","61","-149"
"2015/03/17","4,989","-402"
"2015/03/18","3,299","-292"
"2015/03/19","3,966","255"
"2015/03/20","2,631","719"
"2015/03/23","1,457","-114"
"2015/03/24","654","155"
"2015/03/25","1,125","201"
"2015/03/26","-1,124","-748"
"2015/03/27","-799","-795"
"2015/03/30","758","282"
"2015/03/31","1,372","-48"
"2015/04/01","-632","-32"
"2015/04/02","-157","-53"
"2015/04/03","454","401"
"2015/04/06","-175","-77"
"2015/04/07","483","-21"
"2015/04/08","946","-150"
"2015/04/09","1,514","497"
"2015/04/10","2,874","-231"
"2015/04/13","2,792","573"
"2015/04/14","3,958","116"
"2015/04/15","3,212","338"
"2015/04/16","3,749","-481"
"2015/04/17","2,799","-899"
"2015/04/20","2,851","-735"
"2015/04/21","2,468","264"
"2015/04/22","7,445","-659"
"2015/04/23","4,435","-462"
"2015/04/24","5,328","103"
"2015/04/27","2,071","286"
"2015/04/28","-16","-817"
"2015/04/29","-615","-276"
"2015/04/30","708","-757"
"2015/05/04","1,291","-324"
"2015/05/06","957","-179"
"2015/05/07","-674","177"
"2015/05/08","-237","205"
"2015/05/11","-475","133"
"2015/05/12","68","-431"
"2015/05/13","775","497"
"2015/05/14","254","-452"
"2015/05/15","4,799","240"
"2015/05/18","1,650","-75"
"2015/05/19","754","334"
"2015/05/20","1,363","759"
"2015/05/21","606","701"
"2015/05/22","2,960","-113"
"2015/05/26","-38","404"
"2015/05/27","-1,882","251"
"2015/05/28","2,513","264"
"2015/05/29","2,567","57"
"2015/06/01","381","467"
"2015/06/02","110","-103"
"2015/06/03","1,551","376"
"2015/06/04","3,744","264"
"2015/06/05","1,075","-197"
"2015/06/08","-739","358"
"2015/06/09","-1,466","269"
"2015/06/10","-1,978","-520"
"2015/06/11","-1,676","-133"
"2015/06/12","-844","-116"
"2015/06/15","1,219","71"
"2015/06/16","-3,149","192"
"2015/06/17","-1,536","-51"
"2015/06/18","-2,621","-805"
"2015/06/19","-2,836","-220"
"2015/06/22","-1,233","-340"
"2015/06/23","-98","-68"
"2015/06/24","545","399"
"2015/06/25","81","-63"
"2015/06/26","591","-313"
"2015/06/29","-1,101","-92"
"2015/06/30","-516","438"
"2015/07/01","94","-83"
"2015/07/02","1,161","-121"
"2015/07/03","-121","-105"
"2015/07/06","-2,817","-546"
"2015/07/07","-1,058","-118"
"2015/07/08","-3,983","-256"
"2015/07/09","-3,488","-791"
"2015/07/10","-711","-191"
"2015/07/13","60","622"
"2015/07/14","-356","-125"
"2015/07/15","2,358","34"
"2015/07/16","1,820","513"
"2015/07/17","-722","-426"
"2015/07/20","-222","374"
"2015/07/21","-1,271","-626"
"2015/07/22","-3,770","-155"
"2015/07/23","-1,892","-97"
"2015/07/24","-2,586","93"
"2015/07/27","11","-884"
"2015/07/28","-1,305","205"
"2015/07/29","20","18"
"2015/07/30","-798","489"
"2015/07/31","1,662","760"
"2015/08/03","-85","-532"
"2015/08/04","599","320"
"2015/08/05","-248","-202"
"2015/08/06","-1,019","-378"
