변환,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
"2015/01","484,175","19,917,949","5,722,160","45,467,826","570,495","26,086,227","448,735","19,248,862","5,769,734","45,691,283","568,239","25,047,244"
"2015/02","363,591","15,735,113","4,993,104","39,556,744","497,796","20,653,987","401,316","16,262,687","4,953,555","37,776,702","511,910","21,979,699"
"2015/03","604,332","25,915,340","7,144,426","55,909,478","662,516","27,854,324","537,971","23,070,505","7,179,632","56,062,250","714,346","30,765,382"
"2015/04","749,723","30,271,019","9,868,906","83,417,367","825,614","29,071,537","618,362","26,690,892","9,964,359","82,667,971","895,802","33,720,856"
"2015/05","463,838","20,273,143","6,144,637","57,431,421","693,641","26,259,026","411,904","18,330,057","6,225,786","58,381,393","678,322","27,984,358"
"2015/06","582,336","26,511,550","7,643,404","70,427,558","848,139","32,647,817","552,538","26,122,033","7,750,857","71,882,067","784,266","31,598,128"
"2015/07","623,465","27,297,050","11,732,613","92,627,371","871,977","34,312,296","585,934","26,393,751","11,860,368","95,502,913","806,610","32,521,104"
"2015/08","471,996","20,340,934","6,967,421","60,786,863","852,864","33,728,858","502,487","23,345,135","7,006,701","61,145,768","761,545","29,619,614"
"2015/09","379,490","16,906,594","8,921,583","51,510,443","643,510","28,610,999","377,803","18,858,123","8,956,356","51,372,088","632,566","26,866,120"
"2015/10","453,213","18,822,198","11,943,049","61,655,826","674,977","29,235,632","418,943","19,846,736","11,994,582","60,093,063","679,121","29,955,867"
"2015/11","387,737","16,960,539","7,848,241","52,538,075","695,598","28,434,322","342,512","17,474,927","7,905,681","51,726,658","680,901","26,503,373"
"2015/12","353,904","13,847,545","8,393,272","44,642,699","647,487","23,393,824","341,723","16,690,683","8,493,669","43,265,750","604,432","20,148,765"
"2016/01","423,092","17,168,503","6,002,266","47,829,519","751,301","27,487,643","423,817","20,305,823","6,144,817","48,981,356","670,493","24,521,460"
"2016/02","362,183","16,157,560","5,127,797","40,507,594","628,236","24,218,744","382,003","17,620,574","5,121,032","38,668,614","629,166","24,519,203"
"2016/03","486,326","22,221,988","6,486,678","47,549,065","680,801","26,293,182","464,795","19,292,320","6,431,492","46,185,908","786,124","29,724,808"
"2016/04","474,962","19,983,508","6,736,484","49,050,372","648,460","23,767,626","473,092","18,096,922","6,714,541","48,517,435","698,089","25,711,743"
"2016/05","417,167","16,519,416","8,415,042","55,858,958","740,919","27,486,884","352,556","15,315,642","8,542,087","56,236,374","695,808","27,672,123"
"2016/06","478,248","20,028,479","8,423,047","58,575,756","817,987","29,000,878","467,863","20,277,269","8,457,102","57,292,679","819,037","29,807,249"
"2016/07","429,992","19,579,480","6,981,302","45,127,329","588,710","23,109,774","368,324","16,209,608","6,963,933","44,170,738","669,724","27,119,485"
"2016/08","507,449","20,994,806","6,565,915","47,353,751","640,684","26,648,931","437,315","19,667,762","6,605,464","46,528,299","671,567","28,013,920"
"2016/09","380,423","17,630,040","7,806,553","44,701,150","602,714","23,324,125","352,171","15,647,627","7,814,793","44,680,043","628,954","24,428,362"
"2016/10","385,990","17,917,244","5,577,608","42,130,003","602,862","28,571,019","394,321","18,376,128","5,553,190","41,171,824","626,604","29,000,740"
"2016/11","430,044","19,095,723","5,339,195","45,078,455","774,370","32,179,371","461,350","20,932,587","5,329,095","44,168,006","772,249","31,849,864"
"2016/12","398,576","16,220,719","4,970,398","33,376,130","587,186","23,346,364","387,966","16,566,076","4,941,892","31,931,503","632,503","24,401,524"
"2017/01","391,183","17,552,715","7,376,940","39,504,151","588,584","24,542,901","338,518","15,588,253","7,386,025","39,519,462","640,697","26,180,746"
"2017/02","393,890","18,255,363","5,970,018","39,690,762","707,955","30,797,655","422,898","18,933,578","5,937,390","37,988,632","715,389","31,105,280"
"2017/03","509,282","23,007,767","7,500,117","51,225,658","780,519","35,436,312","443,375","19,346,122","7,501,467","50,226,177","865,190","38,943,315"
"2017/04","444,758","17,632,770","6,521,540","44,303,417","694,553","29,069,392","394,844","17,412,985","6,567,279","43,547,136","715,433","29,873,373"
"2017/05","510,007","24,427,572","5,604,270","54,712,131","847,101","37,391,034","465,465","24,645,273","5,595,383","52,780,631","910,440","38,725,582"
"2017/06","622,136","28,894,076","5,929,660","61,294,246","863,614","36,238,912","523,250","25,583,033","5,954,182","62,571,002","897,795","37,897,481"
"2017/07","433,744","23,449,695","4,907,554","53,389,367","741,445","32,390,453","468,388","25,232,639","4,897,515","52,521,381","782,188","31,865,712"
"2017/08","494,931","23,414,533","4,350,015","49,050,268","818,713","34,885,371","482,513","25,127,075","4,351,687","48,686,693","834,698","33,010,210"
"2017/09","448,339","22,905,772","4,481,515","50,313,757","830,349","36,060,787","443,973","24,264,044","4,526,334","50,133,073","810,095","34,470,906"
"2017/10","399,272","23,252,655","4,005,299","46,617,463","608,551","28,083,552","342,794","20,000,249","4,043,812","46,735,011","627,336","31,059,415"
"2017/11","553,026","28,839,345","5,893,900","68,055,487","923,634","39,441,954","551,854","28,243,778","5,909,276","67,783,251","931,956","39,524,979"
"2017/12","450,995","21,473,570","4,447,577","50,588,454","766,089","31,547,787","491,618","26,302,777","4,436,274","46,923,910","746,622","29,810,732"
"2018/01","650,904","33,060,958","6,550,095","82,184,197","935,474","40,268,262","657,422","32,429,419","6,406,112","80,071,863","1,120,190","42,243,884"
"2018/02","492,516","26,148,766","5,828,540","60,081,388","901,928","36,673,778","470,931","25,215,379","5,889,810","62,506,245","863,683","35,112,630"
"2018/03","572,125","29,688,418","6,476,149","74,948,069","956,464","38,181,944","508,679","29,848,284","6,589,891","76,021,579","921,800","37,441,041"
"2018/04","608,268","30,044,635","8,668,096","93,518,288","1,049,839","38,201,043","556,092","29,332,471","8,727,160","95,878,318","1,079,264","37,163,524"
"2018/05","699,079","30,180,275","10,366,659","104,479,628","1,586,659","44,684,052","635,876","27,994,809","10,475,282","106,834,161","1,569,166","43,872,779"
"2018/06","642,020","28,589,539","7,440,103","74,244,816","1,279,757","39,362,755","612,060","28,784,326","7,574,331","75,377,413","1,199,998","37,775,773"
"2018/07","580,438","27,151,155","5,777,674","59,409,218","1,088,980","33,459,005","546,843","26,783,329","5,818,927","59,441,866","1,090,147","33,832,397"
"2018/08","604,347","27,011,180","4,656,890","55,876,479","870,084","30,377,712","522,611","25,215,420","4,670,263","55,384,401","950,378","32,030,512"
"2018/09","463,930","21,738,513","4,124,203","49,722,354","792,249","30,020,323","467,208","22,373,600","4,117,139","49,689,208","803,411","29,722,838"
"2018/10","637,169","28,440,410","5,221,373","55,931,757","1,104,143","40,719,057","644,065","30,230,135","5,210,249","57,841,723","1,091,707","36,720,280"
"2018/11","631,475","26,752,516","5,180,401","53,664,002","1,116,264","35,096,871","621,208","26,534,632","5,174,406","53,292,315","1,121,874","35,457,036"
"2018/12","567,593","23,321,422","6,065,660","46,923,235","923,756","28,525,485","598,565","24,496,609","6,042,091","45,689,344","924,230","28,474,948"
"2019/01","767,544","29,659,073","7,564,319","61,777,978","1,021,412","30,812,607","709,965","28,815,928","7,539,567","58,548,458","1,141,976","34,862,640"
"2019/02","536,465","21,943,755","5,417,014","45,699,594","857,260","27,118,281","518,593","22,485,301","5,472,305","44,873,098","844,183","27,259,116"
"2019/03","635,124","25,774,280","4,810,184","40,946,832","930,013","29,228,049","608,329","24,779,774","4,841,766","41,537,047","940,687","29,528,974"
"2019/04","697,869","27,004,481","7,916,701","61,205,745","911,913","29,104,189","677,309","26,350,444","7,966,248","59,457,920","970,422","31,496,323"
"2019/05","704,402","25,691,163","9,176,499","50,121,982","1,268,337","36,521,584","658,973","25,228,524","9,305,547","52,921,922","1,199,150","34,040,855"
"2019/06","551,935","19,970,200","9,618,449","41,974,243","999,229","24,613,715","567,284","21,482,151","9,603,083","40,004,166","1,021,244","25,372,014"
"2019/07","624,961","23,912,466","10,033,106","51,545,407","1,120,713","25,582,082","587,618","23,187,677","10,121,830","50,384,912","1,125,162","27,613,640"
"2019/08","559,818","20,808,327","8,531,615","46,097,236","1,293,927","30,372,568","607,429","23,010,645","8,548,418","45,870,089","1,216,307","28,079,247"
"2019/09","525,345","19,312,120","7,066,021","40,598,057","948,685","25,291,843","535,645","21,555,536","7,083,360","39,088,587","940,905","24,440,358"
"2019/10","537,651","20,069,553","7,175,843","43,971,183","1,082,177","28,072,877","508,075","21,032,388","7,263,826","43,139,737","1,035,519","27,527,530"
"2019/11","610,691","22,466,738","8,831,863","57,035,793","1,213,399","31,447,403","609,000","24,776,429","8,951,416","57,174,412","1,108,053","28,276,606"
"2019/12","608,640","22,655,876","8,361,963","48,267,496","1,132,933","29,565,931","652,698","25,418,585","8,311,271","44,439,960","1,142,365","30,184,318"
"2020/01","795,743","34,055,564","10,827,318","61,479,601","1,364,161","32,189,303","656,563","28,981,383","11,071,279","65,962,645","1,286,949","32,494,024"
"2020/02","863,490","36,151,350","11,355,097","71,591,345","1,613,681","41,118,506","764,739","33,915,260","11,605,103","76,488,701","1,481,214","37,805,348"
"2020/03","1,328,075","47,750,913","12,863,057","112,306,528","2,789,747","60,481,882","1,230,665","47,867,558","13,119,178","123,493,458","2,535,172","47,926,872"
"2020/04","820,561","32,342,499","18,039,382","145,980,478","2,023,830","35,951,855","812,367","32,328,809","18,202,245","149,792,898","1,879,899","31,851,776"
"2020/05","730,705","31,906,416","13,726,551","120,231,528","1,616,039","35,309,053","737,099","31,718,274","13,892,302","124,015,009","1,449,379","31,425,259"
"2020/06","1,127,406","50,631,634","16,759,031","193,240,887","1,815,743","41,120,950","1,032,054","47,920,882","16,969,746","197,055,237","1,704,317","39,902,125"
"2020/07","899,292","44,062,849","16,283,916","215,207,435","1,474,532","37,788,501","809,295","40,999,109","16,411,987","217,446,353","1,520,195","38,867,596"
"2020/08","1,020,601","52,594,689","14,865,701","225,608,813","1,609,091","42,770,238","886,116","49,030,722","15,047,495","231,779,569","1,574,401","39,923,350"
"2020/09","858,812","44,792,445","16,919,428","209,694,509","1,688,063","40,674,863","754,393","40,658,267","17,105,857","214,660,855","1,608,882","39,797,080"
"2020/10","681,131","37,096,887","13,571,044","131,863,474","1,332,417","34,413,415","674,561","36,395,026","13,634,863","133,133,258","1,287,786","34,019,881"
"2020/11","1,000,020","51,795,013","21,303,320","216,507,696","1,852,117","48,605,674","936,465","49,814,781","21,344,231","213,724,140","1,928,324","53,599,498"
"2020/12","1,124,361","61,679,052","21,222,151","262,422,293","1,979,231","54,001,937","1,054,539","59,692,004","21,399,865","266,073,132","1,910,142","52,248,185"
"2021/01","1,577,276","109,657,011","21,802,135","334,818,534","2,437,308","79,715,494","1,274,674","92,274,411","22,234,482","357,156,933","2,377,495","74,415,854"
"2021/02","1,000,724","64,639,487","26,500,790","214,676,290","2,202,935","60,254,352","942,108","59,289,151","26,734,440","223,114,385","2,174,158","58,198,104"
"2021/03","983,418","61,337,724","24,110,637","203,905,042","2,579,325","64,073,590","940,361","55,745,771","24,138,390","210,845,264","2,647,151","62,833,040"
"2021/04","923,392","56,840,826","27,520,806","232,442,059","2,281,672","53,180,479","844,488","50,993,636","27,713,406","238,277,581","2,307,756","53,552,082"
"2021/05","835,132","48,908,639","15,677,164","184,296,278","2,107,499","67,328,931","871,758","50,899,848","15,778,745","191,025,886","2,004,593","58,812,130"
"2021/06","1,136,839","59,814,835","31,247,389","248,430,602","2,672,558","60,835,241","1,013,055","56,160,819","31,516,610","253,246,608","2,606,880","60,121,211"
"2021/07","783,586","47,467,675","19,002,174","195,976,505","2,157,170","57,782,738","675,110","44,713,042","19,236,659","203,832,670","2,065,239","52,673,354"
"2021/08","766,172","50,792,031","10,953,490","203,038,899","1,896,801","68,143,463","850,257","52,671,342","10,973,026","208,575,402","1,872,240","61,886,897"
"2021/09","737,852","47,519,414","11,698,947","160,316,492","1,715,604","57,013,665","694,999","43,323,130","11,723,146","163,059,474","1,740,757","58,112,395"
"2021/10","661,546","38,641,707","11,235,212","128,414,048","1,908,407","54,401,555","679,238","39,379,374","11,293,862","131,244,206","1,836,532","50,517,321"
"2021/11","799,583","46,434,445","10,847,165","148,922,093","2,028,922","60,280,047","744,374","45,153,868","10,911,519","147,129,368","2,004,053","62,887,367"
"2021/12","736,372","45,779,933","8,297,601","119,401,420","1,508,330","49,926,766","762,256","48,603,011","8,165,636","113,032,603","1,602,064","53,325,454"
"2022/01","754,948","49,596,170","8,409,280","116,209,637","1,638,505","57,342,456","707,876","46,896,064","8,497,808","120,597,396","1,618,989","55,880,718"
"2022/02","630,585","37,309,436","7,825,713","107,351,828","1,577,578","50,708,157","610,182","35,683,407","7,739,335","107,822,211","1,681,229","51,506,425"
"2022/03","762,217","39,537,733","11,382,254","128,159,827","2,125,829","63,154,488","695,007","37,933,310","11,504,449","134,660,931","2,102,683","58,037,133"
"2022/04","748,547","39,022,925","18,847,850","140,388,624","2,237,665","46,835,452","717,106","37,625,397","19,012,975","146,603,071","2,140,043","41,892,771"
"2022/05","751,824","38,982,214","13,795,409","110,471,907","2,184,830","49,480,730","771,253","39,645,586","13,834,653","109,468,561","2,134,394","49,609,029"
"2022/06","822,116","40,427,562","9,113,940","83,756,158","1,956,845","52,048,697","793,187","40,844,968","9,179,895","88,278,487","1,889,257","46,467,077"
"2022/07","688,277","34,033,966","5,783,808","76,513,510","1,414,601","40,386,994","587,814","32,412,047","5,863,339","75,607,416","1,423,453","42,708,510"
"2022/08","650,263","33,616,776","7,439,536","92,207,895","1,534,883","42,863,188","595,586","30,698,744","7,537,954","92,288,107","1,541,864","46,513,263"
"2022/09","673,894","30,799,775","6,969,405","75,406,107","1,641,286","46,562,748","627,069","29,923,328","7,061,002","78,195,752","1,594,196","44,438,836"
