feature,importance
시장금리국고채3년,0.5031529642083837
난방유(-1~-5),0.12554555912434567
VIXCLS,0.06300874346259804
금(-1~-5),0.06138517712510586
육우(-6~-10),0.05817634734176589
구리_미국(-11~-15),0.045444277002112295
난방유(-6~-10),0.03973538218739072
미국_원면(-11~-15),0.010135988648540598
런던_가스오일(-16~-20),0.009424040772500948
난방유(-16~-20),0.009355553045739071
니켈(-16~-20),0.008884485293702572
코스피수익률표준편차(-16~-20),0.008662031864243231
WTI유(-16~-20),0.008658717872346145
원달러환율수익률표준편차(-1~-5),0.0036242142628715155
돈육(-1~-5),0.0034879307143987483
구리_영국(-16~-20),0.002646908107501461
런던_가스오일(-1~-5),0.00240682764132541
미국_소맥(-1~-5),0.0023807954749882902
미국_설탕(-6~-10),0.0011098939377593656
귀리(-1~-5),0.0008490872138551635
코스닥변동률(-20),0.0008072202263737826
미국_대두박(-11~-15),0.0006969971708251175
코스피변동률(-20),0.0006780585608299703
납(-16~-20),0.000676720889492023
구리_미국(-16~-20),0.0006485779848587061
주석(-1~-5),0.0006361683268258344
미국_소맥(-11~-15),0.0006336337916591978
미국_커피(-1~-5),0.0006336337916591977
환율변동률(-20),0.0006272974537426056
미국_대두(-11~-15),0.0006218411627588737
미국_원면(-6~-10),0.0006019521020762379
nasdaq(-20),0.0005768883654283852
런던 코코아 선물 과거 데이터(-1~-5),0.000570270412493278
구리_미국(-6~-10),0.0005693199618057893
생우(-1~-5),0.0005655181590558337
1~5일 수익률 표준편차,0.0005493246313048445
탄소배출권(-11~-15),0.0005461923284102285
런던_설탕(-16~-20),0.0005439267887211818
납(-1~-5),0.0005432001688385046
주석(-11~-15),0.000538588722910318
생우(-16~-20),0.000528993222503503
미국10년물국채금리수익률(-20),0.0005125393336976621
런던 코코아 선물 과거 데이터(-16~-20),0.0005069070333273583
원목(-16~-20),0.0005069070333273581
원달러환율수익률표준편차(-16~-20),0.00047810658419326294
주석(-16~-20),0.000477759878911035
구리_영국(-1~-5),0.0004752253437443983
런던_설탕(-6~-10),0.0004701562734111247
나스닥수익률표준편차(-6~-10),0.00046924102460095025
런던_소맥(-6~-10),0.0004511472596613489
원달러환율수익률표준편차(-11~-15),0.00044814646566688614
미국_설탕(-1~-5),0.00044354365416143847
가솔린(-16~-20),0.00044354365416143847
오렌지주스(-11~-15),0.00042488134569389034
귀리(-11~-15),0.00042330257470565857
미국_커피(-6~-10),0.000422281720263541
알루미늄(-11~-15),0.00041453199376345655
육우(-11~-15),0.0004118619645784785
미국_대두박(-1~-5),0.0004105946969951603
런던_소맥(-11~-15),0.00040886980500675463
브렌트유(-6~-10),0.00039523737987697905
11~15일 수익률 표준편차,0.0003911459918721356
원달러환율수익률표준편차(-6~-10),0.0003910716029993204
미국_옥수수(-6~-10),0.0003877838804954291
미국_대두유(-11~-15),0.0003822007299160916
미국_대두박(-16~-20),0.0003801802749955187
알루미늄(-16~-20),0.00037345538805573844
주석(-6~-10),0.000352300388162514
원목(-11~-15),0.0003294895716627829
미국_소맥(-6~-10),0.0003291707622078593
런던_설탕(-11~-15),0.0003168168958295989
런던_커피(-6~-10),0.00019244866327782422
6~10일 수익률 표준편차,0.00018382420333579625
현미(-1~-5),0.00017495333025256744
육우(-1~-5),0.00017495333025256744
천연가스(-1~-5),0.0001737212645465635
코스닥수익률표준편차(-6~-10),0.0001655896308869371
코스피수익률표준편차(-1~-5),0.00015869006293331471
