feature,importance
나스닥수익률표준편차(-11~-15),0.1487251980266492
VIXCLS,0.11934578498278268
나스닥수익률표준편차(-6~-10),0.1113864695696399
나스닥수익률표준편차(-1~-5),0.09860304718163865
시장금리국고채3년,0.07404587649942082
코스피수익률표준편차(-11~-15),0.05768748903993139
코스피수익률표준편차(-6~-10),0.03443605295612009
WTI유(-6~-10),0.0333174789785815
WTI유(-1~-5),0.02688385234791018
나스닥수익률표준편차(-16~-20),0.023974117511070422
코스피수익률표준편차(-1~-5),0.02193283704796129
코스피수익률표준편차(-16~-20),0.02138066525297237
구리_미국(-11~-15),0.014001086952005004
미국_옥수수(-16~-20),0.013066703525791866
WTI유(-11~-15),0.0123067546048665
원달러환율수익률표준편차(-16~-20),0.01214977127940918
금(-11~-15),0.010839621643455461
원달러환율수익률표준편차(-11~-15),0.01065161267943464
원달러환율수익률표준편차(-6~-10),0.010620578996920746
WTI유(-16~-20),0.00898534717407055
미국_옥수수(-6~-10),0.008689674753660158
원달러환율수익률표준편차(-1~-5),0.008686219824273509
돈육(-6~-10),0.008612689880936704
미국_커피(-11~-15),0.008062112476412813
1~5일 수익률 표준편차,0.007667336647966019
금(-16~-20),0.007297985491365536
돈육(-1~-5),0.007269267290993941
구리_미국(-6~-10),0.007162238248086802
미국_옥수수(-11~-15),0.006833108407120191
미국_옥수수(-1~-5),0.006438836042959516
돈육(-11~-15),0.0060740553652918645
구리_미국(-16~-20),0.006015882880473628
돈육(-16~-20),0.005675008968340065
미국_커피(-16~-20),0.004939288222820172
미국_커피(-1~-5),0.004900351309924918
금(-1~-5),0.00487783195468593
구리_미국(-1~-5),0.004619624364033762
금(-6~-10),0.004333704095990256
11~15일 수익률 표준편차,0.004209482310889607
미국_커피(-6~-10),0.004200254665332349
6~10일 수익률 표준편차,0.003590404155901808
16~20일 수익률 표준편차,0.0033409587262131046
위치,0.002163337665694933
